市町村コード,都道府県名,市町村名,地域,年度,路線数,総延長（m）,重用延長（m）,未供用延長（m）,実延長（m）,規格改良済延長（m）,未改良延長（m）,道路延長（m）,橋梁延長（m）,トンネル延長（m）,未舗装延長（m）,舗装道延長（m）
052124,秋田県,大仙市,市全域,2005(平成17),"6,315","3,190,116","23,360","9,356","3,157,400","1,811,896","1,345,504","3,141,145","15,961",294,"1,578,092","1,579,308"
052124,秋田県,大仙市,市全域,2006(平成18）,"6,409","3,203,852","23,575","9,064","3,171,213","1,848,023","1,323,190","3,154,963","15,956",294,"1,578,747","1,592,466"
052124,秋田県,大仙市,市全域,2007(平成19）,"6,487","3,216,542","23,956","8,965","3,183,621","1,872,586","1,311,035","3,167,413","15,914",294,"1,573,112","1,610,509"
052124,秋田県,大仙市,市全域,2008(平成20）,"6,505","3,212,878","23,918","7,805","3,181,155","1,880,972","1,300,183","3,165,041","15,820",294,"1,563,508","1,617,647"
052124,秋田県,大仙市,市全域,2009(平成21）,"6,541","3,224,065","23,948","7,501","3,192,616","1,895,492","1,297,124","3,176,388","15,934",294,"1,565,663","1,626,953"
052124,秋田県,大仙市,市全域,2010(平成22）,"6,537","3,213,480","23,961","6,559","3,182,960","1,908,078","1,274,882","3,166,586","16,080",294,"1,539,803","1,643,157"
052124,秋田県,大仙市,市全域,2011(平成23）,"6,578","3,226,045","23,820","6,585","3,195,640","1,920,421","1,275,219","3,179,324","16,022",294,"1,544,024","1,651,616"
052124,秋田県,大仙市,市全域,2012(平成24）,"6,625","3,227,811","23,795","6,585","3,197,431","1,944,439","1,252,992","3,181,156","15,981",294,"1,536,675","1,660,756"
052124,秋田県,大仙市,市全域,2013(平成25）,"6,643","3,233,830","23,808","6,548","3,203,474","1,970,879","1,232,595","3,187,191","15,989",294,"1,525,425","1,678,049"
052124,秋田県,大仙市,市全域,2014(平成26）,"6,642","3,234,674","23,816","6,585","3,204,273","1,979,927","1,224,346","3,188,036","15,943",294,"1,525,086","1,679,187"
052124,秋田県,大仙市,市全域,2015(平成27）,"6,642","3,234,674","23,816","6,585","3,204,273","1,979,927","1,224,346","3,188,036","15,943",294,"1,525,086","1,679,187"
052124,秋田県,大仙市,市全域,2016(平成28）,"6,642","3,234,757","23,816","6,585","3,204,356","1,980,010","1,224,346","3,188,036","16,026",294,"1,525,086","1,679,270"
052124,秋田県,大仙市,市全域,2017(平成29）,"6,540","3,171,545","20,313","3,447","3,147,785","1,649,038","1,655,514","3,131,907","15,584",294,"1,434,504","1,713,281"
