４４　主要文化施設の利用状況（ Ⅵ ）,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,各年度末現在、各年度間,,,,,,
年度,秋田県立博物館,,,,,,,,,,,,
,本館,,,,,分館,,,,,,,
,開館日数,入 館 者 数 (人),,,,開館日数,入 館 者 数 (人),,,,,,
,,総数,有料,無料,１日平均,,総数,有料,無料,１日平均,,,
,(日),,,,,（日）,,,,,,,
平成24年度,301 ,"77,300 ","1,843 ","75,457 ",257 ,301 ,"6,455 ",－,"6,455 ",21 ,,,
25,303 ,"98,447 ","20,919 ","77,528 ",325 ,303 ,"4,946 ",－,"4,946 ",16 ,,,
26,304 ,"97,010 ","1,798 ","95,212 ",319 ,304 ,"7,026 ",－,"7,026 ",23 ,,,
27,304 ,"100,900 ","11,588 ","89,312 ",331 ,304 ,"6,377 ",－,"6,377 ",20 ,,,
28,301 ,"107,323 ","4,265 ","103,058 ",357 ,301 ,"6,030 ",－,"6,030 ",20 ,,,
29,301 ,"96,464 ","11,134 ","85,330 ",320 ,301 ,"4,921 ",－,"4,921 ",16 ,,,
30,302 ,"130,244 ","11,734 ","118,490 ",431 ,302 ,"5,063 ",－,"5,063 ",17 ,,,
令和元年度,302 ,"79,536 ","1,707 ","77,829 ",263 ,302 ,"5,351 ",－,"5,351 ",18 ,,,
２,277 ,"50,831 ",－,"50,831 ",184 ,277 ,"3,420 ",－,"3,420 ",12 ,,,
３,301 ,"51,370 ","5,153 ","46,217 ",171 ,301 ,"3,985 ",－,"3,985 ",13 ,,,
　資料　秋田県教育庁生涯学習課,,,,,,,,,,,,,
,,,,,,,,,,,,,
年度,秋田県総合生活文化会館 （アトリオン）,,,,,,,,,,,,
,開館日数,音楽ホール,,,,,美術展示ホール,,,,,,
,,"利用可能
日数","利用
延日数",利用回数,入場者数（人）,,利用回数,入場者数（人）,,,,,
,,,,,総数,１回平均,,総数,,１日平均,,,
,（日）,（日）,（日）,（回）,,,（回）,,,,,,
平成24年度,362 ,255 ,212 ,144 ,"42,241 ",294 ,500 ,,"97,316 ",195 ,,,
25,362 ,253 ,218 ,152 ,"44,216 ",291 ,553 ,,"73,648 ",133 ,,,
26,362 ,274 ,234 ,144 ,"43,386 ",301 ,527 ,,"101,176 ",192 ,,,
27,363 ,277 ,250 ,149 ,"44,759 ",300 ,508 ,,"75,829 ",149 ,,,
28,363 ,264 ,225 ,145 ,"44,092 ",304 ,428 ,,"65,918 ",154 ,,,
29,357 ,273 ,237 ,146 ,"45,724 ",313 ,492 ,,"78,163 ",158 ,,,
30,357 ,280 ,254 ,147 ,"51,243 ",348 ,481 ,,"62,318 ",129 ,,,
令和元年度,357 ,287 ,258 ,133 ,"45,836 ",344 ,510 ,,"65,282 ",128 ,,,
２,333 ,267 ,210 ,54 ,"11,290 ",209 ,226 ,,"21,444 ",94 ,,,
３,357 ,283 ,244 ,108 ,"21,658 ",201 ,525 ,,"64,602 ",123 ,,,
　資料　秋田県観光文化スポーツ部文化振興課,,,,,,,,,,,,,
,,,,,,,,,,,,,
年度,太平山自然学習センター,,,,,,,,,,,,
,開館日数,利用回数,　利用者数（人）,,,,,,,,,,
,,,総数,,1日平均,,,,,,,,
,（日）,（回）,,,,,,,,,,,
平成24年度,335 ,197 ,,"9,055 ",27 ,,,,,,,,
25,335 ,190 ,,"8,703 ",26 ,,,,,,,,
26,335 ,188 ,,"8,126 ",24 ,,,,,,,,
27,336 ,193 ,,"8,744 ",26 ,,,,,,,,
28,335 ,204 ,,"8,650 ",26 ,,,,,,,,
29,335 ,202 ,,"8,154 ",24 ,,,,,,,,
30,335 ,190 ,,"8,003 ",24 ,,,,,,,,
令和元年度,336 ,196 ,,"8,133 ",24 ,,,,,,,,
２,305 ,82 ,,"3,500 ",11 ,,,,,,,,
３,274 ,115 ,,"6,106 ",22 ,,,,,,,,
　資料　太平山自然学習センター,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
