２９　高 等 学 校 の 学 科 別 生 徒 数,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,各年度５月１日現在　単位：人
年度,本科,,,,,,,,,,,,,,,,別科
,総数,全日制,,,,,,,,,,定時制,,,通信制,,
,,計,普通,農業,工業,商業,家庭,英語,理数,普通･理数,その他,計,普通,工業,普通,,
平成25年度,"9,471 ","8,430 ","6,149 ",566 ,683 ,717 ,106 ,104 ,105 , － , － ,476 ,476 , － ,(25),565 , － 
26,"9,330 ","8,315 ","6,093 ",540 ,652 ,718 ,103 ,104 ,105 , － , － ,470 ,470 , － ,(29),545 , － 
27,"9,077 ","8,102 ","5,922 ",524 ,619 ,720 ,108 ,104 ,105 , － , － ,449 ,449 , － ,(28),526 , － 
28,"8,949 ","7,991 ","5,852 ",524 ,627 ,717 ,96 ,104 ,71 , － , － ,452 ,452 , － ,(29),506 , － 
29,"8,705 ","7,831 ","5,734 ",520 ,626 ,718 ,95 ,34 ,104 , － , － ,398 ,398 , － ,(30),476 , － 
30,"8,547 ","7,721 ","5,657 ",518 ,629 ,713 ,100 , － ,104 , － , － ,362 ,362 , － ,(32),464 , － 
令和元年度,"8,395 ","7,525 ","5,512 ",517 ,627 ,714 ,86 , － ,69 , － , － ,402 ,402 , － ,(27),468 , － 
２,"8,264 ","7,453 ","5,439 ",520 ,624 ,711 ,89 , － ,70 , － , － ,375 ,375 , － ,(18),436 , － 
３,"8,160 ","7,347 ","5,316 ",517 ,623 ,701 ,87 , － , － , － ,103 ,349 ,349 , － ,(17),464 , － 
４,"8,235 ","7,372 ","5,359 ",493 ,621 ,704 ,93 , － , － , － ,102 ,348 ,348 , － ,(48),515 , － 
　資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,,,
　　注　１　令和３年度から英語、理数、普通・理数をまとめて「その他」として集計。,,,,,,,,,,,,,,,,,
　　　　２　通信課程の（　）内は、他校からの併修者数で外数。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
