１１９　一酸化炭素（CO）濃度の測定結果,,,,,,
,,,,,,
（１）環境基準との比較(自排茨島局),,,,（２）年平均値の推移,,
,,令和３年度,,,各年度間　単位：ppm,
項目,,自排茨島,,年度,自排茨島,
有　 効 　測　定 　日　 数 ,(日),365 ,,平成24年度,0.3 ,
測　　　定　　　時　　　間,(時間),"8,697 ",,25,0.3 ,
８ 時 間 値 が ２０ ppm を,,,,26,0.3 ,
　　　　　　　　超えた回数,(回),0 ,,27,0.3 ,
　　　　　　　　　その割合,(％),0.0 ,,28,0.3 ,
１ 日 平均値 が １０ppm を,,,,29,0.3 ,
　　　　　　　　超えた回数,(回),0 ,,30,0.3 ,
　　　　　　　　　その割合,(％),0.0 ,,令和元年度,0.2 ,
１ 時 間 値  の  最 高 値,(ppm),0.8 ,,２,0.2 ,
１ 日 平均値 の２％除外値,(ppm),0.3 ,,３,0.2 ,
環境基準の長期的評価による１日,(日),0 ,,,,
平均値が１０ppmを超えた日数,,,,,,
　資料　秋田市環境保全課,,,,,,
　　注）１　非分散型赤外線吸収法による測定。,,,,,,
　　　　２　環境基準：１時間値の１日平均値が10ppmであり、かつ1時間値の8時間平均値が20ppm以下であること。,,,,,,
　　　　３　自排茨島局は、自動車排出ガス測定局である。,,,,,,
,,,,,,
