地域コード,市町村,地域,年次,総数(人),総数(パーセント),農林漁業(人),農林漁業(パーセント),鉱業・採石業・砂利採取業(人),鉱業・採石業・砂利採取業(パーセント),建設業(人),建設業(パーセント),製造業(人),製造業(パーセント),電気･ｶﾞｽ・熱供給・水道業(人),電気･ｶﾞｽ・熱供給・水道業(パーセント),情報通信業(人),情報通信業(パーセント),運輸・郵便業(人),運輸・郵便業(パーセント),卸売・小売業(人),卸売・小売業(パーセント),金融・保険業(人),金融・保険業(パーセント),不動産業・物品賃貸業(人),不動産業・物品賃貸業(パーセント),宿泊業・飲食サービス業(人),宿泊業・飲食サービス業(パーセント),医療・福祉(人),医療・福祉(パーセント),教育・学習支援業(人),教育・学習支援業(パーセント),複合サービス事業(人),複合サービス事業(パーセント),サービス業（他に分類されないもの）(人),サービス業（他に分類されないもの）(パーセント),学術研究、専門・技術サービス業(人),学術研究、専門・技術サービス業(パーセント),生活関連サービス業・娯楽業(人),生活関連サービス業・娯楽業(パーセント),公務（他に分類されるものを除く）(人),公務（他に分類されるものを除く）(パーセント)
052124,大仙市,市内全域,2004年(平成16),"34,242",100.0,355,1.0,210,0.6,"5,382",15.7,"7,752",22.6,189,0.6,160,0.5,"1,039",3.0,"8,284",24.2,616,1.8,147,0.4,"2,323",6.8,"2,643",7.7,295,0.9,580,1.7,"4,267",12.5,,0.0,,0.0,,0.0
052124,大仙市,市内全域,2006年(平成18),"41,036",100.0,504,1.2,197,0.5,"5,331",13.0,"6,725",16.4,280,0.7,107,0.3,"1,004",2.4,"8,674",21.1,652,1.6,164,0.4,"2,195",5.3,"4,185",10.2,"1,633",4.0,978,2.4,"6,983",17.0,,0.0,,0.0,"1,424",3.5
052124,大仙市,市内全域,2009年(平成21),"40,123",100.0,"1,042",2.6,108,0.3,"4,912",12.2,"5,419",13.5,331,0.8,131,0.3,"1,291",3.2,"8,585",21.4,590,1.5,470,1.2,"2,821",7.0,"5,077",12.7,"1,617",4.0,830,2.1,"2,245",5.6,"1,216",3.0,"1,996",5.0,"1,442",3.6
052124,大仙市,市内全域,2012年(平成24),"34,264",100.0,"1,005",2.9,82,0.2,"4,509",13.2,"5,747",16.8,184,0.5,94,0.3,"1,184",3.5,"7,384",21.6,631,1.8,366,1.1,"2,446",7.1,"5,034",14.7,302,0.9,761,2.2,"2,036",5.9,755,2.2,"1,744",5.1,,0.0
052124,大仙市,市内全域,2014年(平成26),"37,068",100.0,939,2.5,68,0.2,"4,142",11.2,"5,308",14.3,226,0.6,55,0.1,"1,101",3.0,"7,427",20.0,551,1.5,426,1.1,"2,505",6.8,"5,934",16.0,"1,544",4.2,920,2.5,"1,895",5.1,970,2.6,"1,693",4.6,"1,364",3.7
052124,大仙市,市内全域,2016年(平成28),"33,692",100.0,888,2.6,113,0.3,"4,047",12.0,"5,332",15.8,180,0.5,51,0.2,"1,113",3.3,"7,249",21.5,604,1.8,630,1.9,"2,310",6.9,"5,636",16.7,515,1.5,668,2.0,"1,885",5.6,804,2.4,"1,667",4.9,,0.0
052124,大仙市,大曲地域,2004年(平成16),"18,981",55.4,69,0.2,107,0.3,"2,261",6.6,"3,322",9.7,189,0.6,82,0.2,668,2.0,"5,004",14.6,513,1.5,123,0.4,"1,641",4.8,"1,897",5.5,184,0.5,270,0.8,"2,651",7.7,,0.0,,0.0,,0.0
052124,大仙市,大曲地域,2006年(平成18),"23,194",56.5,68,0.2,115,0.3,"2,273",5.5,"2,344",5.7,235,0.6,89,0.2,645,1.6,"5,298",12.9,566,1.4,126,0.3,"1,558",3.8,"2,332",5.7,861,2.1,385,0.9,"5,403",13.2,,0.0,,0.0,896,2.2
052124,大仙市,大曲地域,2009年(平成21),"22,865",57.0,218,0.5,81,0.2,"2,207",5.5,"2,092",5.2,302,0.8,112,0.3,866,2.2,"5,552",13.8,508,1.3,369,0.9,"2,039",5.1,"2,652",6.6,907,2.3,374,0.9,"1,558",3.9,857,2.1,"1,253",3.1,918,2.3
052124,大仙市,大曲地域,2012年(平成24),"19,989",58.3,191,0.6,56,0.2,"2,100",6.1,"2,236",6.5,184,0.5,67,0.2,788,2.3,"4,951",14.4,509,1.5,285,0.8,"1,847",5.4,"3,057",8.9,211,0.6,390,1.1,"1,398",4.1,610,1.8,"1,109",3.2,,0.0
