市町村コード,都道府県名,市町村名,地域,年,観光客数（千人）,観光客前年比（％）,県内客数（千人）,県内客比率（％）,県外客数（千人）,県外客比率（％）,宿泊客数（千人）,宿泊率（％）,日帰客数（千人）
052124,秋田県,大仙市,市全域,2005（平成17）,"3,014",,"2,079",69,935,31,152,5,"2,862"
052124,秋田県,大仙市,市全域,2006（平成18）,"2,864",95,"1,956",68.3,912,31.8,143,5,"2,722"
052124,秋田県,大仙市,市全域,2007（平成19）,"2,744",95.8,"2,270",82.7,474,17.3,141,5.1,"2,600"
052124,秋田県,大仙市,市全域,2008（平成20）,"2,549",92.9,"2,105",82.6,444,17.4,163,6.4,"2,386"
052124,秋田県,大仙市,市全域,2009（平成21）,"2,550",100,"2,106",82.6,444,17.4,146,5.7,"2,404"
052124,秋田県,大仙市,市全域,2010（平成22）,"2,618",102.7,"2,052",78.4,566,21.6,139,5.3,"2,479"
052124,秋田県,大仙市,市全域,2011（平成23）,"2,355",90,"1,877",79.7,478,20.3,150,6.4,"2,205"
052124,秋田県,大仙市,市全域,2012（平成24）,"2,518",106.9,"1,997",79.3,521,20.7,151,6,"2,367"
052124,秋田県,大仙市,市全域,2013（平成25）,"2,640",104.8,"2,053",77.8,587,22.2,149,5.6,"2,491"
052124,秋田県,大仙市,市全域,2014（平成26）,"2,615",99.1,"2,094",80.1,521,19.9,160,6.1,"2,455"
052124,秋田県,大仙市,市全域,2015（平成27）,"2,631",100.6,"2,187",83.1,444,16.9,158,6,"2,473"
052124,秋田県,大仙市,市全域,2016（平成28）,"2,668",101.4,"2,217",83.1,451,16.9,159,6,"2,509"
052124,秋田県,大仙市,市全域,2017（平成29）,"2,782",104.3,"2,286",82.2,496,17.8,155,5.6,"2,627"
052124,秋田県,大仙市,市全域,2018（平成30）,"2,625",94.4,"2,170",82.7,455,17.3,167,6.4,"2,458"
052124,秋田県,大仙市,市全域,2019（平成31）,"2,598",99,"2,151",82.8,447,17.2,159,6.1,"2,439"
052124,秋田県,大仙市,市全域,2020（令和2）,"1,134",43.6,"1,004",88.5,130,11.5,97,8.6,"1,037"
052124,秋田県,大仙市,市全域,2021（令和3）,"1,180",104.1,"1,043",88.4,137,11.6,106,9,"1,074"
052124,秋田県,大仙市,大曲地域,2005（平成17）,"1,036",50.7,483,46.6,553,53.4,107,10.3,929
052124,秋田県,大仙市,大曲地域,2006（平成18）,"1,183",114.2,563,47.6,620,52.4,106,9,"1,077"
052124,秋田県,大仙市,大曲地域,2007（平成19）,"1,109",93.7,817,73.7,292,26.3,101,9.1,"1,008"
052124,秋田県,大仙市,大曲地域,2008（平成20）,982,88.5,732,74.5,250,25.5,129,13.1,853
052124,秋田県,大仙市,大曲地域,2009（平成21）,"1,009",102.7,752,74.5,257,25.5,110,10.9,899
052124,秋田県,大仙市,大曲地域,2010（平成22）,"1,099",108.9,802,73,297,27,103,9.4,996
052124,秋田県,大仙市,大曲地域,2011（平成23）,941,85.6,685,72.8,256,27.2,113,12,828
052124,秋田県,大仙市,大曲地域,2012（平成24）,"1,087",115.5,792,72.9,295,27.1,113,10.4,974
052124,秋田県,大仙市,大曲地域,2013（平成25）,"1,120",103,836,74.6,284,25.4,113,10.1,"1,007"
052124,秋田県,大仙市,大曲地域,2014（平成26）,"1,105",98.7,824,74.6,281,25.4,124,11.2,981
052124,秋田県,大仙市,大曲地域,2015（平成27）,"1,100",99.5,820,74.5,280,25.5,121,11,979
052124,秋田県,大仙市,大曲地域,2016（平成28）,"1,138",103.5,852,74.9,286,25.1,126,11.1,"1,012"
052124,秋田県,大仙市,大曲地域,2017（平成29）,"1,326",116.5,986,74.4,340,25.6,122,9.2,"1,204"
052124,秋田県,大仙市,大曲地域,2018（平成30）,"1,205",90.9,906,75.2,299,24.8,135,11.2,"1,070"
052124,秋田県,大仙市,大曲地域,2019（平成31）,"1,172",97.3,877,74.8,295,25.2,128,10.9,"1,044"
052124,秋田県,大仙市,大曲地域,2020（令和2）,129,11,101,78.3,28,21.7,85,65.9,44
052124,秋田県,大仙市,大曲地域,2021（令和3）,138,107,108,78.3,29,21,94,68.1,44
052124,秋田県,大仙市,神岡地域,2005（平成17）,330,187.3,323,97.9,7,2.1,4,1.2,326
052124,秋田県,大仙市,神岡地域,2006（平成18）,334,100.9,325,97.3,9,2.7,5,1.5,329
052124,秋田県,大仙市,神岡地域,2007（平成19）,321,96.4,312,97.2,9,2.8,5,1.6,316
052124,秋田県,大仙市,神岡地域,2008（平成20）,306,95.3,297,97.1,9,2.9,5,1.6,301
052124,秋田県,大仙市,神岡地域,2009（平成21）,294,96.1,286,97.3,8,2.7,5,1.7,289
052124,秋田県,大仙市,神岡地域,2010（平成22）,274,93.2,266,97.1,8,2.9,4,1.5,270
052124,秋田県,大仙市,神岡地域,2011（平成23）,258,94.2,251,97.3,7,2.7,5,1.9,253
052124,秋田県,大仙市,神岡地域,2012（平成24）,259,100.4,251,96.9,8,3.1,5,1.9,254
052124,秋田県,大仙市,神岡地域,2013（平成25）,267,103.1,257,96.3,10,3.7,5,1.9,262
052124,秋田県,大仙市,神岡地域,2014（平成26）,254,95.1,243,95.7,11,4.3,5,2,249
052124,秋田県,大仙市,神岡地域,2015（平成27）,270,106.3,263,97.4,7,2.6,4,1.5,266
052124,秋田県,大仙市,神岡地域,2016（平成28）,274,101.5,267,97.4,7,2.6,4,1.5,270
052124,秋田県,大仙市,神岡地域,2017（平成29）,249,90.9,243,97.6,6,2.4,4,1.6,245
052124,秋田県,大仙市,神岡地域,2018（平成30）,265,106.4,257,97,8,3,4,1.5,261
052124,秋田県,大仙市,神岡地域,2019（平成31）,256,96.6,248,96.9,8,3.1,4,1.6,252
052124,秋田県,大仙市,神岡地域,2020（令和2）,193,75.4,189,97.9,4,2.1,2,1,191
052124,秋田県,大仙市,神岡地域,2021（令和3）,206,106.7,201,97.6,4,1.9,3,1.5,203
052124,秋田県,大仙市,西仙北地域,2005（平成17）,160,88.7,139,86.9,21,13.1,10,6.3,150
052124,秋田県,大仙市,西仙北地域,2006（平成18）,149,93.2,130,87.2,19,12.8,9,6,140
052124,秋田県,大仙市,西仙北地域,2007（平成19）,139,92.6,120,86.3,19,13.7,9,6.5,130
052124,秋田県,大仙市,西仙北地域,2008（平成20）,128,92.1,114,89.1,14,10.9,10,7.8,118
052124,秋田県,大仙市,西仙北地域,2009（平成21）,133,103.9,119,89.5,14,10.5,8,6,125
052124,秋田県,大仙市,西仙北地域,2010（平成22）,130,97.7,115,88.5,15,11.5,9,6.9,121
052124,秋田県,大仙市,西仙北地域,2011（平成23）,113,86.9,100,88.5,13,11.5,9,8,104
052124,秋田県,大仙市,西仙北地域,2012（平成24）,128,113.3,114,89.1,14,10.9,9,7,119
052124,秋田県,大仙市,西仙北地域,2013（平成25）,128,100,114,89.1,14,10.9,8,6.3,120
052124,秋田県,大仙市,西仙北地域,2014（平成26）,119,93,102,85.7,17,14.3,9,7.6,110
052124,秋田県,大仙市,西仙北地域,2015（平成27）,119,100,114,95.8,5,4.2,7,5.9,112
052124,秋田県,大仙市,西仙北地域,2016（平成28）,114,95.8,109,95.6,5,4.4,7,6.1,107
052124,秋田県,大仙市,西仙北地域,2017（平成29）,105,92.1,101,96.2,4,3.8,6,5.7,99
052124,秋田県,大仙市,西仙北地域,2018（平成30）,108,102.9,103,95.4,5,4.6,6,5.6,102
052124,秋田県,大仙市,西仙北地域,2019（平成31）,101,93.5,96,95,5,5,6,5.9,95
052124,秋田県,大仙市,西仙北地域,2020（令和2）,86,85.1,83,96.5,3,3.5,3,3.5,83
052124,秋田県,大仙市,西仙北地域,2021（令和3）,89,103.5,86,96.6,3,3.4,3,3.4,86
052124,秋田県,大仙市,中仙地域,2005（平成17）,363,203.1,259,71.3,104,28.7,1,0.3,362
052124,秋田県,大仙市,中仙地域,2006（平成18）,350,96.4,274,78.3,76,21.7,0,0,351
052124,秋田県,大仙市,中仙地域,2007（平成19）,348,99.4,318,91.4,30,8.6,4,1.1,344
052124,秋田県,大仙市,中仙地域,2008（平成20）,345,99.1,270,78.3,75,21.7,0,0,345
052124,秋田県,大仙市,中仙地域,2009（平成21）,306,88.7,217,70.9,89,29.1,1,0.3,305
052124,秋田県,大仙市,中仙地域,2010（平成22）,308,100.7,215,69.8,93,30.2,2,0.6,306
052124,秋田県,大仙市,中仙地域,2011（平成23）,280,90.9,205,73.2,75,26.8,2,0.7,278
052124,秋田県,大仙市,中仙地域,2012（平成24）,260,92.9,188,72.3,72,27.7,2,0.8,258
052124,秋田県,大仙市,中仙地域,2013（平成25）,298,114.6,227,76.2,71,23.8,2,0.7,296
052124,秋田県,大仙市,中仙地域,2014（平成26）,291,97.7,223,76.6,68,23.4,2,0.7,289
052124,秋田県,大仙市,中仙地域,2015（平成27）,298,102.4,247,82.9,51,17.1,1,0.3,297
052124,秋田県,大仙市,中仙地域,2016（平成28）,318,106.7,265,83.3,53,16.7,1,0.3,317
052124,秋田県,大仙市,中仙地域,2017（平成29）,302,95,252,83.4,50,16.6,1,0.3,301
052124,秋田県,大仙市,中仙地域,2018（平成30）,288,95.4,240,83.3,48,16.7,1,0.3,287
052124,秋田県,大仙市,中仙地域,2019（平成31）,250,86.8,205,82,45,18,1,0.4,249
052124,秋田県,大仙市,中仙地域,2020（令和2）,157,62.8,128,81.5,29,18.5,0,0,157
052124,秋田県,大仙市,中仙地域,2021（令和3）,171,108.9,140,81.9,31,18.1,0,0,171
052124,秋田県,大仙市,協和地域,2005（平成17）,680,368.8,522,76.8,158,23.2,7,1,673
052124,秋田県,大仙市,協和地域,2006（平成18）,384,56.5,311,81,73,19,6,1.6,378
052124,秋田県,大仙市,協和地域,2007（平成19）,361,94,288,79.8,73,20.2,6,1.7,355
052124,秋田県,大仙市,協和地域,2008（平成20）,364,100.8,286,78.6,78,21.4,5,1.4,359
052124,秋田県,大仙市,協和地域,2009（平成21）,369,101.4,312,84.6,57,15.4,6,1.6,363
052124,秋田県,大仙市,協和地域,2010（平成22）,403,109.2,296,73.4,107,26.6,6,1.5,397
052124,秋田県,大仙市,協和地域,2011（平成23）,369,91.6,291,78.9,78,21.1,4,1.1,365
052124,秋田県,大仙市,協和地域,2012（平成24）,367,99.5,287,78.2,80,21.8,4,1.1,363
052124,秋田県,大仙市,協和地域,2013（平成25）,380,103.5,299,78.7,81,21.3,4,1.1,376
052124,秋田県,大仙市,協和地域,2014（平成26）,408,107.4,326,79.9,82,20.1,4,1,404
052124,秋田県,大仙市,協和地域,2015（平成27）,405,99.3,355,87.7,50,12.3,3,0.7,402
052124,秋田県,大仙市,協和地域,2016（平成28）,392,96.8,345,88,47,12,3,0.8,389
052124,秋田県,大仙市,協和地域,2017（平成29）,371,94.6,326,87.9,45,12.1,3,0.8,368
052124,秋田県,大仙市,協和地域,2018（平成30）,336,90.6,291,86.6,45,13.4,3,0.9,333
052124,秋田県,大仙市,協和地域,2019（平成31）,392,116.7,346,88.3,46,11.7,3,0.8,389
052124,秋田県,大仙市,協和地域,2020（令和2）,269,68.6,237,88.1,32,11.9,1,0.4,268
052124,秋田県,大仙市,協和地域,2021（令和3）,271,100.7,236,87.1,34,12.5,1,0.4,270
052124,秋田県,大仙市,南外地域,2005（平成17）,26,49.1,20,76.9,6,23.1,1,3.8,25
052124,秋田県,大仙市,南外地域,2006（平成18）,35,133.3,10,28.6,25,71.4,2,5.7,33
052124,秋田県,大仙市,南外地域,2007（平成19）,41,113.9,34,82.9,7,17.1,2,4.9,39
052124,秋田県,大仙市,南外地域,2008（平成20）,37,90.2,32,86.5,5,13.5,2,5.4,35
052124,秋田県,大仙市,南外地域,2009（平成21）,40,108.1,32,80,8,20,2,5,38
052124,秋田県,大仙市,南外地域,2010（平成22）,39,97.5,31,79.5,8,20.5,2,5.1,37
052124,秋田県,大仙市,南外地域,2011（平成23）,38,97.4,30,78.9,8,21.1,2,5.3,36
052124,秋田県,大仙市,南外地域,2012（平成24）,39,102.6,30,76.9,9,23.1,1,2.6,38
052124,秋田県,大仙市,南外地域,2013（平成25）,41,105.1,23,56.1,18,43.9,1,2.4,40
052124,秋田県,大仙市,南外地域,2014（平成26）,41,100,32,78,9,22,1,2.4,40
052124,秋田県,大仙市,南外地域,2015（平成27）,41,100,35,85.4,6,14.6,1,2.4,40
052124,秋田県,大仙市,南外地域,2016（平成28）,41,100,35,85.4,6,14.6,1,2.4,40
052124,秋田県,大仙市,南外地域,2017（平成29）,39,95.1,33,84.6,6,15.4,1,2.6,38
052124,秋田県,大仙市,南外地域,2018（平成30）,39,100,33,84.6,6,15.4,1,2.6,38
052124,秋田県,大仙市,南外地域,2019（平成31）,43,110.3,37,86,6,14,1,2.3,42
052124,秋田県,大仙市,南外地域,2020（令和2）,44,102.3,38,86.4,6,13.6,0,0,44
052124,秋田県,大仙市,南外地域,2021（令和3）,44,100,38,86.4,6,13.6,0,0,44
052124,秋田県,大仙市,仙北地域,2005（平成17）,145,92,130,89.7,15,10.3,7,4.8,138
052124,秋田県,大仙市,仙北地域,2006（平成18）,140,95.9,124,88.6,16,11.4,6,4.3,134
052124,秋田県,大仙市,仙北地域,2007（平成19）,132,95,106,80.3,26,19.7,5,3.8,127
052124,秋田県,大仙市,仙北地域,2008（平成20）,126,95.5,114,90.5,12,9.5,5,4,121
052124,秋田県,大仙市,仙北地域,2009（平成21）,119,94.4,113,95,6,5,5,4.2,114
052124,秋田県,大仙市,仙北地域,2010（平成22）,111,93.3,105,94.6,6,5.4,4,3.6,107
052124,秋田県,大仙市,仙北地域,2011（平成23）,110,99.1,104,94.5,6,5.5,5,4.5,105
052124,秋田県,大仙市,仙北地域,2012（平成24）,131,119.1,121,92.4,10,7.6,5,3.8,126
