都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
52124,1000100,秋田県,大仙市,大仙市役所大曲庁舎,ダイセンシヤクショ,Daisen city hall,秋田県大仙市大曲花園町1-1,,39.453253,140.475402,大仙市,0187-63-1111,,FREESPOT,市民ホール,https://www.city.daisen.lg.jp/,
52124,1000200,秋田県,大仙市,大仙市立大曲図書館,オオマガリトショカン,Omagari Library,秋田県大仙市大曲上栄町2-16,,39.452786,140.475229,大仙市,0187-62-1012,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013092300024/,
52124,1000300,秋田県,大仙市,観光情報センター　グランポール,カンコウジョウホウセンターグランポール,Daisen Tourlist Information Grandpole,秋田県大仙市大曲通町6-5,JR大曲駅2階,39.465843,140.479817,大仙市,0187-86-0888,,FREESPOT,,http://daisenkankou.com/about/information.html,
52124,1000400,秋田県,大仙市,JR大曲駅,オオマガリエキ,Omagari Station,秋田県大仙市大曲通町6-5,,39.465843,140.479817,大仙市,,,FREESPOT,1階ふれあい広場,,
52124,1000500,秋田県,大仙市,大仙市立大曲病院,オオマガリビョウイン,Omagari Hospital,秋田県大仙市飯田字堰東210,,39.44641,140.483474,大仙市,0187-63-9100,,FREESPOT,待合室,http://omagari-hospital.sakura.ne.jp/,
52124,1000600,秋田県,大仙市,大仙市立大曲市民会館小ホール,オオマガリシミンカイカンショウホール,Omagari Civic Centre Small Hall,秋田県大仙市大曲日の出町2-6-60,,39.449102,140.481004,大仙市,0187-63-8766,,FREESPOT,1階ロビー,https://www.city.daisen.lg.jp/docs/2013110800215/,
52124,1000700,秋田県,大仙市,大仙市立大曲体育館,オオマガリタイイクカン,Omagari Gymnasium,秋田県大仙市大曲花園町1-1,大曲体育館,39.454107,140.475502,大仙市,0187-63-1122,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2016061500012/,
52124,1000800,秋田県,大仙市,サンクエスト大曲,サンクエストオオマガリ,Sunquest Omagari,秋田県大仙市大曲日の出町1-23-3,,39.446546,140.476901,大仙市,0187-63-5572,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2020042200075/,
52124,1000900,秋田県,大仙市,地域交流センターはぴねす大仙,チイキコウリュウセンターハピネスダイセン,Happiness Daisen,秋田県大仙市幸町2-70,,39.471113,140.480562,大仙市,0187-88-8722,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013110500269/,
52124,1001000,秋田県,大仙市,市民活動交流拠点センターAnbee大曲,シミンカツドウコウリュウキョテンセンターアンベーオオマガリ,"Community Centre ""Anbee Omagari""",秋田県大仙市大曲通町8-36,Anbee大曲2階,39.464833,140.476832,大仙市,0187-88-8039,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2016080800056/,
52124,1001100,秋田県,大仙市,大仙市健康福祉会館,ダイセンシケンコウフクシカイカン,Daisen Health and Welfare Hall,秋田県大仙市大曲通町1-14,大仙市健康福祉会館,39.464457,140.477591,大仙市,,,FREESPOT,市民サロン,https://www.city.daisen.lg.jp/,
52124,1001210,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f1-01,1階,https://hanabimuseum.jp/,
52124,1001220,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f1-02,1階,https://hanabimuseum.jp/,
52124,1001230,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f2-01,2階,https://hanabimuseum.jp/,
52124,1001240,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f2-02,2階,https://hanabimuseum.jp/,
52124,1001250,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f3-01,3階,https://hanabimuseum.jp/,
52124,1001260,秋田県,大仙市,花火伝統文化継承資料館はなび・アム,ハナビデントウブンカデンショウシリョウカン　ハナビアム,Fireworks Traditional Culture Succession Museum 'Hanabium',秋田県大仙市大曲大町7-19,,39.459966,140.480494,大仙市,0187-73-7931,,hanabium-f4-01,4階,https://hanabimuseum.jp/,
52124,1001300,秋田県,大仙市,大仙市立花館公民館,ダイセンシリツハナダテコウミンカン,Hanadate public hall,秋田県大仙市花館上町5番19号,,39.47237,140.465351,大仙市,0187-62-3012,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,1001400,秋田県,大仙市,大仙市立内小友公民館,ダイセンシリツウチオトモコウミンカン,Utiotomo public hall,秋田県大仙市内小友字仙北屋68番地の2,,39.472377,140.465351,大仙市,0187-68-2033,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,1001500,秋田県,大仙市,大仙市立大川西根公民館,ダイセンシリツオオカワニシネコウミンカン,Okawanishine public hall,秋田県大仙市大曲西根字小館10番地,,39.447484,140.451295,大仙市,0187-68-3531,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,1001600,秋田県,大仙市,大仙市立藤木公民館,ダイセンシリツフジキコウミンカン,Fujiki public hall,秋田県大仙市藤木字乙本藤木8番地,,39.412561,140.494851,大仙市,0187-65-2823,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,1001700,秋田県,大仙市,大仙市立角間川公民館,ダイセンシリツカクマガワコウミンカン,Kakumagawa public hall,秋田県大仙市角間川町字四上町1番地,,39.401716,140.483665,大仙市,0187-65-2545,,FREESPOT,玄関付近,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,2000100,秋田県,大仙市,大仙市役所神岡庁舎,ダイセンシヤクショカミオカシショ,Daisen city hall Kamioka branch,秋田県大仙市神宮寺字蓮沼16-3,,39.492324,140.425492,大仙市,0187-72-2111,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,2000200,秋田県,大仙市,大仙市立神岡中央公民館,カミオカトショカン,Kamioka public hall,秋田県大仙市神宮寺字下川原前開102,,39.496697,140.413729,大仙市,0187-72-2501,,FREESPOT,,https://www.city.daisen.lg.jp/docs/2013122000122/,
52124,2100100,秋田県,大仙市,かみおか温泉　嶽の湯,カミオカオンセン　ダケノユ,Dakenoyu,秋田県大仙市神宮寺下川原前開86-1,,39.495754,140.415042,大仙市,0187-87-1700,,Daisen08,全館,http://www.dakenoyu.jp/,
52124,2100200,秋田県,大仙市,道の駅かみおか　茶屋っこ一里塚,ミチノエキカミオカ　チャヤッコイチリヅカ,,秋田県大仙市北楢岡字船戸187,,39.522462,140.376586,大仙市,0187-72-4004,,Daisen08,入口付近,http://www.chayakko.jp/,
52124,3000100,秋田県,大仙市,大仙市役所西仙北庁舎,ダイセンシヤクショニシセンボクシショ,Daisen city hall Nishisemboku branch,秋田県大仙市刈和野字本町5,,39.546519,140.369571,大仙市,0187-75-1111,,FREESPOT,1階ホール,https://www.city.daisen.lg.jp/,
52124,3000200,秋田県,大仙市,大仙市大綱交流館,ダイセンシオオツナコウリュウカン,Otsuna Community Centre,秋田県大仙市刈和野字愛宕下24-1,,39.544618,140.375377,大仙市,0187-75-1115,,FREESPOT,全館,https://www.city.daisen.lg.jp/docs/2021030200077/,
