１８０　公 営 企 業 会 計 予 算 お よ び 決 算,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,単位：千円、％,,,
区分,,令和２年度,,,３,,,４,,,
,,当初予算額,決算額,,当初予算額,決算額,,当初予算額,,,
,,,,対前年度比,,,対前年度比,,,,
水道事業,収益的収入,"7,689,809 ","7,649,732 ",99.8 ,"7,724,804 ","7,766,109 ",101.5 ,"7,848,247 ",,,
,収益的支出,"7,178,370 ","6,518,542 ",98.2 ,"7,097,577 ","6,432,650 ",98.7 ,"7,112,664 ",,,
,資本的収入,"1,608,723 ","1,555,194 ",105.2 ,"2,169,086 ","1,554,371 ",99.9 ,"2,200,777 ",,,
,資本的支出,"4,384,210 ","4,076,682 ",99.6 ,"5,325,703 ","3,815,364 ",93.6 ,"5,533,853 ",,,
下水道事業,収益的収入,"11,002,070 ","10,783,449 ",99.8 ,"10,568,043 ","10,648,059 ",98.7 ,"10,789,338 ",,,
,収益的支出,"10,561,045 ","10,183,894 ",108.4 ,"10,327,201 ","10,020,623 ",98.4 ,"10,235,730 ",,,
,資本的収入,"5,121,242 ","5,546,677 ",95.0 ,"5,885,483 ","5,640,422 ",101.7 ,"6,238,073 ",,,
,資本的支出,"9,525,972 ","9,988,708 ",99.1 ,"9,675,000 ","9,727,456 ",97.4 ,"10,309,146 ",,,
農業集落排水事業,収益的収入,"780,407 ","745,275 ",99.3 ,"733,543 ","695,311 ",93.3 ,"655,975 ",,,
,収益的支出,"778,387 ","724,162 ",100.0 ,"732,105 ","673,116 ",93.0 ,"654,079 ",,,
,資本的収入,"214,832 ","175,037 ",86.4 ,"207,658 ","117,518 ",67.1 ,"208,304 ",,,
,資本的支出,"443,085 ","402,639 ",94.5 ,"434,534 ","341,173 ",84.7 ,"414,563 ",,,
　資料　秋田市財政課,,,,,,,,,,,
