市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数（回）,利用者数（人）,,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2005(平成17),-,"8,337 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2006(平成18）,-,"7,768 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2007(平成19）,-,"8,009 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2008(平成20）,906 ,"9,175 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2009(平成21）,"1,000 ","9,034 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2010(平成22）,946 ,"7,681 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2011(平成23）,961 ,"7,430 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2012(平成24）,"1,036 ","7,784 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2013(平成25）,"1,031 ","7,382 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2014(平成26）,960 ,"6,858 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2015(平成27）,994 ,"6,867 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2016(平成28）,"1,338 ","9,454 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2017(平成29）,"1,270 ","7,957 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2018(平成30）,471 ,"3,153 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2019(令和1）,166 ,"1,298 ",,,,,
05212,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2020(令和2）,-,-,,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2005(平成17),"1,211 ","17,926 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2006(平成18）,"1,239 ","17,691 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2007(平成19）,"1,370 ","17,785 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2008(平成20）,"1,141 ","15,681 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2009(平成21）,966 ,"15,980 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2010(平成22）,998 ,"13,439 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2011(平成23）,916 ,"12,470 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2012(平成24）,839 ,"12,383 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2013(平成25）,993 ,"18,127 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2014(平成26）,"1,051 ","18,298 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2015(平成27）,"1,277 ","16,412 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2016(平成28）,"1,568 ","17,616 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2017(平成29）,"1,515 ","18,029 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2018(平成30）,"1,527 ","18,588 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2019(令和1）,"1,431 ","16,160 ",,,,,
05212,秋田県,大仙市,大曲地域,花館公民館,2020(令和2）,"1,205 ","12,409 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2005(平成17),921 ,"9,176 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2006(平成18）,674 ,"8,816 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2007(平成19）,662 ,"8,371 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2008(平成20）,704 ,"9,823 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2009(平成21）,710 ,"7,157 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2010(平成22）,437 ,"5,411 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2011(平成23）,432 ,"5,139 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2012(平成24）,523 ,"5,810 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2013(平成25）,490 ,"5,455 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2014(平成26）,670 ,"8,117 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2015(平成27）,704 ,"8,267 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2016(平成28）,800 ,"8,887 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2017(平成29）,725 ,"8,369 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2018(平成30）,641 ,"6,158 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2019(令和1）,932 ,"7,702 ",,,,,
05212,秋田県,大仙市,大曲地域,内小友公民館,2020(令和2）,762 ,"5,929 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2005(平成17),704 ,"8,843 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2006(平成18）,750 ,"9,862 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2007(平成19）,754 ,"9,913 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2008(平成20）,787 ,"10,109 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2009(平成21）,790 ,"10,847 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2010(平成22）,801 ,"9,481 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2011(平成23）,759 ,"8,940 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2012(平成24）,713 ,"9,439 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2013(平成25）,722 ,"9,323 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2014(平成26）,768 ,"9,380 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2015(平成27）,747 ,"9,936 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2016(平成28）,655 ,"8,800 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2017(平成29）,735 ,"10,328 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2018(平成30）,722 ,"10,359 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2019(令和1）,646 ,"8,750 ",,,,,
05212,秋田県,大仙市,大曲地域,藤木公民館,2020(令和2）,629 ,"6,606 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2005(平成17),"1,328 ","14,890 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2006(平成18）,"1,160 ","13,394 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2007(平成19）,"1,277 ","15,815 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2008(平成20）,"1,601 ","18,886 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2009(平成21）,"1,024 ","12,599 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2010(平成22）,"1,071 ","13,963 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2011(平成23）,"1,027 ","11,364 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2012(平成24）,"1,071 ","14,524 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2013(平成25）,"1,043 ","13,766 ",,,,,
05212,秋田県,大仙市,大曲地域,角間川公民館,2014(平成26）,952 ,"13,967 ",,,,,
