指定緊急避難場所一覧,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NO,施設・場所名,住所,対象とする異常な現象の種類,,,,,,,,指定避難所との重複,想定収容人数,緯度,経度
,,,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,,,,
1,秋田工業高等専門学校グラウンド,秋田県秋田市飯島文京町地内,○,○,,○,○,,,,,"津波30,400人(1㎡あたり1人）
津波以外15,200人（2㎡あたり1人）",39.77341659,140.0789035
2,土崎南小学校グラウンド,秋田県秋田市土崎港東1-6-39,○,○,,○,○,,,,,"津波5,470人(1㎡あたり1人）
津波以外2,735人（2㎡あたり1人）",39.75033134,140.0767071
3,将軍野中学校グラウンド,秋田県秋田市将軍野南1-12-1,○,○,,○,○,,,,,"津波12,920人(1㎡あたり1人）
津波以外6,460（2㎡あたり1人）",39.74451704,140.0807189
4,高清水小学校グラウンド,秋田県秋田市将軍野南1-2-16,○,○,,○,○,,,,,"津波13,700人(1㎡あたり1人）
津波以外6,850（2㎡あたり1人）",39.74397181,140.0838331
5,寺内小学校グラウンド,秋田県秋田市寺内堂ノ沢2-14-1,○,○,,○,○,,,,,"津波8,490人(1㎡あたり1人）
津波以外4,245人（2㎡あたり1人）",39.7344935,140.0858208
6,金足西小学校グラウンド,秋田県秋田市金足大清水字大清水台1,○,○,,○,,,,,,"6,925人(2㎡あたり1人）",39.83955402,140.0533712
7,下新城小学校グラウンド,秋田県秋田市下新城笠岡字佐戸反10,,○,,○,,,,,,"12,110人(2㎡あたり1人）",39.79946125,140.0767344
8,上新城小学校グラウンド,秋田県秋田市上新城五十丁字大村屋敷22,,○,,○,,,,,,"4,555人(2㎡あたり1人）",39.79494622,140.1231767
9,飯島小学校グラウンド,秋田県秋田市飯島鼠田2-2-1,○,○,,○,,,,,,"8,669人(2㎡あたり1人）",39.77755137,140.0738509
10,港北小学校グラウンド,秋田県秋田市土崎港北4-6-1,○,○,,○,,,,,,"7,913人(2㎡あたり1人）",39.76323395,140.0753933
11,土崎小学校グラウンド,秋田県秋田市土崎港中央3-1-78,○,○,,○,,,,,,"2,104人(2㎡あたり1人）",39.75445554,140.0714783
12,外旭川小学校グラウンド,秋田県秋田市外旭川字梶ノ目262-2,○,○,,○,,,,,,"5,350人(2㎡あたり1人）",39.7477693,140.1093917
13,飯島南小学校グラウンド,秋田県秋田市飯島西袋1-1-2,○,○,,○,,,,,,"4,780人(2㎡あたり1人）",39.76694488,140.0911707
14,秋田北中学校グラウンド,秋田県秋田市下新城中野字街道端西241-90,○,○,,○,,,,,,"4,855人(2㎡あたり1人）",39.80604548,140.053292
15,土崎中学校グラウンド,秋田県秋田市土崎港北1-3-1,○,○,,○,,,,,,"5,365人(2㎡あたり1人）",39.75884946,140.0772343
16,飯島中学校グラウンド,秋田県秋田市飯島字田尻堰越48,○,○,,○,,,,,,"4,890人(2㎡あたり1人）",39.77361309,140.0845313
17,外旭川中学校グラウンド,秋田県秋田市外旭川字梶ノ目50,○,○,,○,,,,,,"11,475人(2㎡あたり1人）",39.74833317,140.1147612
18,旧金足東小学校グラウンド,秋田県秋田市金足片田字待入109,○,,,○,,,,,,"3,175人(2㎡あたり1人）",39.82352883,140.0917459
19,市立体育館第２駐車場,秋田県秋田市八橋本町六丁目地内,,○,,○,,,,,,575人(2㎡あたり1人）,39.72664247,140.0886241
20,"外旭川地域運動広場
（旧外旭川中学校グラウンド）",秋田県秋田市外旭川八幡田1-18,○,○,,○,,,,,,"5,085人(2㎡あたり1人）",39.74386388,140.1078765
21,飯島西部街区公園,秋田県秋田市飯島川端3地内,○,○,,○,○,,,,,"津波2,500人(1㎡あたり1人）
津波以外1,250人（2㎡あたり1人）",39.78677594,140.0614457
22,飯島穀丁第四児童遊園地（松風団地）,秋田県秋田市飯島穀丁地内,○,○,,○,○,,,,,"津波250人(1㎡あたり1人）
津波以外125人（2㎡あたり1人）",39.77600607,140.0651491
23,飯島神社街区公園,秋田県秋田市飯島松根西町地内,○,○,,○,○,,,,,"津波4,600人(1㎡あたり1人）
津波以外2,300人（2㎡あたり1人）",39.77153977,140.0719518
24,琴平第二街区公園,秋田県秋田市土崎港中央4地内,○,○,,○,○,,,,,"津波1,800人(1㎡あたり1人）
津波以外900人（2㎡あたり1人）",39.7553432,140.0753619
25,飯島道東一丁目第一児童遊園地,秋田県秋田市飯島道東1地内,○,○,,○,○,,,,,"津波500人(1㎡あたり1人）
津波以外250人（2㎡あたり1人）",39.77734406,140.067762
26,八橋墓地公園,秋田県秋田市八橋本町6地内,,○,,○,,,,,,300人(2㎡あたり1人）,39.72632818,140.0892433
27,前谷地近隣公園,秋田県秋田市外旭川字前谷地地内,○,○,,○,,,,,,"10,000人(2㎡あたり1人）",39.7551954,140.0928835
28,光沼近隣公園,秋田県秋田市土崎港相染町字沼端77,○,○,,○,,,,,,"14,450人(2㎡あたり1人）",39.76755687,140.0667396
29,土崎駅東第三街区公園,秋田県秋田市土崎港北2-18,○,○,,○,,,,,,"1,750人(2㎡あたり1人）",39.76078403,140.0808595
30,古川町街区公園（土崎市民グラウンド）,秋田県秋田市土崎港西4-3-1,○,○,,○,,,,,,"4,700人(2㎡あたり1人）",39.75875196,140.0643993
31,飯島地区コミュニティセンター敷地,秋田県秋田市飯島松根東町地内,○,○,,○,○,,,,,"津波1,300人(1㎡あたり1人）
津波以外650人（2㎡あたり1人）",39.77222524,140.072968
32,寺内地区コミュニティセンター敷地,秋田県秋田市寺内神屋敷地内,○,○,,○,○,,,,,"津波1,700人(1㎡あたり1人）
津波以外850人（2㎡あたり1人）",39.73536202,140.0829197
33,秋田県立金足農業高等学校野球場･ラグビー場,秋田県秋田市金足追分字海老穴102ｰ4,○,○,,○,,,,,,"6,840人（2㎡あたり1人）",39.81508513,140.0585402
34,秋田県立秋田中央高等学校野球場･ラグビー場,秋田県秋田市土崎港南3ｰ2-78,○,○,,○,○,,,,,"津波15,540人(1㎡あたり1人）
津波以外7,770人（2㎡あたり1人）",39.7437823,140.0771606
35,社会福祉法人感恩講児童保育院グラウンド,秋田県秋田市寺内神屋敷2-1,○,,,○,○,,,,,"津波5,000人(1㎡あたり1人）
津波以外2,500人（2㎡あたり1人）",39.73160476,140.0837445
36,秋田県立大学陸上競技場,秋田県秋田市下新城中野字街道端西241-7,○,○,,○,,,,,,"11,173人（2㎡あたり1人）",39.79899201,140.0473729
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
