２１　学　校　の　概　況,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,令和４年５月１日現在,
学校,学校数,,,園 児 ・ 児 童 ・ 生 徒 ・ 学 生 数 (人),,,,,,,,,"教員数
(人)",
,"総
数",国･公立,"私
立",総数,,,国・公立,,,私立,,,,
,,,,計,男,女,計,男,女,計,男,女,,
幼　 稚　 園, 16 , 1 , 15 ," 1,096 ", 557 , 539 , 66 , 36 , 30 ," 1,030 ", 521 , 509 , 146 ,
"幼保連携型
認定こども園", 24 , － , 24 ," 3,435 "," 1,753 "," 1,682 ", － , － , － ," 3,435 "," 1,753 "," 1,682 ", 606 ,
小 　学　 校, 42 , 42 , － ," 13,594 "," 6,902 "," 6,692 "," 13,594 "," 6,902 "," 6,692 ", － , － , － , 866 ,
中 　学 　校, 27 , 26 , 1 ," 7,342 "," 3,710 "," 3,632 "," 7,342 "," 3,710 "," 3,632 ", － , － , － , 585 ,
高 等　学 校, 14 , 10 , 4 ," 7,720 "," 3,823 "," 3,897 "," 5,677 "," 2,949 "," 2,728 "," 2,043 ", 874 ," 1,169 ", 619 ,
短 期　大 学, 4 , － , 4 , 606 , 37 , 569 , － , － , － , 606 , 37 , 569 , 59 ,
高等専門学校, 1 , 1 , － , 840 , 642 , 198 , 840 , 642 , 198 , － , － , － , 58 ,
大　　　　学, 6 , 4 , 2 ," 7,425 "," 4,011 "," 3,414 "," 6,276 "," 3,384 "," 2,892 "," 1,149 ", 627 , 522 , 887 ,
特別支援学校, 5 , 5 , － , 445 , 276 , 169 , 445 , 276 , 169 , － , － , － , 364 ,
専 修　学 校, 13 , 1 , 12 ," 1,251 ", 370 , 881 , 81 , 8 , 73 ," 1,170 ", 362 , 808 , 99 ,
各 種　学 校, 1 , － , 1 , 3 , 2 , 1 , － , － , － , 3 , 2 , 1 , 3 ,
  資料　秋田県調査統計課「学校基本調査結果報告書」(※大学、短期大学、高等専門学校については文部科学省｢学校基本調査｣),,,,,,,,,,,,,,
　　注）１　公立小中学校に分校１校を含む。,,,,,,,,,,,,,,
　　　　２　こども園の園児数には、保育部分の園児数も含めた０歳から５歳までの利用者数。,,,,,,,,,,,,,,
　　　　３　高等学校の生徒には、通信制含めず。,,,,,,,,,,,,,,
　　　　４　大学・短大の学生数は、学部・本科の学生数である。        ,,,,,,,,,,,,,,
　　　　５　高等専門学校の学生数には、専攻科を除く。,,,,,,,,,,,,,,
　　　　６　教員数は本務者分である。,,,,,,,,,,,,,,
