地域,年度,資格決定件数(一般)_総数(人),資格決定件数(一般)_男(人),資格決定件数(一般)_女(人),初回受給者数(一般)_総数(人),初回受給者数(一般)_男(人),初回受給者数(一般)_女(人),受給者実人数_総数(人),受給者実人数_一般(人),受給者実人数_特例(人),受給者実人数_高年齢(人),支給金額_総額(千円),支給金額_一般(千円),支給金額_特例(千円),支給金額_高年齢(千円)
大仙市_美郷町管内,2005(平成17),1940,935,1005,1599,781,818,8901,7327,1495,79,1212112,802191,394575,15346
大仙市_美郷町管内,2006(平成18）,1924,969,955,1522,712,810,8280,6804,1403,73,1128969,744676,369784,14509
大仙市_美郷町管内,2007(平成19）,1995,1004,991,1715,856,859,9235,7884,1259,92,1195965,879126,298315,18524
大仙市_美郷町管内,2008(平成20）,2716,1336,1380,2399,1188,1211,10898,9640,1165,93,1295628,1035633,241012,18983
大仙市_美郷町管内,2009(平成21）,1931,979,952,1788,897,891,12952,11741,1114,97,1653036,1406620,226887,19529
大仙市_美郷町管内,2010(平成22）,1730,880,850,1500,738,762,8889,7742,1050,97,1078981,851208,209777,17996
大仙市_美郷町管内,2011(平成23）,1977,923,1054,1693,788,905,9616,8580,937,99,1123005,915480,189375,18150
大仙市_美郷町管内,2012(平成24）,1942,909,1033,1662,757,905,9227,8279,842,106,1097198,904202,173658,19338
大仙市_美郷町管内,2013(平成25）,1708,762,946,1424,601,823,7996,7074,779,143,963689,778596,158580,26513
大仙市_美郷町管内,2014(平成26）,1362,595,767,1119,451,668,6320,5413,778,129,748165,564846,157750,25569
大仙市_美郷町管内,2015(平成27）,1325,548,777,1026,413,613,5313,4464,693,156,649868,479761,139263,30844
大仙市_美郷町管内,2016(平成28）,1124,478,646,877,328,549,4860,4064,626,170,594384,435100,125889,33395
大仙市_美郷町管内,2017(平成29）,1157,499,658,889,352,537,4469,3691,594,184,561535,404821,119580,37134
大仙市_美郷町管内,2018(平成30）,1033,394,639,769,271,498,4056,3300,546,210,520950,366864,111903,42183
大仙市_美郷町管内,2019(平成31/令和1）,1144,486,658,856,326,530,4260,3531,498,231,545981,394067,104489,47425
大仙市_美郷町管内,2020(令和2）,1199,496,703,973,387,586,5502,4735,449,318,726603,568202,95574,62827
大仙市_美郷町管内,2021(令和3）,949,426,523,798,345,453,4709,3897,402,410,620123,453772,83961,82390
