地域コード,市町村,地域,年次,総数(万円),食料品(万円),飲料・飼料(万円),繊維(万円),衣服(万円),木材・木製品(万円),家具・装備品(万円),パルプ・紙(万円),出版・印刷(万円),化学(万円),石油製品(万円),プラスチック(万円),ゴム製品(万円),皮革(万円),窯業・土石(万円),鉄鋼(万円),非鉄金属(万円),金属製品(万円),一般機械(万円),はん用機械(万円),生産用機械(万円),業務用機械(万円),電子部品(万円),電子部品・デバイス(万円),電気機械(万円),情報通信機械(万円),輸送機械(万円),精密機械(万円),その他(万円)
052124,大仙市,市内全域,1991年(平成3),10273838,194510,152923,108167,739095,383795,14131,-,92543,-,-,196848,-,16995,691965,-,-,557312,404500,-,-,-,-,-,1691944,-,-,2422885,82016
052124,大仙市,市内全域,1992年(平成4),9343691,281523,149191,111893,770327,390080,13577,-,94685,-,-,181635,-,4590,648152,49095,-,229943,177891,-,-,-,-,-,1511328,-,-,2108482,82609
052124,大仙市,市内全域,1993年(平成5）,8642596,284857,-,141482,736952,396796,14024,-,91760,-,-,224400,-,21653,777228,-,-,217835,455758,-,-,-,-,-,1421752,-,-,1799032,93578
052124,大仙市,市内全域,1994年(平成6）,8978572,342988,-,-,889562,405278,14240,-,88731,-,-,217566,-,22690,781930,-,-,398777,387745,-,-,-,-,-,1440047,-,-,2078351,98528
052124,大仙市,市内全域,1995年(平成7）,9020545,269091,-,-,840143,234855,12120,-,94184,-,-,242910,-,24241,833301,-,-,304840,399317,-,-,-,-,-,1469780,-,-,2305368,123367
052124,大仙市,市内全域,1996年(平成8),9357895,272176,-,-,828575,351226,9810,-,115136,-,-,235187,-,22342,980146,-,-,328509,412736,-,-,-,-,-,1371536,-,-,2429563,109365
052124,大仙市,市内全域,1997年(平成9),9894780,245154,-,-,833013,419099,-,-,113661,-,-,268466,-,19375,844122,-,-,425868,435538,-,-,-,-,-,1601296,-,-,2691085,111552
052124,大仙市,市内全域,1998年(平成10),9694916,291136,-,-,793946,302226,20513,-,104946,-,-,264099,-,34910,720121,-,-,355263,381826,-,-,-,-,-,1436159,-,-,2887139,92891
052124,大仙市,市内全域,1999年(平成11),9445301,266689,-,-,691269,327939,39328,-,106319,-,-,241231,-,28396,720904,-,-,280720,346343,-,-,-,-,-,1354644,-,-,2898567,92978
052124,大仙市,市内全域,2000年(平成12),10024771,291700,-,-,616325,310616,27393,-,119857,-,-,225434,-,27438,754285,-,-,300455,448390,-,-,-,-,-,2978068,-,-,791993,87953
052124,大仙市,市内全域,2001年(平成13),8629840,278730,-,-,514481,261499,30592,-,111644,-,-,143935,-,22776,537748,-,-,235667,363003,-,-,-,-,-,2548826,-,63914,768620,86834
052124,大仙市,市内全域,2002年(平成14),8942597,238671,-,-,839757,232042,21777,-,99984,-,-,57278,-,19845,484197,-,-,195501,354192,-,-,-,2920608,-,-,-,90406,706036,96037
052124,大仙市,市内全域,2003年(平成15),8420951,208746,-,-,826068,227511,-,-,101918,-,-,63425,-,16929,477718,-,-,199332,409889,-,-,-,2328245,-,-,-,100656,671654,95440
052124,大仙市,市内全域,2004年(平成16),10256942,199919,-,-,796688,225132,-,-,106086,-,-,67575,-,17081,417440,-,-,438110,525027,-,-,-,4180117,-,-,-,127920,632906,99295
052124,大仙市,市内全域,2005年(平成17),11845914,413635,252689,-,778950,220491,18795,-,140662,-,-,289291,-,19083,517453,31627,98987,725918,1030430,-,-,-,-,6103891,30430,-,224181,773811,126913
052124,大仙市,市内全域,2006年(平成18),13481832,383091,224511,-,965294,218355,26105,-,125442,-,-,325248,-,19127,521210,35876,110904,880835,817084,-,-,-,-,7608256,60231,-,236391,760314,116132
052124,大仙市,市内全域,2007年(平成19),11336252,407528,223663,-,966029,212865,25215,-,126465,-,-,365983,-,21111,476378,-,118862,713756,764850,-,-,-,-,5402351,99762,45986,249131,900426,118146
052124,大仙市,市内全域,2008年(平成20),10841092,418363,226519,947415,-,196844,28297,-,123500,-,-,337531,-,68873,479205,-,65460,906540,-,-,727227,943174,-,4717121,93727,-,-,-,129365
052124,大仙市,市内全域,2009年(平成21),6044460,406842,215442,830770,-,154918,20365,-,109472,-,-,272503,-,56429,443450,-,54900,654276,-,-,532367,582006,-,1217229,44153,52051,119583,-,120059
052124,大仙市,市内全域,2010年(平成22),7277950,393968,214141,901532,-,153220,-,-,112762,-,-,227922,-,67727,406000,-,64151,862537,-,-,586877,555062,-,2098246,106511,56810,185581,-,114919
052124,大仙市,市内全域,2011年(平成23),6783818,388405,202164,1026074,-,109600,10900,-,132436,-,-,129599,-,54888,384597,57694,63703,581938,-,-,480556,396202,-,2111265,87997,49659,196309,-,123855
052124,大仙市,市内全域,2012年(平成24),6056342,347668,220292,1018501,-,77130,-,-,129250,-,-,312563,-,41232,365675,55006,63441,703169,-,-,572930,692258,-,950926,64281,-,207631,-,127221
052124,大仙市,市内全域,2013年(平成25),5990704,381085,217752,993458,-,89367,-,-,119704,-,-,237000,-,48771,463105,58067,-,764149,-,-,545086,623573,-,809103,83800,-,170895,-,127579
052124,大仙市,市内全域,2014年(平成26),6469476,337288,220960,1033924,-,101260,-,-,117739,-,-,263104,-,36872,438507,60549,-,1093386,-,-,678264,594039,-,826223,92803,-,179879,-,131363
052124,大仙市,市内全域,2015年(平成27)/2016年(平成28),6038496,389246,221880,1035820,-,87760,-,-,101443,-,-,230772,-,51855,432593,-,-,1121340,-,-,671644,628669,-,365507,50980,-,-,-,137736
052124,大仙市,市内全域,2017年(平成29),7014549,373808,225554,1138162,-,94808,-,-,105982,-,-,290258,-,46655,440665,44428,-,1065940,-,-,746498,690995,-,945694,124975,-,190949,-,144761
052124,大仙市,市内全域,2018年(平成30),6880684,372904,225582,1021041,-,95695,-,-,105591,-,-,288657,-,50141,508778,57676,-,841743,-,-,787414,779700,-,964673,114786,-,199543,-,101667
052124,大仙市,市内全域,2019年(平成31/令和1),7279145,352171,244933,1033163,-,92175,-,-,102326,-,-,323062,-,37370,510672,57353,-,968028,-,-,800582,784378,-,1042967,93047,95241,206815,-,125783
052124,大仙市,市内全域,2020年(令和2),7274343,374774,218726,1018115,-,59672,-,-,111558,-,-,264208,-,41829,525532,41799,-,1244496,-,-,930731,742269,-,918881,70953,-,173101,-,123061
