市町村コード,都道府県名,市町村名,年度,身体障がい者手帳所持者総数（人）,肢体不自由（人）,視覚障がい（人）,聴覚・平衡機能障がい（人）,音声・言語・そしゃく機能障がい（人）,内部障がい（人）
052124,秋田県,大仙市,1997（平成9）,4335,2785,376,449,51,674
052124,秋田県,大仙市,1998（平成10）,4398,2786,381,447,56,728
052124,秋田県,大仙市,1999（平成11）,4496,2861,367,444,59,765
052124,秋田県,大仙市,2000（平成12）,4559,2875,360,443,59,822
052124,秋田県,大仙市,2001（平成13）,4577,2919,362,428,56,812
052124,秋田県,大仙市,2002（平成14）,4724,3029,370,418,57,850
052124,秋田県,大仙市,2003（平成15）,4843,3104,370,420,63,886
052124,秋田県,大仙市,2004（平成16）,4866,3153,367,406,57,883
052124,秋田県,大仙市,2005(平成17),5072,3279,390,409,58,936
052124,秋田県,大仙市,2006(平成18）,5218,3349,402,423,63,981
052124,秋田県,大仙市,2007(平成19）,5274,3372,407,426,65,1004
052124,秋田県,大仙市,2008(平成20）,5426,3503,401,419,67,1036
052124,秋田県,大仙市,2009(平成21）,5496,3563,396,418,58,1061
052124,秋田県,大仙市,2010(平成22）,5351,3503,369,387,57,1035
052124,秋田県,大仙市,2011(平成23）,5446,3598,358,380,63,1047
052124,秋田県,大仙市,2012(平成24）,5113,3362,331,354,55,1011
052124,秋田県,大仙市,2013(平成25）,5241,3444,318,355,59,1065
052124,秋田県,大仙市,2014(平成26）,5129,3340,307,360,54,1068
052124,秋田県,大仙市,2015(平成27）,4948,3190,292,351,50,1065
052124,秋田県,大仙市,2016(平成28）,4870,3126,292,343,48,1061
052124,秋田県,大仙市,2017(平成29）,4778,3040,281,344,50,1063
052124,秋田県,大仙市,2018(平成30）,4679,2954,268,341,49,1067
052124,秋田県,大仙市,2019(令和1）,4556,2850,248,337,41,1080
052124,秋田県,大仙市,2020(令和2）,4483,2792,234,333,42,1082
052124,秋田県,大仙市,2021(令和3）,4293,2647,220,326,38,1062
