地域コード,地域,地区,年次,産業分類,事業所総数(所),うち会社(所),従業者総数（人）,男性従業者数（人）,女性従業者数（人）,常用男性労働者者数（人）,常用女性労働者者数（人）,現金給与総額(万円),原材料使用額等(万円),製造品総出荷額等（万円）,製造品出荷額（万円）,加工賃収入額（万円）,修理料収入額（万円）,その他の収入額(万円),粗付加価値額(万円),生産額(万円)
05212,大仙市,市内全域,1991年(平成3),総数,372,268,"10,222","4,113","6,109","4,021","6,051","2,206,319","4,946,618","10,273,838","7,828,081","2,441,417","1,216","3,124","5,161,680",
05212,大仙市,市内全域,1991年(平成3),食料品,29,15,X,X,X,X,X,X,X,X,X,X,140,0,X,
05212,大仙市,市内全域,1991年(平成3),飲料・飼料,11,9,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),繊維,17,12,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),衣服,97,71,"2,187",251,"1,936",232,"1,924","335,377","195,432","739,095","106,842","631,870",383,0,"538,268",
05212,大仙市,市内全域,1991年(平成3),木材・木製品,32,18,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),家具・装備品,6,2,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),パルプ・紙,2,2,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),出版・印刷,17,11,X,X,X,X,X,X,X,X,X,X,0,"3,124",X,
05212,大仙市,市内全域,1991年(平成3),化学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1991年(平成3),石油製品,1,1,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),プラスチック,12,9,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),ゴム製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1991年(平成3),皮革,6,4,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),窯業・土石,25,23,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),鉄鋼,5,4,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),非鉄金属,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1991年(平成3),金属製品,18,14,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),一般機械,8,7,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),電気機械,57,45,X,X,X,X,X,X,X,X,X,X,225,0,X,
05212,大仙市,市内全域,1991年(平成3),輸送機械,4,3,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1991年(平成3),精密機械,14,11,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1991年(平成3),その他,11,7,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),総数,361,270,"9,587","3,865","5,722","3,782","5,679","2,208,033","4,660,650","9,343,691","7,063,497","2,276,236",707,"3,251","4,537,083",
05212,大仙市,市内全域,1992年(平成4),食料品,30,16,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),飲料・飼料,11,9,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),繊維,15,10,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),衣服,99,76,"2,223",250,"1,973",232,"1,966","337,686","208,790","770,327","81,438","688,689",200,0,"555,642",
05212,大仙市,市内全域,1992年(平成4),木材・木製品,32,20,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),家具・装備品,7,3,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),パルプ・紙,2,2,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),出版・印刷,15,11,X,X,X,X,X,X,X,X,X,X,0,"3,251",X,
05212,大仙市,市内全域,1992年(平成4),化学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1992年(平成4),石油製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1992年(平成4),プラスチック,10,8,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),ゴム製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1992年(平成4),皮革,6,4,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),窯業・土石,24,22,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),鉄鋼,5,4,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),非鉄金属,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1992年(平成4),金属製品,17,14,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),一般機械,9,8,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),電気機械,52,42,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),輸送機械,3,3,X,X,X,X,X,X,X,X,X,X,X,0,X,
05212,大仙市,市内全域,1992年(平成4),精密機械,13,9,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1992年(平成4),その他,11,9,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,総数,381,276,"9,204","3,760","5,444","3,662","5,383","2,139,865","4,229,192","8,642,596","6,859,844","1,778,357","1,141","3,254","4,261,948",
05212,大仙市,市内全域,1993年(平成5）,食料品,32,17,X,X,X,X,X,X,X,X,X,X,66,0,X,
05212,大仙市,市内全域,1993年(平成5）,飲料・飼料,10,9,X,X,X,X,X,X,X,X,X,0,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,繊維,20,13,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,衣服,102,79,"2,176",248,"1,928",232,"1,920","352,337","206,054","736,952","91,132","645,760",60,0,"524,164",
05212,大仙市,市内全域,1993年(平成5）,木材・木製品,35,20,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,家具・装備品,7,2,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,パルプ・紙,2,2,X,X,X,X,X,X,X,X,X,0,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,出版・印刷,16,12,X,X,X,X,X,X,X,X,X,X,0,"3,254",X,
05212,大仙市,市内全域,1993年(平成5）,化学,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1993年(平成5）,石油製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05212,大仙市,市内全域,1993年(平成5）,プラスチック,12,8,X,X,X,X,X,X,X,X,X,X,0,0,X,
05212,大仙市,市内全域,1993年(平成5）,ゴム製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
