市町村コード,都道府県名,市町村名,区域,年度,人口（人）
052124,秋田県,大仙市,下水道処理区域内,2005(平成17),26640
052124,秋田県,大仙市,下水道処理区域内,2006(平成18),29062
052124,秋田県,大仙市,下水道処理区域内,2007(平成19),29719
052124,秋田県,大仙市,下水道処理区域内,2008(平成20),32033
052124,秋田県,大仙市,下水道処理区域内,2009(平成21),32784
052124,秋田県,大仙市,下水道処理区域内,2010(平成22),33527
052124,秋田県,大仙市,下水道処理区域内,2011(平成23),34065
052124,秋田県,大仙市,下水道処理区域内,2012(平成24),34324
052124,秋田県,大仙市,下水道処理区域内,2013(平成25),34289
052124,秋田県,大仙市,下水道処理区域内,2014(平成26),34036
052124,秋田県,大仙市,下水道処理区域内,2015(平成27),33859
052124,秋田県,大仙市,下水道処理区域内,2016(平成28),33835
052124,秋田県,大仙市,下水道処理区域内,2017(平成29),34050
052124,秋田県,大仙市,下水道処理区域内,2018(平成30),35759
052124,秋田県,大仙市,下水道処理区域内,2019(平成31),35823
052124,秋田県,大仙市,下水道処理区域内,2020(令和02),37933
052124,秋田県,大仙市,下水道処理区域内,2021(令和03),37587
052124,秋田県,大仙市,農業集落排水処理区域内,2005(平成17),16075
052124,秋田県,大仙市,農業集落排水処理区域内,2006(平成18),16441
052124,秋田県,大仙市,農業集落排水処理区域内,2007(平成19),19493
052124,秋田県,大仙市,農業集落排水処理区域内,2008(平成20),20280
052124,秋田県,大仙市,農業集落排水処理区域内,2009(平成21),20637
052124,秋田県,大仙市,農業集落排水処理区域内,2010(平成22),20258
052124,秋田県,大仙市,農業集落排水処理区域内,2011(平成23),20831
052124,秋田県,大仙市,農業集落排水処理区域内,2012(平成24),20708
052124,秋田県,大仙市,農業集落排水処理区域内,2013(平成25),20403
052124,秋田県,大仙市,農業集落排水処理区域内,2014(平成26),20158
052124,秋田県,大仙市,農業集落排水処理区域内,2015(平成27),19928
052124,秋田県,大仙市,農業集落排水処理区域内,2016(平成28),19580
052124,秋田県,大仙市,農業集落排水処理区域内,2017(平成29),19379
052124,秋田県,大仙市,農業集落排水処理区域内,2018(平成30),19035
052124,秋田県,大仙市,農業集落排水処理区域内,2019(平成31),18666
052124,秋田県,大仙市,農業集落排水処理区域内,2020(令和02),15590
052124,秋田県,大仙市,農業集落排水処理区域内,2021(令和03),15188
052124,秋田県,大仙市,浄化槽設置区域内,2005(平成17),10290
052124,秋田県,大仙市,浄化槽設置区域内,2006(平成18),11334
052124,秋田県,大仙市,浄化槽設置区域内,2007(平成19),11850
052124,秋田県,大仙市,浄化槽設置区域内,2008(平成20),12370
052124,秋田県,大仙市,浄化槽設置区域内,2009(平成21),13125
052124,秋田県,大仙市,浄化槽設置区域内,2010(平成22),13728
052124,秋田県,大仙市,浄化槽設置区域内,2011(平成23),13775
052124,秋田県,大仙市,浄化槽設置区域内,2012(平成24),14180
052124,秋田県,大仙市,浄化槽設置区域内,2013(平成25),14072
052124,秋田県,大仙市,浄化槽設置区域内,2014(平成26),14125
052124,秋田県,大仙市,浄化槽設置区域内,2015(平成27),14184
052124,秋田県,大仙市,浄化槽設置区域内,2016(平成28),14463
052124,秋田県,大仙市,浄化槽設置区域内,2017(平成29),14016
052124,秋田県,大仙市,浄化槽設置区域内,2018(平成30),13357
052124,秋田県,大仙市,浄化槽設置区域内,2019(平成31),13612
052124,秋田県,大仙市,浄化槽設置区域内,2020(令和02),13532
052124,秋田県,大仙市,浄化槽設置区域内,2021(令和03),13274
