年度,保有車両総計（二輪車・軽自動車含む）（台）,登録自動車計（総数）（台）,登録自動車計（自家用）（台）,登録自動車計（営業用）（台）,貨物用普通車（総数）（台）,貨物用普通車（自家用）（台）,貨物用普通車（営業用）（台）,貨物用小型車（総数）（台）,貨物用小型車（自家用）（台）,貨物用小型車（営業用）（台）,貨物用被けん引車（自家用）（台）,貨物用被けん引車（総数）（台）,貨物用被けん引車（営業用）（台）,乗合用普通車（総数）（台）,乗合用普通車（自家用）（台）,乗合用普通車（営業用）（台）,乗合用小型車（総数）（台）,乗合用小型車（自家用）（台）,乗合用小型車（営業用）（台）,乗用普通車（総数）（台）,乗用普通車（自家用）（台）,乗用普通車（営業用）（台）,乗用小型車（総数）（台）,乗用小型車（自家用）（台）,乗用小型車（営業用）（台）,特殊車（普通・小型）（総数）（台）,特殊車（普通・小型）（自家用）（台）,特殊車（普通・小型）（営業用）（台）,大型特殊車（総数）（台）,大型特殊車（自家用）（台）,大型特殊車（営業用）（台）,小型二輪車（台）,軽自動車（総数）（台）,軽自動車貨物用（台）,軽自動車乗用（台）,軽自動車特殊（台）,軽二輪車（台）
2005,"74,138","41,951","41,005",946,2315,"1,705",610,"3,814","3,790",24,25,5,20,99,34,65,136,124,12,"10,302","10,300",2,"23,305","23,191",114,"1,181","1,082",99,774,774,0,726,"31,461","15,976","14,373",144,968
2006,"74,230","41,616","40,680",936,2275,"1,677",598,"3,607","3,584",23,26,5,21,99,32,67,137,124,13,"10,484","10,481",3,"23,031","22,920",111,"1,166","1,066",100,791,791,0,723,"31,891","15,851","14,894",154,992
2007,"74,056","40,971","40,072",899,2229,"1,646",583,"3,459","3,437",22,27,6,21,101,31,70,135,122,13,"10,497","10,493",4,"22,563","22,454",109,"1,146","1,069",77,814,814,0,727,"32,358","15,507","15,708",155,988
2008,"73,251","39,826","38,965",861,2111,"1,566",545,"2,111","3,282",20,25,5,20,108,31,77,124,111,13,"10,413","10,408",5,"21,809","21,702",107,"1,109","1,035",74,825,825,0,716,"32,709","15,279","16,253",158,"1,019"
2009,"72,602","38,727","37,874",853,2020,"1,470",550,"2,020","3,081",22,26,7,19,99,28,71,113,103,10,"10,226","10,221",5,"21,227","21,130",97,"1,079","1,000",79,834,834,0,722,"33,153","15,040","16,888",182,"1,043"
2010,"72,336","38,062","37,228",834,1943,"1,403",540,"2,939","2,921",18,27,7,20,95,28,67,109,101,8,"10,239","10,234",5,"20,820","20,719",101,"1,061",986,75,829,829,0,736,"33,538","14,819","17,496",171,"1,052"
2011,"71,934","37,442","36,631",811,1866,"1,338",528,"2,825","2,803",22,24,7,17,92,28,64,108,100,8,"10,243","10,237",6,"20,427","20,333",94,"1,036",964,72,821,821,0,744,"33,748","14,675","17,850",171,"1,052"
2012,"72,204","37,319","36,498",821,1858,"1,327",531,"2,756","2,734",22,23,7,16,89,29,60,115,100,15,"10,345","10,334",11,"20,275","20,184",91,"1,026",951,75,832,832,0,749,"34,136","14,555","18,345",169,"1,067"
2013,"72,410","37,068","36,249",819,1867,"1,342",525,"2,716","2,694",22,24,8,16,86,28,58,111,96,15,"10,471","10,459",12,"19,920","19,831",89,"1,016",934,82,857,857,0,781,"34,561","14,460","18,864",167,"1,070"
2014,"73,088","36,773","35,963",810,1848,"1,325",523,"2,689","2,667",22,24,8,16,85,27,58,106,91,15,"10,630","10,618",12,"19,446","19,360",86,"1,015",937,78,930,930,0,806,"35,509","14,347","19,913",190,"1,059"
2015,"73,025","36,343","35,492",846,1854,1312,542,"2,604","2,583",21,26,8,18,91,28,63,109,94,15,"10,734","10,722",12,"18,966","18,882",84,997,906,91,962,962,0,811,"35,871","14,188","20,429",191,"1,063"
2016,"72,794","36,040","35,215",825,1859,1324,535,"2,542","2,522",20,26,7,19,87,27,60,105,89,16,"10,904","10,892",12,"18,542","18,466",76,995,908,87,980,980,0,820,"35,934","13,942","20,741",192,"1,059"
2017,"72,383","36,011","35,192",819,1844,1313,531,"2,529","2,509",20,25,7,18,79,20,59,106,89,17,"11,148","11,136",12,"18,288","18,208",80,994,912,82,998,998,0,825,"35,547","13,710","20,581",201,"1,054"
2018,"72,182","35,900","35,071",829,1861,1316,545,"2,522","2,503",19,25,7,18,82,18,64,103,87,16,"11,420","11,409",11,"17,906","17,833",73,995,912,83,986,986,0,831,"35,451","13,479","20,704",202,"1,066"
2019,"72,084","35,718","34,894",824,1890,1346,544,"2,518","2,495",23,27,8,19,77,15,62,97,82,15,"11,711","11,699",12,"17,458","17,386",72,980,903,77,960,960,0,839,"35,527","13,511","20,731",205,"1,080"
2020,"70,527","35,495","34,679",816,1900,1363,537,"2,469","2,448",21,27,8,19,77,15,62,95,81,14,"11,999","11,987",12,"16,994","16,922",72,977,898,79,957,957,0,839,"34,193","13,263","20,732",198,-
2021,"70,403","35,354","34,555",799,1881,1360,521,"2,479","2,458",21,28,8,20,75,14,61,92,77,15,"12,193","12,181",12,"16,660","16,590",70,984,905,79,962,962,0,848,"34,201","13,155","20,850",196,-
