地域コード,都道府県名,市町村,産業分類,年次,事業所総数(店),法人(店),個人(店),単独店(店),本店(店),支店(店),従業員者数(人),臨時雇用者数(人),従業者・臨時雇用者のうち派遣・下請出向者数　(人),派遣・下請受入者数　(人),年間商品販売額(万円),法人(万円),個人(万円),その他の収入額(万円),売場面積(平方メートル),1事業所当り年間商品販売額(万円),従業員１人当り年間商品販売額(万円),就業者1人当り年間商品販売額(万円),売場面積1㎡当り年間商品販売額(万円)
052124,秋田県,大仙市,総計,2014年(平成26),884,424,460,619,34,243,"5,165",214,3,18,"9,355,566","8,739,257","616,309","362,839","148,140","9,886","1,691","1,618",59
052124,秋田県,大仙市,百貨店,2014年(平成26),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
052124,秋田県,大仙市,総合スーパー,2014年(平成26),1,1,-,-,-,1,182,-,-,-,X,X,-,-,11677,X,X,X,X
052124,秋田県,大仙市,専門スーパー,2014年(平成26),32,32,-,1,-,31,913,33,-,6,1919813,"1,919,813",-,36,61203,59994,2103,2017,31
052124,秋田県,大仙市,衣料品スーパー,2014年(平成26),11,11,-,-,-,11,89,-,-,1,145058,"145,058",-,28,9157,13187,1630,1612,16
052124,秋田県,大仙市,食料品スーパー,2014年(平成26),11,11,-,-,-,11,567,-,-,5,1199850,"1,199,850",-,8,19128,109077,2116,2098,63
052124,秋田県,大仙市,住関連スーパー,2014年(平成26),10,10,-,1,-,9,257,33,-,-,574905,"574,905",-,-,32918,57491,2237,1982,17
052124,秋田県,大仙市,うちホームセンター,2014年(平成26),7,7,-,-,-,7,172,33,-,-,454831,"454,831",-,-,30081,64975,2644,2219,15
052124,秋田県,大仙市,コンビニエンス・ストア,2014年(平成26),27,19,8,17,-,10,255,8,-,-,315071,"221,243",93828,1849,3547,11669,1236,1198,89
052124,秋田県,大仙市,うち終日営業店,2014年(平成26),22,16,6,15,-,7,230,8,-,-,295570,"210,031",85539,1849,2955,13435,1285,1242,100
052124,秋田県,大仙市,ドラッグストア,2014年(平成26),12,12,-,-,1,11,144,-,-,-,291458,"291,458",-,-,8884,24288,2024,2024,33
052124,秋田県,大仙市,その他スーパー,2014年(平成26),42,24,18,25,-,14,156,4,-,-,165244,"124,568",40676,1346,4225,3934,1059,1033,39
052124,秋田県,大仙市,専門店,2014年(平成26),410,216,194,279,19,111,1933,92,3,2,3706746,"3,466,580",240166,203920,24344,9041,1917,1829,152
052124,秋田県,大仙市,衣料品専門店,2014年(平成26),46,23,23,25,-,21,123,2,-,-,161063,"143,485",17578,374,4026,3501,1309,1289,40
052124,秋田県,大仙市,食料品専門店,2014年(平成26),71,21,50,56,2,12,201,18,1,2,90408,"70,184",20224,945,2385,1273,450,409,38
052124,秋田県,大仙市,住関連専門店,2014年(平成26),293,172,121,198,17,78,1609,72,2,-,3455275,"3,252,911",202364,202601,17933,11793,2147,2055,193
052124,秋田県,大仙市,家電大型専門店,2014年(平成26),2,2,-,-,-,2,63,-,-,1,X,X,-,-,8222,X,X,X,X
052124,秋田県,大仙市,中心店,2014年(平成26),313,106,207,255,8,48,1410,73,-,9,2106952,"1,880,236",226716,155578,26013,6731,1494,1429,81
052124,秋田県,大仙市,衣料品中心店,2014年(平成26),56,30,26,37,1,18,169,5,-,1,169823,"150,764",19059,703,8264,3033,1005,970,21
052124,秋田県,大仙市,食料品中心店,2014年(平成26),128,26,102,117,1,8,693,59,-,-,843447,"756,745",86702,15653,7113,6589,1217,1122,119
052124,秋田県,大仙市,住関連中心店,2014年(平成26),129,50,79,101,6,22,548,9,-,8,1093682,"972,727",120955,139222,10636,8478,1996,1964,103
052124,秋田県,大仙市,その他の小売店,2014年(平成26),1,1,-,-,-,1,1,-,-,-,X,-,X,-,25,X,X,X,X
052124,秋田県,大仙市,無店舗販売,2014年(平成26),44,11,33,36,-,8,108,4,-,-,160408,"145,485",14923,110,-,3646,1485,1432,-
