１３１　死　因　順　位　別　死　亡　者　数,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,各年間　単位：人,
,平成29年,,30,,令和元年,,２,,３,,
,死因,実数,死因,実数,死因,実数,死因,実数,死因,実数,
総数,,"3,732 ",,"3,575 ",,"3,701 ",,"3,818 ",,"3,982 ",
第１位,悪性新生物,"1,100 ",悪性新生物,"1,046 ",悪性新生物,"1,057 ",悪性新生物,"1,077 ",悪性新生物,"1,161 ",
第２位,心疾患,470 ,心疾患,433 ,心疾患,401 ,心疾患,458 ,心疾患,474 ,
第３位,脳血管疾患,355 ,脳血管疾患,323 ,脳血管疾患,367 ,脳血管疾患,355 ,老衰,364 ,
第４位,老衰,279 ,老衰,260 ,老衰,282 ,老衰,295 ,脳血管疾患,321 ,
第５位,肺炎,186 ,肺炎,169 ,肺炎,160 ,肺炎,164 ,肺炎,136 ,
第６位,アルツハイマー病,127 ,アルツハイマー病,129 ,アルツハイマー病,139 ,アルツハイマー病,124 ,アルツハイマー病,135 ,
第７位,不慮の事故,96 ,不慮の事故,115 ,不慮の事故,118 ,誤嚥性肺炎,115 ,誤嚥性肺炎,116 ,
第８位,血管性及び詳細不明の認知症,82 ,血管性及び詳細不明の認知症,91 ,誤嚥性肺炎,89 ,不慮の事故,99 ,不慮の事故,111 ,
第９位,誤嚥性肺炎,79 ,誤嚥性肺炎,89 ,血管性及び詳細不明の認知症,88 ,腎不全,86 ,腎不全,89 ,
第10位,腎不全,69 ,腎不全,67 ,腎不全,87 ,血管性及び詳細不明の認知症,77 ,血管性及び詳細不明の認知症,85 ,
,その他,889 ,その他,853 ,その他,913 ,その他,968 ,その他,990 ,
　資料　人口動態調査,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
