地域コード,地域,地区,年次,総数(戸),例外規定(戸),0.3ha以上0.5ha未満(戸),0.5ha以上1.0ha未満(戸),1.0ha以上1.5ha未満(戸),1.5ha以上2.0ha未満(戸),2.0ha以上3.0ha未満(戸),3.0ha以上(戸)
052124,大仙市,市全域,1975(昭和50),"13,937",8,1541,2788,2432,2093,"2,661","1,002"
052124,大仙市,市全域,1980(昭和55),"13,604",11,1427,2667,2267,1928,"2,675","1,231"
052124,大仙市,市全域,1985(昭和60),"13,038",9,1299,2548,2064,1787,"2,592","1,404"
052124,大仙市,市全域,1990(平成2),"12,242",16,1156,2413,1862,1656,"2,353","1,531"
052124,大仙市,市全域,1995(平成7),"11,420",11,1099,2210,1725,1474,"2,063","1,632"
052124,大仙市,市全域,2000(平成12),"9,524",2,959,2014,1511,1404,"1,907","1,727"
052124,大仙市,市全域,2005(平成17),"8,469",4,779,1705,1426,1225,"1,659","1,671"
052124,大仙市,市全域,2010(平成22),"6,333",23,590,1313,1004,827,"1,117","1,459"
052124,大仙市,市全域,2015(平成27),"5,118",14,349,926,788,691,927,"1,423"
052124,大仙市,市全域,2020(令和2),"3,951",77,213,610,538,469,676,"1,368"
052124,大仙市,大曲地域,1975(昭和50),"3,443",2,442,762,617,542,574,109
052124,大仙市,大曲地域,1980(昭和55),"3,366",3,410,733,610,493,579,134
052124,大仙市,大曲地域,1985(昭和60),"3,247",1,377,705,576,476,554,152
052124,大仙市,大曲地域,1990(平成2),"3,105",1,354,685,525,413,523,187
052124,大仙市,大曲地域,1995(平成7),"2,952",5,367,668,487,378,471,203
052124,大仙市,大曲地域,2000(平成12),"2,420",1,314,615,462,345,458,225
052124,大仙市,大曲地域,2005(平成17),"2,213",2,291,532,437,311,397,243
052124,大仙市,大曲地域,2010(平成22),"1,636",2,182,406,293,236,275,242
052124,大仙市,大曲地域,2015(平成27),"1,286",2,107,278,232,193,236,238
052124,大仙市,大曲地域,2020(令和2),932,8,50,179,155,136,182,222
052124,大仙市,大曲,2020(令和2),133,2,14,21,18,32,19,27
052124,大仙市,花館,2020(令和2),113,3,12,28,15,13,20,22
052124,大仙市,内小友,2020(令和2),167,1,5,41,37,29,22,32
052124,大仙市,大川西根,2020(令和2),107,0,5,25,21,15,13,28
052124,大仙市,藤木,2020(令和2),133,1,5,22,26,18,31,30
052124,大仙市,四ツ屋,2020(令和2),215,1,7,32,32,21,57,65
052124,大仙市,角間川,2020(令和2),64,0,2,10,6,8,20,18
052124,大仙市,神岡地域,1975(昭和50),913,0,108,191,141,150,181,53
052124,大仙市,神岡地域,1980(昭和55),872,0,102,155,131,142,172,83
052124,大仙市,神岡地域,1985(昭和60),846,0,106,153,120,118,171,96
052124,大仙市,神岡地域,1990(平成2),763,1,84,144,95,113,159,105
052124,大仙市,神岡地域,1995(平成7),701,1,78,132,91,81,137,120
052124,大仙市,神岡地域,2000(平成12),593,0,62,128,73,80,134,116
052124,大仙市,神岡地域,2005(平成17),527,0,44,105,63,80,121,114
052124,大仙市,神岡地域,2010(平成22),446,0,36,83,46,64,101,116
052124,大仙市,神岡地域,2015(平成27),352,0,22,51,37,64,75,103
052124,大仙市,神岡地域,2020(令和2),277,6,16,40,36,45,46,88
052124,大仙市,神宮寺,2020(令和2),203,6,13,30,24,33,27,70
052124,大仙市,北楢岡,2020(令和2),74,0,3,10,12,12,19,18
052124,大仙市,西仙北地域,1975(昭和50),"2,042",2,193,376,437,314,347,132
052124,大仙市,西仙北地域,1980(昭和55),"1,976",2,168,359,363,274,381,181
052124,大仙市,西仙北地域,1985(昭和60),"1,848",1,158,348,314,261,375,214
052124,大仙市,西仙北地域,1990(平成2),"1,738",3,154,306,296,272,319,214
052124,大仙市,西仙北地域,1995(平成7),"1,605",0,133,287,267,234,301,222
052124,大仙市,西仙北地域,2000(平成12),"1,327",0,122,261,218,230,259,237
052124,大仙市,西仙北地域,2005(平成17),"1,162",0,83,219,229,177,224,230
052124,大仙市,西仙北地域,2010(平成22),831,2,53,168,163,122,146,177
052124,大仙市,西仙北地域,2015(平成27),709,1,49,136,127,104,123,169
052124,大仙市,西仙北地域,2020(令和2),489,8,36,91,89,57,65,143
052124,大仙市,刈和野,2020(令和2),21,0,0,6,5,0,3,7
052124,大仙市,土川,2020(令和2),245,4,16,48,54,33,33,57
052124,大仙市,大沢郷,2020(令和2),134,2,13,30,22,18,16,33
052124,大仙市,強首,2020(令和2),89,2,7,7,8,6,13,46
052124,大仙市,中仙地域,1975(昭和50),"2,164",2,216,408,325,315,461,231
052124,大仙市,中仙地域,1980(昭和55),"2,127",5,207,399,309,294,472,251
052124,大仙市,中仙地域,1985(昭和60),"2,050",4,173,369,301,251,456,300
052124,大仙市,中仙地域,1990(平成2),"1,930",7,156,351,260,236,438,314
052124,大仙市,中仙地域,1995(平成7),"1,821",2,136,336,242,241,378,337
052124,大仙市,中仙地域,2000(平成12),"1,554",0,125,287,209,231,344,358
052124,大仙市,中仙地域,2005(平成17),1410,2,97,248,191,196,323,353
052124,大仙市,中仙地域,2010(平成22),999,14,123,203,128,108,176,247
052124,大仙市,中仙地域,2015(平成27),826,5,46,127,109,104,166,269
052124,大仙市,中仙地域,2020(令和2),714,12,25,95,68,79,136,299
052124,大仙市,長野,2020(令和2),227,4,11,22,19,30,46,95
052124,大仙市,清水,2020(令和2),169,6,5,26,18,21,26,67
052124,大仙市,豊川,2020(令和2),150,1,4,19,15,14,33,64
052124,大仙市,豊岡,2020(令和2),168,1,5,28,16,14,31,73
052124,大仙市,協和地域,1975(昭和50),"1,485",0,164,276,241,241,306,102
052124,大仙市,協和地域,1980(昭和55),"1,431",0,147,230,224,200,333,144
052124,大仙市,協和地域,1985(昭和60),"1,348",0,128,214,192,190,301,174
052124,大仙市,協和地域,1990(平成2),1223,2,105,204,171,165,289,174
052124,大仙市,協和地域,1995(平成7),1107,0,89,154,158,148,221,188
052124,大仙市,協和地域,2000(平成12),886,0,76,143,137,133,203,194
052124,大仙市,協和地域,2005(平成17),764,0,55,121,128,125,164,171
052124,大仙市,協和地域,2010(平成22),531,0,58,105,94,64,87,123
052124,大仙市,協和地域,2015(平成27),398,2,36,73,74,44,60,109
052124,大仙市,協和地域,2020(令和2),314,9,19,54,43,26,54,109
052124,大仙市,荒川,2020(令和2),87,1,6,12,10,8,12,38
052124,大仙市,峰吉川,2020(令和2),52,2,5,5,11,5,10,14
052124,大仙市,淀川,2020(令和2),104,4,4,21,12,9,22,32
052124,大仙市,船岡,2020(令和2),71,2,4,16,10,4,10,25
052124,大仙市,南外地域,1975(昭和50),947,0,119,232,0,159,111,16
052124,大仙市,南外地域,1980(昭和55),926,0,106,220,209,153,118,34
052124,大仙市,南外地域,1985(昭和60),916,2,87,217,191,148,136,39
052124,大仙市,南外地域,1990(平成2),868,0,73,208,175,147,111,54
052124,大仙市,南外地域,1995(平成7),829,1,84,202,164,134,92,60
052124,大仙市,南外地域,2000(平成12),686,0,75,178,134,134,94,71
052124,大仙市,南外地域,2005(平成17),628,0,62,164,132,116,87,67
052124,大仙市,南外地域,2010(平成22),482,3,44,106,96,82,77,74
052124,大仙市,南外地域,2015(平成27),378,1,32,82,67,61,68,67
052124,大仙市,南外地域,2020(令和2),282,7,22,55,47,39,44,68
052124,大仙市,外小友,2020(令和2),121,1,16,24,22,18,17,23
052124,大仙市,南楢岡,2020(令和2),161,6,6,31,25,21,27,45
052124,大仙市,仙北地域,1975(昭和50),"1,455",0,171,287,238,187,329,128
052124,大仙市,仙北地域,1980(昭和55),"1,435",1,161,302,213,190,301,141
052124,大仙市,仙北地域,1985(昭和60),1376,0,159,290,184,172,299,154
052124,大仙市,仙北地域,1990(平成2),1299,2,124,282,179,150,256,185
052124,大仙市,仙北地域,1995(平成7),1203,1,125,233,164,130,232,198
052124,大仙市,仙北地域,2000(平成12),1022,1,95,234,143,134,216,199
052124,大仙市,仙北地域,2005(平成17),858,0,80,179,124,109,170,196
052124,大仙市,仙北地域,2010(平成22),660,1,51,131,98,67,124,188
052124,大仙市,仙北地域,2015(平成27),541,1,29,92,74,58,93,194
052124,大仙市,仙北地域,2020(令和2),433,7,21,52,51,36,73,193
052124,大仙市,高梨,2020(令和2),190,6,11,25,18,17,38,75
052124,大仙市,横堀,2020(令和2),243,1,10,27,33,19,35,118
052124,大仙市,太田地域,1975(昭和50),"1,488",2,128,256,224,185,352,231
052124,大仙市,太田地域,1980(昭和55),1471,0,126,269,208,182,319,263
052124,大仙市,太田地域,1985(昭和60),1407,1,111,252,186,171,300,275
052124,大仙市,太田地域,1990(平成2),1316,0,106,233,161,160,258,298
052124,大仙市,太田地域,1995(平成7),1202,1,87,198,152,128,231,304
052124,大仙市,太田地域,2000(平成12),1036,0,90,168,135,117,199,327
052124,大仙市,太田地域,2005(平成17),907,0,67,137,122,111,173,297
052124,大仙市,太田地域,2010(平成22),748,1,43,111,86,84,131,292
052124,大仙市,太田地域,2015(平成27),628,2,28,87,68,63,106,274
052124,大仙市,太田地域,2020(令和2),510,20,24,44,49,51,76,246
052124,大仙市,長信田,2020(令和2),237,9,9,18,28,19,33,121
052124,大仙市,横沢,2020(令和2),273,11,15,26,21,32,43,125
