市町村コード,都道府県名,市町村名,地域,施設名,年度,利用者数
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2005(平成17),"53,179"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2006(平成18）,"65,237"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2007(平成19）,"55,880"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2008(平成20）,"54,876"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2009(平成21）,"54,380"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2010(平成22）,"50,936"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2011(平成23）,"49,743"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2012(平成24）,"57,722"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2013(平成25）,"50,739"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2014(平成26）,"41,112"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2015(平成27）,"52,018"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2016(平成28）,"41,905"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2017(平成29）,"44,219"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2018(平成30）,"43,562"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2019(令和1）,"27,668"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2020(令和2）,"6,222"
052124,秋田県,大仙市,大曲地域,市民会館大ホール,2021(令和3）,"16,364"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2005(平成17),"22,524"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2006(平成18）,"34,505"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2007(平成19）,"30,769"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2008(平成20）,"42,651"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2009(平成21）,"38,255"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2010(平成22）,"37,164"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2011(平成23）,"28,798"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2012(平成24）,"37,511"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2013(平成25）,"39,330"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2014(平成26）,"28,550"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2015(平成27）,"26,893"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2016(平成28）,"31,135"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2017(平成29）,"23,370"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2018(平成30）,"17,565"
052124,秋田県,大仙市,大曲地域,市民会館小ホール,2019(令和1）,"17,072"
