８　　　人　　　口　　　動　　　態,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（１）自然動態と社会動態,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間・月間,
年月,自　　　　　然　　　　　動　　　　　態,,,,,,,,,,,,,社　　　　　会　　　　　動　　　　　態,,,,,,,,,,,,,"差　引
増　減",
,出　　　生　（人）,,,,,,死　　　亡　（人）,,,,,,増減,転　　　入　（人）,,,,,,転　　　出　（人）,,,,,,増減,,
,総数,,男,,女,,総数,,男,,女,,,総 数,,県外,,県内,,総 数,,県外,,県内,,,,
平成25年, (1) ,"2,215 ",,"1,109 ", (1) ,"1,106 ", (7) ,"3,393 ", (4) ,"1,676 ", (3) ,"1,717 ","△ 1,178", (596) ,"9,836 ", (581) ,"6,399 ", (15) ,"3,437 ", (548) ,"10,313 ", (541) ,"7,915 ", (7) ,"2,398 ",△ 477,"△ 1,655",
26 , (3) ,"2,310 ", (3) ,"1,229 ",   ,"1,081 ", (5) ,"3,577 ", (3) ,"1,761 ", (2) ,"1,816 ","△ 1,267", (559) ,"9,661 ", (548) ,"6,259 ", (11) ,"3,402 ", (555) ,"10,003 ", (549) ,"7,614 ", (6) ,"2,389 ",△ 342,"△ 1,609",
27 , (7) ,"2,142 ", (4) ,"1,122 ", (3) ,"1,020 ", (5) ,"3,522 ",,"1,826 ", (5) ,"1,696 ","△ 1,380", (637) ,"9,666 ", (623) ,"6,277 ", (14) ,"3,389 ", (593) ,"10,276 ", (589) ,"7,805 ", (4) ,"2,471 ",△ 610,"△ 1,990",
28 , (7) ,"2,095 ", (5) ,"1,065 ", (5) ,"1,030 ", (2) ,"3,614 ", (1) ,"1,789 ", (1) ,"1,825 ","△ 1,519", (580) ,"9,358 ", (575) ,"6,095 ", (5) ,"3,263 ", (655) ,"10,078 ", (646) ,"7,829 ", (9) ,"2,249 ",△ 720,"△ 2,239",
29 , (8) ,"2,007 ", (6) ,993 , (2) ,"1,014 ", (1) ,"3,737 ", (1) ,"1,885 ",,"1,852 ","△ 1,730", (582) ,"8,998 ", (573) ,"5,821 ", (9) ,"3,177 ", (542) ,"9,778 ", (530) ,"7,403 ", (12) ,"2,375 ",△ 780,"△ 2,510",
30 , (5) ,"1,916 ", (4) ,"1,002 ", (1) ,914 , (2) ,"3,586 ", (1) ,"1,793 ", (1) ,"1,793 ","△ 1,670", (576) ,"8,615 ", (569) ,"5,515 ", (7) ,"3,100 ", (579) ,"9,639 ", (567) ,"7,458 ", (12) ,"2,181 ","△ 1,024","△ 2,694",
令和元年, (9) ,"1,803 ", (8) ,915 , (1) ,888 , (2) ,"3,707 ",   ,"1,800 ", (2) ,"1,907 ","△ 1,904", (703) ,"9,118 ", (695) ,"5,880 ", (8) ,"3,238 ", (637) ,"9,529 ", (630) ,"7,380 ", (7) ,"2,149 ",△ 411,"△ 2,315",
２, (4) ,"1,767 ", (3) ,923 , (1) ,844 , (3) ,"3,831 ", (1) ,"1,938 ", (2) ,"1,893 ","△ 2,064", (305) ,"8,534 ", (292) ,"5,473 ", (13) ,"3,061 ", (376) ,"8,458 ", (361) ,"6,374 ", (15) ,"2,084 ",76,"△ 1,988",
３, (4) ,"1,746 ", (1) ,887 , (3) ,859 , (6) ,"3,989 ", (3) ,"1,958 ", (3) ,"2,031 ","△ 2,243", (248) ,"8,428 ", (238) ,"5,372 ", (10) ,"3,056 ", (241) ,"8,401 ", (234) ,"6,224 ", (7) ,"2,177 ",27,"△ 2,216",
