５８　農地の転用状況,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,各年間　単位：ha,,
年次,総数,住宅敷地,鉱工業用地,学校教育,道・水路等用地,その他建設施設,植林,その他,,
,,,,公園運動,,,,,,
,,,,場用地,,,,,,
平成25年,7.11 ,3.54 ,1.46 ,0.59 ,0.03 ,0.55 ,－,0.94 ,,
26,7.66 ,2.73 ,2.16 ,－,0.35 ,1.18 ,0.02 ,1.22 ,,
27,6.35 ,3.33 ,1.10 ,－,0.22 ,0.66 ,－,1.04 ,,
28,8.73 ,3.34 ,3.40 ,－,－,0.01 ,－,1.98 ,,
29,6.16 ,3.58 ,1.91 ,－,－,0.67 ,－,－,,
30,5.06 ,3.42 ,1.14 ,－,0.02 ,0.48 ,－,－,,
令和元年,6.51 ,3.66 ,2.16 ,－,0.02 ,0.67 ,－,－,,
２,9.17 ,2.95 ,0.04 ,－,0.03 ,6.15 ,－,－,,
３,6.31 ,2.92 ,0.94 ,－,－,2.45 ,－,－,,
４,5.92 ,3.17 ,1.37 ,0.32 ,0.05 ,1.01 ,－,－,,
　資料　秋田市農業委員会,,,,,,,,,, 
,,,,,,,,,,
,,,,,,,,,,
