市町村コード,都道府県名,市町村名,図書館名,年度,総記（冊）,哲学宗教（冊）,歴史地理（冊）,社会科学（冊）,自然科学（冊）,技術工学（冊）,産業（冊）,芸術（冊）,言語（冊）,文学（冊）,参考図書（冊）,一般図書小計（冊）,児童図書（冊）,郷土史（冊）,参考図書（冊）,大活字（冊）,古書（冊）,総数（冊）,視聴覚資料（点）
052124,秋田県,大仙市,大曲図書館,2005(平成17),5632,2035,6541,8209,2673,2420,1383,5216,1009,27046,,62164,12161,7176,,,11594,93095,1123
052124,秋田県,大仙市,大曲図書館,2006(平成18）,5688,2134,6733,8644,2821,2632,1427,5498,1042,28186,,64805,12832,7376,,,11594,96607,1151
052124,秋田県,大仙市,大曲図書館,2007(平成19）,5783,2216,6853,9013,2943,2811,1477,5630,1082,29269,,67077,14145,7543,,,11594,100359,1354
052124,秋田県,大仙市,大曲図書館,2008(平成20）,5849,2275,6999,9358,3122,3013,1571,5761,1099,30186,,69233,14773,7738,,,11594,103338,1483
052124,秋田県,大仙市,大曲図書館,2009(平成21）,5864,2318,7050,9556,3326,3193,1642,5839,1098,30841,,70727,15450,7890,,,11594,105661,1483
052124,秋田県,大仙市,大曲図書館,2010(平成22）,5938,2361,7161,9850,3541,3403,1751,5950,1114,31844,,72913,17106,8019,,,11594,109632,1628
052124,秋田県,大仙市,大曲図書館,2011(平成23）,5996,2431,7246,10117,3721,3590,1823,6105,1149,32610,,74788,17885,8253,,,11594,112520,1714
052124,秋田県,大仙市,大曲図書館,2012(平成24）,6077,2513,7387,10465,3936,3866,1944,6325,1177,33613,,77303,18547,8383,,,11594,115827,1759
052124,秋田県,大仙市,大曲図書館,2013(平成25）,6158,2567,7242,10487,3941,3998,1989,6482,1173,34394,,78431,18753,8489,,,11594,117267,1829
052124,秋田県,大仙市,大曲図書館,2014(平成26）,5706,2450,7051,10571,3874,4177,2001,6405,1088,35301,,78624,19323,8551,,,11594,118092,1875
052124,秋田県,大仙市,大曲図書館,2015(平成27）,5747,2483,7114,10818,3668,4282,1948,6518,1066,36270,,79914,19889,8618,,,11594,120015,1926
052124,秋田県,大仙市,大曲図書館,2016(平成28）,5578,2467,6198,9621,3608,4352,1973,6445,964,36827,,78033,19740,8688,,,11594,118055,1687
052124,秋田県,大仙市,大曲図書館,2017(平成29）,5439,2228,5558,8843,3457,4397,1811,5677,799,36993,,75202,19663,8944,2471,,11594,117874,1686
052124,秋田県,大仙市,大曲図書館,2018(平成30）,5412,2254,5611,8994,3520,4483,1873,5750,812,37523,,76232,20230,9047,2482,,11594,119585,1708
