地域,年度,総　数（人）,製造業（人）,鉱業（人）,建設業（人）,運輸業（人）,貨物取扱業（人）,林業（人）,畜水産業（人）,その他の各種事業（人）
大仙市_仙北市_美郷町管内,2005(平成17),117,25,2,40,5,0,4,0,41
大仙市_仙北市_美郷町管内,2006(平成18）,132,32,2,47,8,0,6,0,37
大仙市_仙北市_美郷町管内,2007(平成19）,131,34,0,35,14,0,4,2,42
大仙市_仙北市_美郷町管内,2008(平成20）,138,42,0,37,8,0,9,0,42
大仙市_仙北市_美郷町管内,2009(平成21）,104,26,0,37,8,0,3,2,28
大仙市_仙北市_美郷町管内,2010(平成22）,129,21,2,41,8,0,9,1,47
大仙市_仙北市_美郷町管内,2011(平成23）,138,31,1,37,9,0,8,1,51
大仙市_仙北市_美郷町管内,2012(平成24）,107,21,0,36,3,0,6,0,41
大仙市_仙北市_美郷町管内,2013(平成25）,129,30,4,28,4,0,8,2,53
大仙市_仙北市_美郷町管内,2014(平成26）,110,19,0,28,6,0,6,0,51
大仙市_仙北市_美郷町管内,2015(平成27）,101,19,0,21,4,0,6,0,51
大仙市_仙北市_美郷町管内,2016(平成28）,105,16,0,27,7,0,6,0,49
大仙市_仙北市_美郷町管内,2017(平成29）,120,23,1,25,7,0,5,1,58
大仙市_仙北市_美郷町管内,2018(平成30）,134,32,1,31,12,0,5,1,52
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,144,37,0,26,5,0,5,2,69
大仙市_仙北市_美郷町管内,2020(令和2）,145,34,0,38,6,0,5,0,62
大仙市_仙北市_美郷町管内,2021(令和3）,160,29,1,31,7,0,7,6,79
