市町村コード,都道府県名,市町村名,事業名,年度,収益的収入(千円),収益的支出(千円),資本的収入(千円),資本的支出(千円)
05212,秋田県,大仙市,水道事業,2005(平成17),"819,668","623,455","492,737","810,231"
05212,秋田県,大仙市,水道事業,2006(平成18）,"789,418","640,617","63,196","371,749"
05212,秋田県,大仙市,水道事業,2007(平成19）,"795,976","656,973","99,323","395,718"
05212,秋田県,大仙市,水道事業,2008(平成20）,"839,654","695,527","65,755","329,991"
05212,秋田県,大仙市,水道事業,2009(平成21）,"850,010","638,895","29,483","236,417"
05212,秋田県,大仙市,水道事業,2010(平成22）,"855,777","627,906","166,304","527,272"
05212,秋田県,大仙市,水道事業,2011(平成23）,"861,714","737,295","19,117","234,839"
05212,秋田県,大仙市,水道事業,2012(平成24）,"939,471","727,421","23,190","503,579"
05212,秋田県,大仙市,水道事業,2013(平成25）,"838,882","649,294","28,171","295,700"
05212,秋田県,大仙市,水道事業,2014(平成26）,"878,287","662,047","25,448","317,072"
05212,秋田県,大仙市,水道事業,2015(平成27）,"880,975","728,918","15,463","204,915"
05212,秋田県,大仙市,水道事業,2016(平成28）,"877,215","702,685","48,534","313,598"
05212,秋田県,大仙市,水道事業,2017(平成29）,"885,935","622,223","27,880","531,886"
05212,秋田県,大仙市,水道事業,2018(平成30）,"871,917","610,642","68,099","767,832"
05212,秋田県,大仙市,水道事業,2019(令和1）,"975,593","618,738","861,563","2,305,690"
05212,秋田県,大仙市,水道事業,2020(令和2）,"896,435","741,744","9,609","220,362"
