地域コード,都道府県,地域,年次,産業分類,商店数(店),従業者総数(人),年間商品販売額(百万円),売場面積(平方メートル)
05212,秋田県,大仙市,2014年(平成26),総計,"1,025","6,048","136,196","148,140"
05212,秋田県,大仙市,2014年(平成26),卸売業計,141,883,"42,640",
05212,秋田県,大仙市,2014年(平成26),各種商品卸売業,-,-,-,
05212,秋田県,大仙市,2014年(平成26),繊維・衣服等卸売業,2,8,X,
05212,秋田県,大仙市,2014年(平成26),飲食料品卸売業,39,228,"8,213",
05212,秋田県,大仙市,2014年(平成26),建築材料、鉱物・金属材料等卸売業,40,295,"14,033",
05212,秋田県,大仙市,2014年(平成26),機械器具卸売業,34,228,"12,798",
05212,秋田県,大仙市,2014年(平成26),その他の卸売業,26,124,"7,371",
05212,秋田県,大仙市,2014年(平成26),小売業計,884,"5,165","93,556","148,140"
05212,秋田県,大仙市,2014年(平成26),各種商品小売業,3,185,"4,395","11,717"
05212,秋田県,大仙市,2014年(平成26),織物・衣服・身の回り品小売業,120,406,"5,032","22,326"
05212,秋田県,大仙市,2014年(平成26),飲食料品小売業,283,"1,853","25,783","35,030"
05212,秋田県,大仙市,2014年(平成26),機械器具小売業,108,652,"18,002","12,649"
05212,秋田県,大仙市,2014年(平成26),その他の小売業,324,"1,957","38,729","66,418"
05212,秋田県,大仙市,2014年(平成26),無店舗小売,46,112,"1,613",-
