６　　　気　　　　　象,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（１）秋田市の気象,,,,,,,,,,（２）秋田市と主な都市の気温と降水量,,,,,,,,,,
,　　　　気温（℃）,,,平均湿度,平均風速,日照時間,降水量,最深積雪,,年次,秋田,札幌,仙台,新潟,東京,大阪,広島,福岡,,
年 ・ 月,最低,最高,平均,,,,,,,,,,,,,,,,,
,（極値）,（極値）,,（％）,（ｍ/ｓ）,（ｈ）,（mm）,(cm),,,,,,,,,,,,
平成25年,-6.5 ,33.8 ,11.9 ,74 ,4.3 ,"1,469.4 ","2,373.0 ",68 ,,,,,,,,,,,,
26,-6.7 ,33.6 ,12.0 ,72 ,4.4 ,"1,647.3 ","1,737.5 ",41 ,,, 最　低　気　温　（℃）,,,,,,,,,
27,-5.5 ,36.3 ,12.7 ,70 ,4.4 ,"1,712.6 ","1,490.5 ",24 ,,,,,,,,,,,,
28,-6.7 ,37.6 ,12.5 ,74 ,4.1 ,"1,673.5 ","1,795.5 ",29 ,,平成25年,-6.5 ,-12.2 ,-5.8 ,-3.8 ,-1.4 ,-1.1 ,-2.2 ,-1.7 ,,
29,-8.4 ,35.3 ,11.9 ,76 ,4.2 ,"1,600.4 ","1,935.0 ",50 ,,26,-6.7 ,-14.3 ,-4.9 ,-4.4 ,-1.3 ,-0.5 ,-1.5 ,0.2 ,,
30,-9.7 ,37.6 ,12.3 ,75 ,4.1 ,"1,526.2 ","2,016.5 ",34 ,,27,-5.5 ,-10.1 ,-4.3 ,-3.4 ,-2.4 ,0.0 ,-1.0 ,-0.9 ,,
令和元年,-5.9 ,36.8 ,12.9 ,72 ,4.2 ,"1,833.7 ","1,566.5 ",17 ,,28,-6.7 ,-10.9 ,-3.9 ,-3.5 ,-2.6 ,-3.5 ,-3.9 ,-4.0 ,,
２,-6.7 ,36.1 ,12.8 ,75 ,4.1 ,"1,535.7 ","2,022.5 ",24 ,,29,-8.4 ,-12.8 ,-5.5 ,-4.0 ,-2.3 ,-0.8 ,-1.7 ,-0.6 ,,
３,-8.2 ,36.5 ,12.9 ,75 ,4.3 ,"1,755.7 ","1,916.5 ",60 ,,30,-9.7 ,-12.7 ,-6.7 ,-5.9 ,-4.0 ,-2.5 ,-4.3 ,-1.8 ,,
４,-6.6 ,34.1 ,12.6 ,75 ,4.1 ,"1,654.3 ","1,862.0 ",56 ,,令和元年,-5.9 ,-13.1 ,-3.6 ,-1.8 ,-1.2 ,0.7 ,-0.8 ,0.6 ,,
,,,,,,,,,,２,-6.7 ,-14.9 ,-4.7 ,-3.7 ,-2.1 ,-0.1 ,-0.3 ,1.0 ,,
