市町村コード,都道府県名,市町村名,地域,年度,総数(施設数),総数(給水人口)(人),簡易水道(施設数),簡易水道(給水人口)(人),小規模水道(施設数),小規模水道(給水人口)(人)
052124,秋田県,大仙市,市全域,2005(平成17),102,"35,491",66,"33,487",36,"2,004"
052124,秋田県,大仙市,市全域,2006(平成18）,102,"35,323",66,"33,334",36,"1,989"
052124,秋田県,大仙市,市全域,2007(平成19）,100,"35,036",66,"33,155",34,"1,881"
052124,秋田県,大仙市,市全域,2008(平成20）,100,"35,036",66,"33,155",34,"1,881"
052124,秋田県,大仙市,市全域,2009(平成21）,96,"34,718",65,"33,054",31,"1,664"
052124,秋田県,大仙市,市全域,2010(平成22）,96,"34,687",65,"32,989",31,"1,698"
052124,秋田県,大仙市,市全域,2011(平成23）,94,"34,320",63,"32,640",31,"1,680"
052124,秋田県,大仙市,市全域,2012(平成24）,92,"34,093",62,"32,529",30,"1,564"
052124,秋田県,大仙市,市全域,2013(平成25）,92,"33,601",62,"32,068",30,"1,533"
052124,秋田県,大仙市,市全域,2014(平成26）,89,"32,861",59,"31,387",30,"1,499"
052124,秋田県,大仙市,市全域,2015(平成27）,84,"31,396",59,"30,469",30,"1,474"
052124,秋田県,大仙市,市全域,2016(平成28）,77,"30,588",57,"29,917",25,"1,210"
052124,秋田県,大仙市,市全域,2017(平成29）,76,"29,906",51,"28,737",25,"1,169"
052124,秋田県,大仙市,市全域,2018(平成30）,74,"28,717",48,"27,458",26,"1,259"
052124,秋田県,大仙市,市全域,2019(令和1）,72,"28,428",48,"27,238",24,"1,190"
052124,秋田県,大仙市,市全域,2020(令和2）,72,"27,304",48,"26,184",24,"1,120"
052124,秋田県,大仙市,市全域,2021(令和3),71,"26,858",48,"25,681",23,"1,177"
052124,秋田県,大仙市,大曲地域,2005(平成17),33,"3,599",16,"2,696",17,903
052124,秋田県,大仙市,大曲地域,2006(平成18）,33,"3,599",16,"2,696",17,903
052124,秋田県,大仙市,大曲地域,2007(平成19）,33,"3,599",16,"2,696",17,903
052124,秋田県,大仙市,大曲地域,2008(平成20）,33,"3,575",16,"2,696",17,879
052124,秋田県,大仙市,大曲地域,2009(平成21）,33,"3,599",16,"2,696",17,903
052124,秋田県,大仙市,大曲地域,2010(平成22）,33,"3,605",16,"2,696",17,909
052124,秋田県,大仙市,大曲地域,2011(平成23）,33,"3,580",16,"2,691",17,889
052124,秋田県,大仙市,大曲地域,2012(平成24）,33,"3,564",16,"2,691",17,873
052124,秋田県,大仙市,大曲地域,2013(平成25）,33,"3,458",16,"2,603",17,855
052124,秋田県,大仙市,大曲地域,2014(平成26）,32,"3,265",15,"2,431",17,834
052124,秋田県,大仙市,大曲地域,2015(平成27）,32,"3,217",15,"2,401",17,816
052124,秋田県,大仙市,大曲地域,2016(平成28）,25,"2,489",13,"1,916",12,573
052124,秋田県,大仙市,大曲地域,2017(平成29）,23,"1,914",11,"1,375",12,539
052124,秋田県,大仙市,大曲地域,2018(平成30）,22,"1,590",11,"1,135",11,455
052124,秋田県,大仙市,大曲地域,2019(令和1）,20,"1,553",11,"1,144",9,409
052124,秋田県,大仙市,大曲地域,2020(令和2）,20,"1,527",11,"1,120",9,407
052124,秋田県,大仙市,大曲地域,2021(令和3),20,"1,582",11,"1,084",9,498
052124,秋田県,大仙市,神岡地域,2005(平成17),3,"4,131",3,"4,131",0,0
052124,秋田県,大仙市,神岡地域,2006(平成18）,3,"3,966",3,"3,966",0,0
052124,秋田県,大仙市,神岡地域,2007(平成19）,3,"4,040",3,"4,040",0,0
052124,秋田県,大仙市,神岡地域,2008(平成20）,3,"4,058",3,"4,058",0,0
052124,秋田県,大仙市,神岡地域,2009(平成21）,3,"4,239",3,"4,239",0,0
052124,秋田県,大仙市,神岡地域,2010(平成22）,3,"4,220",3,"4,220",0,0
052124,秋田県,大仙市,神岡地域,2011(平成23）,3,"4,230",3,"4,230",0,0
052124,秋田県,大仙市,神岡地域,2012(平成24）,3,"4,181",3,"4,181",0,0
052124,秋田県,大仙市,神岡地域,2013(平成25）,3,"4,204",3,"4,204",0,0
052124,秋田県,大仙市,神岡地域,2014(平成26）,3,"4,160",3,"4,160",0,0
052124,秋田県,大仙市,神岡地域,2015(平成27）,3,"4,056",3,"4,056",0,0
052124,秋田県,大仙市,神岡地域,2016(平成28）,3,"4,259",3,"4,259",0,0
052124,秋田県,大仙市,神岡地域,2017(平成29）,3,"4,100",3,"4,100",0,0
052124,秋田県,大仙市,神岡地域,2018(平成30）,3,"3,808",3,"3,808",0,0
052124,秋田県,大仙市,神岡地域,2019(令和1）,3,"3,926",3,"3,926",0,0
052124,秋田県,大仙市,神岡地域,2020(令和2）,3,"3,805",3,"3,805",0,0
052124,秋田県,大仙市,神岡地域,2021(令和3),3,"3,812",3,"3,812",0,0
052124,秋田県,大仙市,西仙北地域,2005(平成17),15,"8,434",10,"8,112",5,322
052124,秋田県,大仙市,西仙北地域,2006(平成18）,15,"8,320",10,"8,000",5,320
052124,秋田県,大仙市,西仙北地域,2007(平成19）,15,"8,258",10,"7,943",5,315
052124,秋田県,大仙市,西仙北地域,2008(平成20）,14,"8,266",9,"7,960",5,306
052124,秋田県,大仙市,西仙北地域,2009(平成21）,11,"8,512",9,"8,373",2,139
052124,秋田県,大仙市,西仙北地域,2010(平成22）,11,"8,656",9,"8,517",2,139
052124,秋田県,大仙市,西仙北地域,2011(平成23）,11,"8,525",9,"8,367",2,158
052124,秋田県,大仙市,西仙北地域,2012(平成24）,9,"8,499",8,"8,426",1,73
052124,秋田県,大仙市,西仙北地域,2013(平成25）,9,"8,441",8,"8,368",1,73
052124,秋田県,大仙市,西仙北地域,2014(平成26）,7,"8,148",7,"8,148",0,0
052124,秋田県,大仙市,西仙北地域,2015(平成27）,7,"7,594",7,"7,594",0,0
052124,秋田県,大仙市,西仙北地域,2016(平成28）,7,"7,460",7,"7,460",0,0
052124,秋田県,大仙市,西仙北地域,2017(平成29）,7,"7,427",7,"7,427",0,0
052124,秋田県,大仙市,西仙北地域,2018(平成30）,7,"7,258",7,"7,258",0,0
052124,秋田県,大仙市,西仙北地域,2019(令和1）,7,"7,125",7,"7,125",0,0
052124,秋田県,大仙市,西仙北地域,2020(令和2）,7,"6,807",7,"6,807",0,0
052124,秋田県,大仙市,西仙北地域,2021(令和3),7,"6,626",7,"6,626",0,0
052124,秋田県,大仙市,中仙地域,2005(平成17),13,"3,059",4,"2,524",9,535
052124,秋田県,大仙市,中仙地域,2006(平成18）,13,"2,990",4,"2,466",9,524
052124,秋田県,大仙市,中仙地域,2007(平成19）,13,"3,001",4,"2,479",9,522
052124,秋田県,大仙市,中仙地域,2008(平成20）,13,"2,848",4,"2,327",9,521
052124,秋田県,大仙市,中仙地域,2009(平成21）,13,"2,807",4,"2,290",9,517
052124,秋田県,大仙市,中仙地域,2010(平成22）,13,"2,792",4,"2,275",9,517
052124,秋田県,大仙市,中仙地域,2011(平成23）,13,"2,670",4,"2,167",9,503
052124,秋田県,大仙市,中仙地域,2012(平成24）,13,"2,771",4,"2,277",9,494
052124,秋田県,大仙市,中仙地域,2013(平成25）,13,"2,727",4,"2,245",9,482
052124,秋田県,大仙市,中仙地域,2014(平成26）,13,"2,668",4,"2,194",9,474
052124,秋田県,大仙市,中仙地域,2015(平成27）,13,"2,612",4,"2,139",9,473
052124,秋田県,大仙市,中仙地域,2016(平成28）,13,"2,576",4,"2,115",9,461
052124,秋田県,大仙市,中仙地域,2017(平成29）,13,"2,517",4,"2,064",9,453
052124,秋田県,大仙市,中仙地域,2018(平成30）,13,"2,458",4,"2,013",9,445
052124,秋田県,大仙市,中仙地域,2019(令和1）,13,"2,413",4,"1,975",9,438
052124,秋田県,大仙市,中仙地域,2020(令和2）,13,"2,302",4,"1,921",9,381
052124,秋田県,大仙市,中仙地域,2021(令和3),12,"2,227",4,"1,887",8,340
052124,秋田県,大仙市,協和地域,2005(平成17),7,"8,599",6,"8,522",1,77
052124,秋田県,大仙市,協和地域,2006(平成18）,7,"8,414",6,"8,338",1,76
052124,秋田県,大仙市,協和地域,2007(平成19）,7,"8,194",6,"8,120",1,74
052124,秋田県,大仙市,協和地域,2008(平成20）,7,"8,007",6,"7,938",1,69
052124,秋田県,大仙市,協和地域,2009(平成21）,7,"7,879",6,"7,810",1,69
052124,秋田県,大仙市,協和地域,2010(平成22）,7,"7,734",6,"7,664",1,70
052124,秋田県,大仙市,協和地域,2011(平成23）,7,"7,514",6,"7,446",1,68
052124,秋田県,大仙市,協和地域,2012(平成24）,7,"7,334",6,"7,268",1,66
052124,秋田県,大仙市,協和地域,2013(平成25）,7,"7,194",6,"7,129",1,65
052124,秋田県,大仙市,協和地域,2014(平成26）,7,"7,025",6,"6,954",1,71
052124,秋田県,大仙市,協和地域,2015(平成27）,7,"6,849",6,"6,783",1,66
052124,秋田県,大仙市,協和地域,2016(平成28）,7,"6,716",6,"6,653",1,63
052124,秋田県,大仙市,協和地域,2017(平成29）,7,"6,522",6,"6,455",1,67
052124,秋田県,大仙市,協和地域,2018(平成30）,7,"6,331",6,"6,264",1,67
052124,秋田県,大仙市,協和地域,2019(令和1）,7,"6,192",6,"6,129",1,63
052124,秋田県,大仙市,協和地域,2020(令和2）,7,"6,027",6,"5,966",1,61
052124,秋田県,大仙市,協和地域,2021(令和3),7,"5,869",6,"5,806",1,63
052124,秋田県,大仙市,南外地域,2005(平成17),3,"3,434",3,"3,434",0,0
052124,秋田県,大仙市,南外地域,2006(平成18）,3,"3,816",3,"3,816",0,0
052124,秋田県,大仙市,南外地域,2007(平成19）,3,"3,821",3,"3,821",0,0
052124,秋田県,大仙市,南外地域,2008(平成20）,3,"3,829",3,"3,829",0,0
052124,秋田県,大仙市,南外地域,2009(平成21）,3,"3,821",3,"3,821",0,0
052124,秋田県,大仙市,南外地域,2010(平成22）,3,"3,523",3,"3,523",0,0
052124,秋田県,大仙市,南外地域,2011(平成23）,1,"3,448",1,"3,448",0,0
052124,秋田県,大仙市,南外地域,2012(平成24）,1,"3,343",1,"3,343",0,0
052124,秋田県,大仙市,南外地域,2013(平成25）,1,"3,244",1,"3,244",0,0
052124,秋田県,大仙市,南外地域,2014(平成26）,1,"3,210",1,"3,210",0,0
052124,秋田県,大仙市,南外地域,2015(平成27）,1,"3,102",1,"3,102",0,0
052124,秋田県,大仙市,南外地域,2016(平成28）,1,"3,070",1,"3,070",0,0
052124,秋田県,大仙市,南外地域,2017(平成29）,1,"2,983",1,"2,983",0,0
052124,秋田県,大仙市,南外地域,2018(平成30）,1,"2,987",1,"2,987",0,0
052124,秋田県,大仙市,南外地域,2019(令和1）,1,"2,900",1,"2,900",0,0
052124,秋田県,大仙市,南外地域,2020(令和2）,1,"2,766",1,"2,766",0,0
052124,秋田県,大仙市,南外地域,2021(令和3),1,"2,743",1,"2,743",0,0
052124,秋田県,大仙市,仙北地域,2005(平成17),22,"3,498",20,"3,428",2,70
052124,秋田県,大仙市,仙北地域,2006(平成18）,22,"3,434",20,"3,366",2,68
052124,秋田県,大仙市,仙北地域,2007(平成19）,21,"3,481",20,"3,446",1,35
052124,秋田県,大仙市,仙北地域,2008(平成20）,21,"3,293",20,"3,266",1,27
052124,秋田県,大仙市,仙北地域,2009(平成21）,21,"3,242",20,"3,215",1,27
