市町村コード,都道府県名,市町村名,年度,市税決算額（千円）,人口（人）,１人当たりの負担額（千円）,世帯数（世帯）,１世帯当たりの負担額（千円）
052124,秋田県,大仙市,2005(平成17),7450789,95155,78,30391,245
052124,秋田県,大仙市,2006(平成18）,7493120,94160,80,30484,246
052124,秋田県,大仙市,2007(平成19）,8220643,93103,88,30548,269
052124,秋田県,大仙市,2008(平成20）,8133796,92224,88,30678,265
052124,秋田県,大仙市,2009(平成21）,7976008,91308,87,30732,260
052124,秋田県,大仙市,2010(平成22）,7850450,90406,87,30872,254
052124,秋田県,大仙市,2011(平成23）,7816041,89290,88,30908,253
052124,秋田県,大仙市,2012(平成24）,7799329,88219,88,31042,251
052124,秋田県,大仙市,2013(平成25）,7922444,87239,91,31121,255
052124,秋田県,大仙市,2014(平成26）,7947979,86061,92,31161,255
052124,秋田県,大仙市,2015(平成27）,7814557,84903,92,31249,250
052124,秋田県,大仙市,2016(平成28）,7842863,83578,94,31311,250
052124,秋田県,大仙市,2017(平成29）,7993490,82468,97,31348,255
052124,秋田県,大仙市,2018(平成30）,8088987,81144,100,31378,258
052124,秋田県,大仙市,2019(令和1）,8094722,79930,101,31461,257
052124,秋田県,大仙市,2020(令和2）,8062971,78603,103,31484,256
052124,秋田県,大仙市,2021(令和3）,7947149,77299,103,31522,252
