市町村コード,都道府県名,市町村名,地域,公民館名,年度,利用回数,利用者数
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2005(平成17),-,"8,337"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2006(平成18）,-,"7,768"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2007(平成19）,-,"8,009"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2008(平成20）,906,"9,175"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2009(平成21）,"1,000","9,034"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2010(平成22）,946,"7,681"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2011(平成23）,961,"7,430"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2012(平成24）,"1,036","7,784"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2013(平成25）,"1,031","7,382"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2014(平成26）,960,"6,858"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2015(平成27）,994,"6,867"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2016(平成28）,"1,338","9,454"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2017(平成29）,"1,270","7,957"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2018(平成30）,471,"3,153"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2019(令和1）,166,"1,298"
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2020(令和2）,-,-
052124,秋田県,大仙市,大曲地域,大曲公民館（青少年ホーム）,2021(令和3）,-,-
052124,秋田県,大仙市,大曲地域,花館公民館,2005(平成17),"1,211","17,926"
052124,秋田県,大仙市,大曲地域,花館公民館,2006(平成18）,"1,239","17,691"
052124,秋田県,大仙市,大曲地域,花館公民館,2007(平成19）,"1,370","17,785"
052124,秋田県,大仙市,大曲地域,花館公民館,2008(平成20）,"1,141","15,681"
052124,秋田県,大仙市,大曲地域,花館公民館,2009(平成21）,966,"15,980"
052124,秋田県,大仙市,大曲地域,花館公民館,2010(平成22）,998,"13,439"
052124,秋田県,大仙市,大曲地域,花館公民館,2011(平成23）,916,"12,470"
052124,秋田県,大仙市,大曲地域,花館公民館,2012(平成24）,839,"12,383"
052124,秋田県,大仙市,大曲地域,花館公民館,2013(平成25）,993,"18,127"
052124,秋田県,大仙市,大曲地域,花館公民館,2014(平成26）,"1,051","18,298"
052124,秋田県,大仙市,大曲地域,花館公民館,2015(平成27）,"1,277","16,412"
052124,秋田県,大仙市,大曲地域,花館公民館,2016(平成28）,"1,568","17,616"
052124,秋田県,大仙市,大曲地域,花館公民館,2017(平成29）,"1,515","18,029"
052124,秋田県,大仙市,大曲地域,花館公民館,2018(平成30）,"1,527","18,588"
052124,秋田県,大仙市,大曲地域,花館公民館,2019(令和1）,"1,431","16,160"
052124,秋田県,大仙市,大曲地域,花館公民館,2020(令和2）,"1,205","12,409"
052124,秋田県,大仙市,大曲地域,花館公民館,2021(令和3）,"1,093","11,183"
052124,秋田県,大仙市,大曲地域,内小友公民館,2005(平成17),921,"9,176"
052124,秋田県,大仙市,大曲地域,内小友公民館,2006(平成18）,674,"8,816"
052124,秋田県,大仙市,大曲地域,内小友公民館,2007(平成19）,662,"8,371"
052124,秋田県,大仙市,大曲地域,内小友公民館,2008(平成20）,704,"9,823"
052124,秋田県,大仙市,大曲地域,内小友公民館,2009(平成21）,710,"7,157"
052124,秋田県,大仙市,大曲地域,内小友公民館,2010(平成22）,437,"5,411"
052124,秋田県,大仙市,大曲地域,内小友公民館,2011(平成23）,432,"5,139"
052124,秋田県,大仙市,大曲地域,内小友公民館,2012(平成24）,523,"5,810"
052124,秋田県,大仙市,大曲地域,内小友公民館,2013(平成25）,490,"5,455"
052124,秋田県,大仙市,大曲地域,内小友公民館,2014(平成26）,670,"8,117"
052124,秋田県,大仙市,大曲地域,内小友公民館,2015(平成27）,704,"8,267"
052124,秋田県,大仙市,大曲地域,内小友公民館,2016(平成28）,800,"8,887"
052124,秋田県,大仙市,大曲地域,内小友公民館,2017(平成29）,725,"8,369"
052124,秋田県,大仙市,大曲地域,内小友公民館,2018(平成30）,641,"6,158"
052124,秋田県,大仙市,大曲地域,内小友公民館,2019(令和1）,932,"7,702"
052124,秋田県,大仙市,大曲地域,内小友公民館,2020(令和2）,762,"5,929"
052124,秋田県,大仙市,大曲地域,内小友公民館,2021(令和3）,781,"5,322"
052124,秋田県,大仙市,大曲地域,藤木公民館,2005(平成17),704,"8,843"
052124,秋田県,大仙市,大曲地域,藤木公民館,2006(平成18）,750,"9,862"
052124,秋田県,大仙市,大曲地域,藤木公民館,2007(平成19）,754,"9,913"
052124,秋田県,大仙市,大曲地域,藤木公民館,2008(平成20）,787,"10,109"
052124,秋田県,大仙市,大曲地域,藤木公民館,2009(平成21）,790,"10,847"
052124,秋田県,大仙市,大曲地域,藤木公民館,2010(平成22）,801,"9,481"
052124,秋田県,大仙市,大曲地域,藤木公民館,2011(平成23）,759,"8,940"
052124,秋田県,大仙市,大曲地域,藤木公民館,2012(平成24）,713,"9,439"
052124,秋田県,大仙市,大曲地域,藤木公民館,2013(平成25）,722,"9,323"
052124,秋田県,大仙市,大曲地域,藤木公民館,2014(平成26）,768,"9,380"
052124,秋田県,大仙市,大曲地域,藤木公民館,2015(平成27）,747,"9,936"
052124,秋田県,大仙市,大曲地域,藤木公民館,2016(平成28）,655,"8,800"
052124,秋田県,大仙市,大曲地域,藤木公民館,2017(平成29）,735,"10,328"
052124,秋田県,大仙市,大曲地域,藤木公民館,2018(平成30）,722,"10,359"
052124,秋田県,大仙市,大曲地域,藤木公民館,2019(令和1）,646,"8,750"
052124,秋田県,大仙市,大曲地域,藤木公民館,2020(令和2）,629,"6,606"
052124,秋田県,大仙市,大曲地域,藤木公民館,2021(令和3）,585,"6,732"
052124,秋田県,大仙市,大曲地域,角間川公民館,2005(平成17),"1,328","14,890"
052124,秋田県,大仙市,大曲地域,角間川公民館,2006(平成18）,"1,160","13,394"
052124,秋田県,大仙市,大曲地域,角間川公民館,2007(平成19）,"1,277","15,815"
052124,秋田県,大仙市,大曲地域,角間川公民館,2008(平成20）,"1,601","18,886"
052124,秋田県,大仙市,大曲地域,角間川公民館,2009(平成21）,"1,024","12,599"
052124,秋田県,大仙市,大曲地域,角間川公民館,2010(平成22）,"1,071","13,963"
052124,秋田県,大仙市,大曲地域,角間川公民館,2011(平成23）,"1,027","11,364"
052124,秋田県,大仙市,大曲地域,角間川公民館,2012(平成24）,"1,071","14,524"
052124,秋田県,大仙市,大曲地域,角間川公民館,2013(平成25）,"1,043","13,766"
052124,秋田県,大仙市,大曲地域,角間川公民館,2014(平成26）,952,"13,967"
052124,秋田県,大仙市,大曲地域,角間川公民館,2015(平成27）,"1,288","14,766"
052124,秋田県,大仙市,大曲地域,角間川公民館,2016(平成28）,"1,227","19,246"
052124,秋田県,大仙市,大曲地域,角間川公民館,2017(平成29）,"1,027","18,822"
052124,秋田県,大仙市,大曲地域,角間川公民館,2018(平成30）,"1,026","15,576"
052124,秋田県,大仙市,大曲地域,角間川公民館,2019(令和1）,776,"9,772"
052124,秋田県,大仙市,大曲地域,角間川公民館,2020(令和2）,569,"5,436"
052124,秋田県,大仙市,大曲地域,角間川公民館,2021(令和3）,499,"5,465"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2005(平成17),676,"7,865"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2006(平成18）,624,"6,888"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2007(平成19）,566,"5,875"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2008(平成20）,542,"6,809"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2009(平成21）,500,"6,377"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2010(平成22）,590,"6,838"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2011(平成23）,595,"7,832"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2012(平成24）,690,"7,490"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2013(平成25）,644,"7,313"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2014(平成26）,883,"9,795"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2015(平成27）,836,"10,316"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2016(平成28）,985,"10,179"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2017(平成29）,835,"10,023"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2018(平成30）,"1,024","10,164"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2019(令和1）,891,"10,814"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2020(令和2）,592,"4,731"
052124,秋田県,大仙市,大曲地域,大川西根公民館,2021(令和3）,792,"6,716"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2005(平成17),"1,126","17,944"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2006(平成18）,"1,165","19,771"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2007(平成19）,"1,041","19,821"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2008(平成20）,"1,062","19,920"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2009(平成21）,"1,269","20,329"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2010(平成22）,"1,267","22,754"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2011(平成23）,"1,128","18,993"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2012(平成24）,"1,165","18,629"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2013(平成25）,"1,216","19,130"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2014(平成26）,"1,494","21,863"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2015(平成27）,"1,348","20,372"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2016(平成28）,"1,328","21,750"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2017(平成29）,"1,219","19,087"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2018(平成30）,"1,337","17,696"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2019(令和1）,"1,203","16,765"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2020(令和2）,956,"9,898"
052124,秋田県,大仙市,大曲地域,四ツ屋公民館,2021(令和3）,"1,163","10,521"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2005(平成17),339,"6,629"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2006(平成18）,361,"7,072"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2007(平成19）,563,"7,441"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2008(平成20）,526,"7,163"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2009(平成21）,591,"10,705"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2010(平成22）,602,"9,399"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2011(平成23）,617,"10,587"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2012(平成24）,644,"9,805"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2013(平成25）,720,"10,403"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2014(平成26）,748,"11,078"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2015(平成27）,616,"9,274"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2016(平成28）,541,"7,908"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2017(平成29）,398,"7,770"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2018(平成30）,457,"9,205"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2019(令和1）,399,"6,127"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2020(令和2）,372,"4,358"
052124,秋田県,大仙市,神岡地域,神岡中央公民館,2021(令和3）,406,"3,357"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2005(平成17),413,"6,308"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2006(平成18）,315,"2,730"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2007(平成19）,706,"8,675"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2008(平成20）,638,"9,252"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2009(平成21）,724,"9,282"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2010(平成22）,733,"8,695"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2011(平成23）,669,"8,670"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2012(平成24）,770,"8,719"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2013(平成25）,618,"8,765"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2014(平成26）,668,"9,589"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2015(平成27）,729,"10,364"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2016(平成28）,873,"9,772"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2017(平成29）,955,"11,481"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2018(平成30）,838,"10,515"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2019(令和1）,766,"10,124"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2020(令和2）,687,"8,296"
052124,秋田県,大仙市,神岡地域,北楢岡公民館,2021(令和3）,718,"7,714"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2005(平成17),94,"2,098"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2006(平成18）,114,"1,992"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2007(平成19）,85,"1,918"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2008(平成20）,56,"1,411"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2009(平成21）,51,"1,206"
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2010(平成22）,72,912
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2011(平成23）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2012(平成24）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2013(平成25）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2014(平成26）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2015(平成27）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2016(平成28）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2017(平成29）,-,-
052124,秋田県,大仙市,神岡地域,神岡中央公民館蒲分館,2018(平成30）,-,-
