市町村コード,都道府県名,市町村名,年度,地域,総評価額(千円),田(千円),畑(千円),宅地(千円),池沼(千円),山林(千円),原野(千円),雑種地・その他(千円)
052124,秋田県,大仙市,2005(平成17),市全域,"243,958,632","17,032,850","656,761","217,220,918","1,368","3,499,259","340,434","5,207,042"
052124,秋田県,大仙市,2006(平成18）,市全域,"233,848,243","17,177,811","644,881","205,515,192","1,361","3,507,720","324,534","6,676,744"
052124,秋田県,大仙市,2007(平成19）,市全域,"229,860,666","17,178,517","639,983","201,645,631","1,348","3,524,801","321,937","6,548,449"
052124,秋田県,大仙市,2008(平成20）,市全域,"231,304,918","17,174,437","630,346","197,640,476","1,340","3,549,295","318,434","11,990,590"
052124,秋田県,大仙市,2009(平成21）,市全域,"220,997,994","17,225,058","626,926","192,478,511","1,339","3,541,221","315,612","6,809,327"
052124,秋田県,大仙市,2010(平成22）,市全域,"212,262,194","17,203,167","623,872","183,897,224","1,332","3,566,465","315,390","6,654,744"
052124,秋田県,大仙市,2011(平成23）,市全域,"205,226,481","17,207,703","618,940","176,716,147","1,327","3,589,342","313,344","6,779,678"
052124,秋田県,大仙市,2012(平成24）,市全域,"192,550,880","17,207,836","616,006","164,405,015","1,327","3,633,894","313,058","6,373,744"
052124,秋田県,大仙市,2013(平成25）,市全域,"186,038,136","17,212,142","613,391","158,125,777","1,327","3,627,101","312,153","6,146,245"
052124,秋田県,大仙市,2014(平成26）,市全域,"180,117,890","17,264,677","611,285","152,461,501","1,327","3,634,625","313,784","5,830,691"
052124,秋田県,大仙市,2015(平成27）,市全域,"168,636,767","17,303,827","609,743","141,431,785","1,308","3,676,067","311,269","5,302,768"
052124,秋田県,大仙市,2016(平成28）,市全域,"164,223,300","17,308,679","607,263","136,983,288","1,323","3,690,220","309,729","5,322,798"
052124,秋田県,大仙市,2017(平成29）,市全域,"161,211,230","17,303,901","605,639","134,067,870","1,323","3,700,357","307,293","5,224,847"
052124,秋田県,大仙市,2018(平成30）,市全域,"155,427,441","17,292,837","602,401","128,250,987","1,311","3,712,768","307,401","5,259,736"
052124,秋田県,大仙市,2019(令和1）,市全域,"153,907,559","17,284,658","601,160","126,862,916","1,311","3,706,132","306,345","5,145,037"
052124,秋田県,大仙市,2020(令和2）,市全域,"153,372,193","17,280,484","596,258","126,326,703","1,302","3,723,974","303,496","5,139,976"
052124,秋田県,大仙市,2021(令和3）,市全域,"148,078,349","17,274,510","598,259","121,173,454","1,302","3,691,840","303,217","5,035,767"
052124,秋田県,大仙市,2022(令和4）,市全域,"148,247,559","17,259,300","595,799","121,179,273","1,302","3,709,969","303,031","5,198,885"
052124,秋田県,大仙市,2005(平成17),大曲地域,"149,218,343","3,241,318","148,958","142,741,462",238,"150,729","47,173","2,888,465"
052124,秋田県,大仙市,2006(平成18）,大曲地域,"140,666,727","3,519,044","148,497","133,636,189",238,"152,104","47,108","3,163,546"
052124,秋田県,大仙市,2007(平成19）,大曲地域,"137,070,839","3,526,985","148,116","130,464,497",225,"152,082","45,953","2,732,981"
052124,秋田県,大仙市,2008(平成20）,大曲地域,"139,040,944","3,510,424","145,946","127,010,667",217,"152,004","45,987","8,175,700"
052124,秋田県,大仙市,2009(平成21）,大曲地域,"133,412,813","3,548,314","144,902","126,824,632",217,"157,057","45,288","2,692,404"
052124,秋田県,大仙市,2010(平成22）,大曲地域,"126,546,251","3,544,371","144,134","119,891,436",217,"157,203","45,197","2,763,694"
