地域コード,市町村,地域,年次,事業所数(所),従業者数(人),製造品出荷額等(万円),現金給与総額(万円),原材料使用額等(万円)
052124,大仙市,市内全域,2005年(平成17),257,"6,867","11,845,914","1,839,055","8,394,788"
052124,大仙市,市内全域,2006年(平成18),239,"6,633","13,481,832","1,882,322","10,263,936"
052124,大仙市,市内全域,2007年(平成19),235,"6,616","11,336,252","1,834,934","7,929,614"
052124,大仙市,市内全域,2008年(平成20),243,"6,265","10,841,092","1,790,602","7,263,169"
052124,大仙市,市内全域,2009年(平成21),219,"5,446","6,044,460","1,440,979","3,238,522"
052124,大仙市,市内全域,2010年(平成22),212,"5,560","7,277,950","1,489,939","4,357,882"
052124,大仙市,市内全域,2011年(平成23),217,"5,389","6,783,818","1,466,950","3,369,942"
052124,大仙市,市内全域,2012年(平成24),209,"4,978","6,056,342","1,410,169","3,452,032"
052124,大仙市,市内全域,2013年(平成25),205,"4,932","5,990,704","1,351,170","3,431,105"
052124,大仙市,市内全域,2014年(平成26),199,"4,813","6,469,476","1,336,744","3,705,779"
052124,大仙市,市内全域,2015年(平成27),202,"4,446","6,038,496","1,195,323","3,332,699"
052124,大仙市,市内全域,2016年(平成28),,,,,
052124,大仙市,市内全域,2017年(平成29),193,"4,953","7,014,549","1,409,876","3,847,565"
052124,大仙市,市内全域,2018年(平成30),192,"4,952","6,880,684","1,437,018","3,877,925"
052124,大仙市,市内全域,2019年(平成31/令和1),191,"5,076","7,279,145","1,510,979","4,004,956"
052124,大仙市,市内全域,2020年(令和2),183,"5,085","7,274,343","1,529,603","4,084,013"
052124,大仙市,大曲地域,1960年(昭和35),103,745,"44,947",,
052124,大仙市,大曲地域,1961年(昭和36),107,825,"65,627",,
052124,大仙市,大曲地域,1962年(昭和37),110,950,"92,268",,
052124,大仙市,大曲地域,1963年(昭和38),136,"1,057","120,861",,
052124,大仙市,大曲地域,1964年(昭和39),131,"1,038","46,751",,
052124,大仙市,大曲地域,1965年(昭和40),132,"1,108","171,787",,
052124,大仙市,大曲地域,1966年(昭和41),145,"1,392","198,959",,
052124,大仙市,大曲地域,1967年(昭和42),155,"1,454","255,206",,
052124,大仙市,大曲地域,1968年(昭和43),153,"1,530","313,615",,
052124,大仙市,大曲地域,1969年(昭和44),140,"1,458","330,969",,
052124,大仙市,大曲地域,1970年(昭和45),140,"1,508","401,854",,
052124,大仙市,大曲地域,1971年(昭和46),135,"1,498","432,738",,
052124,大仙市,大曲地域,1972年(昭和47),141,"1,619","440,900",,
052124,大仙市,大曲地域,1973年(昭和48),140,"1,966","614,910",,
052124,大仙市,大曲地域,1974年(昭和49),132,"1,930","812,735",,
052124,大仙市,大曲地域,1975年(昭和50),136,"2,083","887,865","169,799","471,436"
052124,大仙市,大曲地域,1976年(昭和51),141,"2,096","1,037,114","202,931","577,837"
052124,大仙市,大曲地域,1977年(昭和52),140,"2,109","1,063,175","224,927","608,511"
052124,大仙市,大曲地域,1978年(昭和53),150,"2,266","1,212,198","258,751","685,542"
052124,大仙市,大曲地域,1979年(昭和54）,147,"2,264","1,292,435","280,950","761,627"
052124,大仙市,大曲地域,1980年(昭和55),142,"2,284","1,297,707","307,829","730,569"
052124,大仙市,大曲地域,1981年(昭和56),112,"2,241","1,330,339","326,565","710,425"
052124,大仙市,大曲地域,1982年(昭和57),117,"2,459","1,614,669","369,095","865,325"
052124,大仙市,大曲地域,1983年(昭和58),122,"2,612","1,797,539","406,051","1,003,533"
052124,大仙市,大曲地域,1984年(昭和59),119,"2,683","2,184,039","442,114","1,170,975"
052124,大仙市,大曲地域,1985年(昭和60),119,"2,785","2,508,023","460,108","1,374,852"
052124,大仙市,大曲地域,1986年(昭和61),117,"3,046","2,777,136","516,516","1,560,036"
052124,大仙市,大曲地域,1987年(昭和62),118,"3,245","3,227,812","604,257","1,834,694"
052124,大仙市,大曲地域,1988年(昭和63),135,"3,639","3,778,279","664,285","2,117,722"
052124,大仙市,大曲地域,1989年(昭和64/平成1),137,"3,709","4,088,416","723,201","2,429,642"
052124,大仙市,大曲地域,1990年(平成2),141,"3,655","4,368,975","770,303","2,363,059"
052124,大仙市,大曲地域,1991年(平成3),144,"3,563","4,310,685","818,817","2,431,182"
052124,大仙市,大曲地域,1992年(平成4),141,"3,451","4,266,667","833,961","2,430,131"
052124,大仙市,大曲地域,1993年(平成5),151,"3,437","3,968,716","877,294","2,132,972"
052124,大仙市,大曲地域,1994年(平成6),137,"3,305","4,048,154","866,652","2,181,995"
052124,大仙市,大曲地域,1995年(平成7),141,"3,295","4,170,918","858,032","2,281,046"
052124,大仙市,大曲地域,1996年(平成8),140,"3,133","4,211,748","849,089","2,366,255"
052124,大仙市,大曲地域,1997年(平成9）,136,"3,030","3,999,245","853,131","2,115,814"
052124,大仙市,大曲地域,1998年(平成10),142,"3,047","3,947,581","908,548","2,156,609"
052124,大仙市,大曲地域,1999年(平成11),133,"3,015","4,044,812","928,944","2,143,914"
052124,大仙市,大曲地域,2000年(平成12),129,"3,391","4,668,892","989,792","2,913,173"
052124,大仙市,大曲地域,2001年(平成13),115,"2,818","4,050,719","834,848","2,238,228"
052124,大仙市,大曲地域,2002年(平成14),101,"2,363","4,434,037","909,451","2,375,145"
052124,大仙市,大曲地域,2003年(平成15),105,"2,769","3,894,768","716,697","2,574,664"
