市町村コード,都道府県名,市区町村名,名称,名称ｶﾅ,医療機関の種類,住所,電話番号,FAX番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,URL
052124,秋田県,大仙市,大曲厚生医療センター,ｵｵﾏｶﾞﾘｺｳｾｲｲﾘｮｳｾﾝﾀｰ,病院,秋田県大仙市大曲通町8-65,0187-63-2111,0187-63-5406,月火水木金,8:30,17:00,,内科；糖尿病内科；脳神経内科；小児科；外科；整形外科；脳神経外科；呼吸器外科；皮膚科；泌尿器科；産婦人科；眼科；耳鼻咽喉科；リハビリテーション科；放射線科；歯科；口腔外科；麻酔科；病理診断科,437,http://www.okmc.jp/
052124,秋田県,大仙市,大曲中通病院,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾋﾞｮｳｲﾝ,病院,秋田県大仙市大曲上栄町6-4,0187-63-2131,0187-63-3901,月火水木金土,8:45,12:00,土；予約皮膚科のみ診療,内科；外科；喘息外来；神経内科；循環器科；肝臓外来；糖尿病外来；整形外科；脳神経外科；腎臓外来；皮膚科,106,http://www.meiwakai.or.jp/omagari/
052124,秋田県,大仙市,花園病院,ﾊﾅｿﾞﾉﾋﾞｮｳｲﾝ,病院,秋田県大仙市大曲あけぼの町9-26,0187-63-3100,0187-66-2450,月火水木金土,8:30,17:00,土；午前診療,内科；泌尿器科,50,https://akebonokai.org/
052124,秋田県,大仙市,市立大曲病院,ｼﾘﾂｵｵﾏｶﾞﾘﾋﾞｮｳｲﾝ,病院,秋田県大仙市飯田字堰東210,0187-63-9100,0187-63-9103,月火水木金,8:30,14:00,,精神科；神経科,120,http://www.omagari-hospital.sakura.ne.jp/index.html
052124,秋田県,大仙市,協和病院,ｷｮｳﾜﾋﾞｮｳｲﾝ,病院,秋田県大仙市協和上淀川字五百刈田277-1,018-892-2881,018-892-2888,月火水木金,9:00,12:30,精神科、心療内科は予約制,内科；心療内科；精神科,177,https://keishinkai-akita.net/
052124,秋田県,大仙市,秋田県立リハビリテーション･精神医療センター,ｱｷﾀｹﾝﾘﾂﾘﾊﾋﾞﾘﾃｰｼｮﾝｾｲｼﾝｲﾘｮｳｾﾝﾀｰ,病院,秋田県大仙市協和上淀川字五百刈田352,018-892-3751,018-892-3816,月火水木金,9:00,17:00,,ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科；精神科；神経内科；耳鼻咽喉科；放射線科,300,http://akita-rehacen.jp/
052124,秋田県,大仙市,三浦クリニック,ﾐｳﾗｸﾘﾆｯｸ,無床診療所,秋田県大仙市幸町4-23-2,0187-86-3280,0187-86-3281,月火水木金土,8:30,17:00,"水,土；午前診療",脳神経外科；整形外科；内科；放射線科；神経内科,,https://sites.google.com/site/miuracli/
052124,秋田県,大仙市,はら眼科,ﾊﾗｶﾞﾝｶ,無床診療所,秋田県大仙市幸町1-50,0187-88-8658,0187-88-8302,火木金土,9:00,16:30,水；手術日,眼科,,http://www.hara-ganka.com/
052124,秋田県,大仙市,くしま産婦人科医院,ｸｼﾏｻﾝﾌｼﾞﾝｶｲｲﾝ,有床診療所,秋田県大仙市幸町1-53,0187-88-8455,0187-63-5750,月火水木金土,9:00,18:00（土；16:00）,木；午前診療,産婦人科,記載なし,http://kushima4103.jp
052124,秋田県,大仙市,こにし胃腸内科,ｺﾆｼｲﾁｮｳﾅｲｶ,無床診療所,秋田県大仙市福田町21-23-13,0187-88-8871,0187-88-8872,月火水木金土,9:00,18:00,"木,土；午前診療,火；予約検査日",内科；消化器内科（胃腸内科）,,http://www.konishi-icho.com/
052124,秋田県,大仙市,白鳥耳鼻咽喉科医院,ｼﾗﾄﾘｼﾞﾋﾞｲﾝｺｳｶｲｲﾝ,無床診療所,秋田県大仙市福田町22-21-10,0187-66-3387,0187-73-5233,月火水木金土,9:00,18:00,水；手術日　土；17:00,耳鼻咽喉科,,
052124,秋田県,大仙市,大曲整形外科クリニック,ｵｵﾏｶﾞﾘｾｲｹｲｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町11-6-8,0187-73-6437,0187-73-6438,月火水木金土,8:45,17:30,"水,土；午前診療",整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,http://ooc.sunnyday.jp/
052124,秋田県,大仙市,大仙眼科クリニック,ﾀﾞｲｾﾝｶﾞﾝｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町14-3,0187-63-0001,0187-73-8028,月火水木金土,8:30,17:30,"火,木,土；午前診療",眼科,6,http://daisen-eyeclinic.jp/
052124,秋田県,大仙市,大曲こどもクリニック,ｵｵﾏｶﾞﾘｺﾄﾞﾓｸﾘﾆｯｸ,無床診療所,秋田県大仙市大花町14-7,0187-73-7330,018-803-4957,月火水金土日,8:30,"18:00（土,日；16:00）",,小児科,,https://www.omagari-kids-clinic.com/
052124,秋田県,大仙市,中島内科医院,ﾅｶｼﾞﾏﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市朝日町17-1,0187-63-2211,0187-62-6454,月火水木金土,8:30,17:30,土；午前診療,内科；消化器内科（胃腸内科）；糖尿病内科（代謝内科）,,
052124,秋田県,大仙市,吉方内科医院,ﾖｼｶﾀﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲白金町5-31,0187-86-0800,0187-86-0801,月火水木金土,8:30,18:30,"水,土；15:00まで診療",内科；循環器内科；呼吸器内科,,
052124,秋田県,大仙市,たかはし内科循環器科医院,ﾀｶﾊｼﾅｲｶｼﾞｭﾝｶﾝｷｶｲｲﾝ,無床診療所,秋田県大仙市大曲福住町9-23,0187-63-5115,,月火水木金土,8:30,17:30,"水,土；午前診療",内科；循環器内科；呼吸器内科；消化器内科（胃腸内科）；心療内科,,
052124,秋田県,大仙市,大曲母子医院,ｵｵﾏｶﾞﾘﾎﾞｼｲｲﾝ,無床診療所,秋田県大仙市大曲福住町8-18,0187-63-2288,0187-63-2388,月火水木金土,9:00,18:00（土；15:00）,水；午前診療,産婦人科（生殖医療）；産科；婦人科；外科；泌尿器科,,
052124,秋田県,大仙市,高橋久志眼科医院,ﾀｶﾊｼﾋｻｼｶﾞﾝｶｲｲﾝ,無床診療所,秋田県大仙市大曲通町12-22,0187-66-1148,0187-66-1149,月火水木金土,9:00,17:30,"火,水,土；午前診療,第1,第4土曜日休診",眼科,,http://www.takahashi-eyeclinic.net/
052124,秋田県,大仙市,下山クリニック,ｼﾓﾔﾏｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲福住町2-23,0187-63-5110,0187-63-6010,月火水木金土,8:30,17:30,"水,土；午前診療",消化器内科（胃腸内科）；内科；外科；肛門外科,,http://shimo-clinic.com/
052124,秋田県,大仙市,ケイメンタルクリニック,ｹｲﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲通町10-8,0187-66-3020,0187-63-0041,月火水木金,9:00,16:00,,心療内科；精神科,,https://keishinkai-akita.net/
052124,秋田県,大仙市,田口医院,ﾀｸﾞﾁｲｲﾝ,無床診療所,秋田県大仙市大曲丸の内町10-25,0187-63-1380,0187-63-1211,月火水木金土,9:00,17:00,"水,土；午前診療",婦人科；産科；心療内科,,
052124,秋田県,大仙市,秋桜ペインクリニック,ｺｽﾓｽﾍﾟｲﾝｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲中通町1-8-7,0187-88-8333,0187-88-8815,月火水木金土,9:00,17:30,"火,土；13:30まで診療",ペインクリニック内科,,http://cosmospain2016.jp/
052124,秋田県,大仙市,木村内科医院,ｷﾑﾗﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲中通町3-3,0187-63-2070,0187-63-7756,月火水木金土,8:30,"17:30（水；17:00,土；午前診療）",,内科；循環器内科；消化器内科；小児科,,
052124,秋田県,大仙市,池田医院,ｲｹﾀﾞｲｲﾝ,無床診療所,秋田県大仙市大曲中通町4-20,0187-63-3338,0187-63-3811,月火水木金土,9:00,17:00,土；午前診療,循環器内科；内科；小児科,,
052124,秋田県,大仙市,佐藤耳鼻咽喉科医院,ｻﾄｳｼﾞﾋﾞｲﾝｺｳｶｲｲﾝ,無床診療所,秋田県大仙市大曲黒瀬町3-11,0187-62-2455,0187-63-6787,月火水木金土,9:00,17:20,"木,土；午前診療",耳鼻咽喉科,,
052124,秋田県,大仙市,山下医院,ﾔﾏｼﾀｲｲﾝ,無床診療所,秋田県大仙市大曲黒瀬町3-45,0187-63-3328,0187-63-3336,月火水木金土,9:00,17:30,"火,木,土；午前診療",外科；胃腸内科；肛門外科,,
052124,秋田県,大仙市,大石脳外科クリニック,ｵｵｲｼﾉｳｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲浜町7-45,0187-73-5100,0187-73-5115,月火水木金土,8:30,17:30（土；16:00）,水；午前診療,脳神経外科；脳神経内科；放射線科,,
052124,秋田県,大仙市,なごみメンタルクリニック,ﾅｺﾞﾐﾒﾝﾀﾙｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲船場町1-1-45,0187-73-7721,0187-73-7728,月火水木金土,9:00,18:30,"水,土；午前診療",心療内科；精神科；内科,,
052124,秋田県,大仙市,くどう整形外科,ｸﾄﾞｳｾｲｹｲｹﾞｶ,無床診療所,秋田県大仙市大曲船場町1-6-3,0187-86-0010,0187-86-0021,月火水木金土,8:30,18:00,土；午前診療,整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,
052124,秋田県,大仙市,医療法人あけぼの会こまち透析クリニック,ｲﾘｮｳﾎｳｼﾞﾝｱｹﾎﾞﾉｶｲｺﾏﾁﾄｳｾｷｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲あけぼの町13-37,0187-73-7875,0187-73-7876,月火水木金土,8:30,17:30,"火,木,土；午前診療",腎臓内科；内科,,http://komachihd-clinic.www2.jp/
052124,秋田県,大仙市,荒井医院,ｱﾗｲｲｲﾝ,無床診療所,秋田県大仙市大曲上大町6-22,0187-63-2670,0187-63-2690,月火水木金土,9:00,17:00,"水,土；午前診療",消化器内科（胃腸内科）；内科,,
052124,秋田県,大仙市,小山田医院,ｵﾔﾏﾀﾞｲｲﾝ,無床診療所,秋田県大仙市大曲須和町1-4-21,0187-63-1133,0187-63-5164,月火水木金土,8:30,17:00,"水,土；午前診療",小児科,,
052124,秋田県,大仙市,医療法人高津内科医院,ｲﾘｮｳﾎｳｼﾞﾝﾀｶﾂﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲須和町2-8-36,0187-86-0366,0187-86-0388,月火水木金土,8:30,17:00,"木,土；午前診療",内科,,
052124,秋田県,大仙市,佐々木内科医院,ｻｻｷﾅｲｶｲｲﾝ,無床診療所,秋田県大仙市大曲上栄町1-28,0187-63-1410,0187-63-2231,月火水木金土,8:30,18:00,土；午前診療,内科；消化器内科（胃腸内科）；循環器内科,,
052124,秋田県,大仙市,大仙ごとう整形外科クリニック,ﾀﾞｲｾﾝｺﾞﾄｳｾｲｹｲｹﾞｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲田町28-33,0187-73-5106,0187-73-5107,月火水木金土,9:00,18:00,"木,土；午前診療,第４土休診",整形外科；ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科,,http://gotouclinic.jp/
052124,秋田県,大仙市,仲村内科胃腸科医院,ﾅｶﾑﾗﾅｲｶｲﾁｮｳｶｲｲﾝ,無床診療所,秋田県大仙市大曲日の出町1-7-15,0187-63-2225,0187-63-2225,月火水木金土,8:30,17:00,土；午前診療,内科；消化器内科；呼吸器内科；循環器内科；小児科；皮膚科；アレルギー科；糖尿病内科；泌尿器科；放射線科；臨床検査科,,
052124,秋田県,大仙市,ささき脳神経外科・内科クリニック,ｻｻｷﾉｳｼﾝｹｲｹﾞｶﾅｲｶｸﾘﾆｯｸ,無床診療所,秋田県大仙市大曲日の出町2-7-4,0187-63-1010,0187-63-1011,月火水木金土,8:30,17:30（土；16:00）,木；午前診療,脳神経外科；内科；神経内科；放射線科,,http://www.sasaki-nic.com/
