地域コード,都道府県名,市町村名,年度,学校数（校）,学級数_総数（学級）,学級数_単式（学級）,学級数_複式（学級）,学級数_特別支援（学級）,児童数_総数（人）,児童数_男（人）,児童数_女（人）,教員数_本務_総数（人）,教員数_本務_男（人）,教員数_本務_女（人）
052124,秋田県,大仙市,2005(平成17),12,93,87,-,6,2702,1372,1330,210,130,80
052124,秋田県,大仙市,2006(平成18),12,91,83,-,8,2608,1325,1283,207,128,79
052124,秋田県,大仙市,2007(平成19),12,92,83,-,9,2586,1318,1268,213,136,77
052124,秋田県,大仙市,2008(平成20),12,92,80,-,12,2526,1293,1233,216,136,80
052124,秋田県,大仙市,2009(平成21),12,91,79,-,12,2416,1241,1175,216,131,85
052124,秋田県,大仙市,2010(平成22),12,91,75,-,16,2282,1163,1119,213,125,88
052124,秋田県,大仙市,2011(平成23),12,89,74,-,15,2180,1106,1074,210,119,91
052124,秋田県,大仙市,2012(平成24),11,87,72,-,15,2143,1086,1057,204,119,85
052124,秋田県,大仙市,2013(平成25),11,83,70,-,13,2042,1062,980,199,119,80
052124,秋田県,大仙市,2014(平成26),11,90,71,-,19,2029,1052,977,209,121,88
052124,秋田県,大仙市,2015(平成27),11,87,70,-,17,1967,1026,941,206,123,83
052124,秋田県,大仙市,2016(平成28),11,87,68,-,19,1915,992,923,208,121,87
052124,秋田県,大仙市,2017(平成29),11,85,66,-,19,1855,964,891,206,122,84
052124,秋田県,大仙市,2018(平成30),11,87,68,-,19,1825,932,893,206,122,84
052124,秋田県,大仙市,2019(令和1),11,87,69,-,18,1837,920,917,205,121,84
052124,秋田県,大仙市,2020(令和2),11,83,66,-,17,1812,888,924,207,120,87
052124,秋田県,大仙市,2021(令和3),10,82,65,-,17,1775,896,879,197,113,84
052124,秋田県,大仙市,2022(令和4),10,85,62,-,23,1734,888,846,201,106,95
