年次,施設総数,病床総数,再掲）県立の施設数,再掲）県立の病床数,再掲）市町村立の施設数,再掲）市町村立の病床数,再掲）厚生連の施設数,再掲）厚生連の病床数,再掲）医療法人の施設数,再掲）医療法人の病床数
2020,8,1456,1,300,3,386,1,437,3,333
2019,8,1456,1,300,3,386,1,437,3,333
2018,8,1456,1,300,3,386,1,437,3,333
2017,8,1456,1,300,3,386,1,437,3,333
2016,8,1503,1,300,3,433,1,437,3,333
2015,8,1503,1,300,3,433,1,437,3,333
2014,8,1503,1,300,3,433,1,437,3,333
2013,8,1538,1,300,3,433,1,472,3,333
2012,8,1580,1,300,3,475,1,472,3,333
2011,8,1684,1,300,3,475,1,519,3,390
2010,8,1707,1,300,3,498,1,519,3,390
2009,8,1756,1,300,3,498,1,568,3,390
2008,8,1784,1,300,3,526,1,568,3,390
2007,8,1784,1,300,3,526,1,568,3,390
2006,8,1790,1,300,3,526,1,574,3,390
