市町村コード,都道府県名,市町村名,河川名,年度,流路延長（㎞）,流路面積（㎞）,最大川幅（m）,最小川幅（m）
05212,秋田県,大仙市,雄物川,2016(平成28）,45.7,,600,500
05212,秋田県,大仙市,雄物川,2017(平成29）,45.7,,600,500
05212,秋田県,大仙市,雄物川,2018(平成30）,45.7,,600,500
05212,秋田県,大仙市,雄物川,2019(平成31）,45.7,,600,500
05212,秋田県,大仙市,雄物川,2020(令和2）,45.7,,600,500
05212,秋田県,大仙市,雄物川,2021(令和3）,45.7,,600,500
05212,秋田県,大仙市,玉川,2016(平成28）,10.8,,600,400
05212,秋田県,大仙市,玉川,2017(平成29）,10.8,,600,400
05212,秋田県,大仙市,玉川,2018(平成30）,10.8,,600,400
05212,秋田県,大仙市,玉川,2019(平成31）,10.8,,600,400
05212,秋田県,大仙市,玉川,2020(令和2）,10.8,,600,400
05212,秋田県,大仙市,玉川,2021(令和3）,10.8,,600,400
05212,秋田県,大仙市,丸子川,2016(平成28）,1.5,,200,70
05212,秋田県,大仙市,丸子川,2017(平成29）,1.5,,200,70
05212,秋田県,大仙市,丸子川,2018(平成30）,1.5,,200,70
05212,秋田県,大仙市,丸子川,2019(平成31）,1.5,,200,70
05212,秋田県,大仙市,丸子川,2020(令和2）,1.5,,200,70
05212,秋田県,大仙市,丸子川,2021(令和3）,1.5,,200,70
05212,秋田県,大仙市,横手川,2016(平成28）,1.2,,127,100
05212,秋田県,大仙市,横手川,2017(平成29）,1.2,,127,100
05212,秋田県,大仙市,横手川,2018(平成30）,1.2,,127,100
05212,秋田県,大仙市,横手川,2019(平成31）,1.2,,127,100
05212,秋田県,大仙市,横手川,2020(令和2）,1.2,,127,100
05212,秋田県,大仙市,横手川,2021(令和3）,1.2,,127,100
