地域コード,地域,地区,年次,総数(件),総数(パーセント),農林漁業(件),農林漁業(パーセント),鉱業・採石業・砂利採取業(件),鉱業・採石業・砂利採取業(パーセント),建設業(件),建設業(パーセント),製造業(件),製造業(パーセント),電気･ｶﾞｽ・熱供給・水道業(件),電気･ｶﾞｽ・熱供給・水道業(パーセント),情報通信業(件),情報通信業(パーセント),運輸・郵便業(件),運輸・郵便業(パーセント),卸売・小売業(件),卸売・小売業(パーセント),金融・保険業(件),金融・保険業(パーセント),不動産業・物品賃貸業(件),不動産業・物品賃貸業(パーセント),宿泊業・飲食サービス業(件),宿泊業・飲食サービス業(パーセント),医療・福祉(件),医療・福祉(パーセント),教育・学習支援業(件),教育・学習支援業(パーセント),複合サービス事業(件),複合サービス事業(パーセント),サービス業（他に分類されないもの）(件),サービス業（他に分類されないもの）(パーセント),学術研究、専門・技術サービス業(件),学術研究、専門・技術サービス業(パーセント),生活関連サービス業・娯楽業(件),生活関連サービス業・娯楽業(パーセント),公務（他に分類されるものを除く）(件),公務（他に分類されるものを除く）(パーセント)
05212,大仙市,市内全域,2004年(平成16),"4,839",100.0,40,0.8,15,0.3,636,13.1,420,8.7,3,0.1,18,0.4,74,1.5,"1,488",30.8,81,1.7,69,1.4,544,11.2,175,3.6,82,1.7,43,0.9,"1,151",23.8,,0.0,,0.0,,0.0
05212,大仙市,市内全域,2006年(平成18),"5,002",100.0,53,1.1,11,0.2,605,12.1,380,7.6,12,0.2,17,0.3,75,1.5,"1,464",29.3,76,1.5,73,1.5,514,10.3,265,5.3,182,3.6,71,1.4,"1,138",22.8,,0.0,,0.0,66,1.3
05212,大仙市,市内全域,2009年(平成21),"5,096",100.0,85,1.7,8,0.2,601,11.8,378,7.4,13,0.3,16,0.3,93,1.8,"1,405",27.6,70,1.4,121,2.4,568,11.1,289,5.7,180,3.5,66,1.3,326,6.4,165,3.2,646,12.7,66,1.3
05212,大仙市,市内全域,2012年(平成24),"4,436",100.0,85,1.9,7,0.2,550,12.4,361,8.1,4,0.1,15,0.3,89,2.0,"1,246",28.1,77,1.7,107,2.4,493,11.1,253,5.7,71,1.6,57,1.3,290,6.5,132,3.0,599,13.5,,0.0
05212,大仙市,市内全域,2014年(平成26),"4,609",100.0,84,1.8,6,0.1,540,11.7,359,7.8,9,0.2,15,0.3,83,1.8,"1,208",26.2,65,1.4,100,2.2,506,11.0,327,7.1,151,3.3,64,1.4,293,6.4,141,3.1,599,13.0,59,1.3
05212,大仙市,市内全域,2016年(平成28),"4,220",100.0,86,2.0,8,0.2,512,12.1,341,8.1,4,0.1,14,0.3,78,1.8,"1,161",27.5,74,1.8,97,2.3,445,10.5,290,6.9,73,1.7,54,1.3,281,6.7,129,3.1,573,13.6,,0.0
05212,大仙市,大曲地域,2004年(平成16),"2,555",52.8,7,0.1,6,0.1,210,4.3,165,3.4,3,0.1,15,0.3,35,0.7,821,17.0,63,1.3,56,1.2,413,8.5,103,2.1,43,0.9,18,0.4,597,12.3,,0.0,,0.0,,0.0
05212,大仙市,大曲地域,2006年(平成18),"2,584",51.7,9,0.2,6,0.1,210,4.2,142,2.8,9,0.2,13,0.3,37,0.7,806,16.1,59,1.2,61,1.2,381,7.6,128,2.6,76,1.5,25,0.5,595,11.9,,0.0,,0.0,27,0.5
05212,大仙市,大曲地域,2009年(平成21),"2,703",53.0,20,0.4,5,0.1,222,4.4,142,2.8,10,0.2,11,0.2,47,0.9,804,15.8,54,1.1,94,1.8,422,8.3,150,2.9,80,1.6,23,0.5,148,2.9,115,2.3,329,6.5,27,0.5
05212,大仙市,大曲地域,2012年(平成24),"2,383",53.7,13,0.3,4,0.1,206,4.6,136,3.1,4,0.1,11,0.2,49,1.1,728,16.4,55,1.2,79,1.8,368,8.3,136,3.1,43,1.0,17,0.4,128,2.9,93,2.1,313,7.1,,0.0
05212,大仙市,大曲地域,2014年(平成26),"2,492",54.1,13,0.3,4,0.1,204,4.4,133,2.9,9,0.2,11,0.2,48,1.0,720,15.6,49,1.1,79,1.7,381,8.3,171,3.7,71,1.5,21,0.5,135,2.9,97,2.1,315,6.8,31,0.7
05212,大仙市,大曲地域,2016年(平成28),"2,317",54.9,13,0.3,6,0.1,200,4.7,128,3.0,4,0.1,10,0.2,45,1.1,695,16.5,54,1.3,78,1.8,338,8.0,166,3.9,42,1.0,16,0.4,129,3.1,90,2.1,303,7.2,,0.0
05212,大仙市,神岡地域,2004年(平成16),233,0.0,5,0.1,0,0.0,32,0.7,34,0.7,0,0.0,0,0.0,5,0.1,86,1.8,2,0.0,0,0.0,13,0.3,6,0.1,4,0.1,2,0.0,44,0.9,,0.0,,0.0,,0.0
05212,大仙市,神岡地域,2006年(平成18),256,0.1,6,0.1,0,0.0,32,0.6,33,0.7,1,0.0,0,0.0,6,0.1,82,1.6,2,0.0,0,0.0,16,0.3,12,0.2,8,0.2,4,0.1,48,1.0,,0.0,,0.0,6,0.1
05212,大仙市,神岡地域,2009年(平成21),270,0.1,7,0.1,0,0.0,31,0.6,33,0.6,1,0.0,0,0.0,8,0.2,83,1.6,2,0.0,4,0.1,19,0.4,13,0.3,11,0.2,4,0.1,15,0.3,8,0.2,26,0.5,5,0.1
