３８　高 等 学 校 卒 業 者 の 進 学 先,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,各年３月卒業者　単位：人
年次,進学者数,,,,,,,,,,,,,,
,総数,,,"大学
（学部）",,"短期大学
（本科）",,"大学、短期大学
の通信教育部",,"大学、短期
大学の別科",,"高等学校の
専攻科",,"特別支援学校
高等部の専攻科",
,,,,,,,,,,,,,,,
,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女
平成25年," 1,521 ", 664 , 857 , 645 , 640 , 19 , 217 , － , － , － , － , － , － , － , － 
26," 1,432 ", 676 , 756 , 666 , 582 , 8 , 174 , 1 , － , － , － , 1 , － , － , － 
27," 1,505 ", 697 , 808 , 677 , 609 , 20 , 198 , － , 1 , － , － , － , － , － , － 
28," 1,381 ", 638 , 743 , 626 , 545 , 12 , 197 , － , 1 , － , － , － , － , － , － 
29," 1,491 ", 702 , 789 , 686 , 602 , 16 , 187 , － , － , － , － , － , － , － , － 
30," 1,423 ", 670 , 753 , 654 , 594 , 16 , 159 , － , － , － , － , － , － , － , － 
31," 1,460 ", 680 , 780 , 672 , 620 , 8 , 160 , － , － , － , － , － , － , － , － 
令和２年," 1,405 ", 642 , 763 , 633 , 615 , 9 , 144 , － , － , － , － , － , － , － , 4 
３," 1,440 ", 633 , 807 , 621 , 645 , 12 , 161 , － , 1 , － , － , － , － , － , － 
４," 1,353 ", 628 , 725 , 617 , 591 , 10 , 134 , 1 , － , － , － , － , － , － , － 
　資料　秋田県調査統計課「学校基本調査結果報告書」,,,,,,,,,,,,,,,
