３２　　大　　学　　の　　概　　況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各年度５月１日現在,,,,,,,,,,,,,,,,,
年　度,学校数,,,学生数（人）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,教員数（人）,,,,,,,,,,,,,,,,,
,,,,学部学科別学生数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,専攻科,大学院,,,,,,,,,,,,,,,,,,
,総数,国公立,私立,教育文化学部,,,,,医学部,,"国際
資源",理工学部,,,,工学資源学部,,,,,,,,,国際教養学部,,,,生物資源科学学部,,,,経済学部,,法学部,,"看護
学部","美術
学部",合計,,,,,,,,,,,,,,,,,,,,
,,,,学校教育課程,地域文化学科,地域科学課程,"国際言語
文化課程",人間環境課程,医学科,保健学科,国際資源学科,生命科学科,物質科学科,"数理・電気電子
情報学科","システム
デザイン工学科",地球資源学科,環境物質工学科,環境応用化学科,生命化学科,材料工学科,情報工学科,機械工学科,電気電子工学科,土木環境工学科,基盤教育,"グローバル・
ビジネス課程","グローバル・
スタディズ課程",国際教養学科,応用生物科学科,生物生産科学科,生物環境科学科,"アグリビジネス
学科",経済学科,"マネジメント
学科",法律学科,国際学科,看護学科,美術学科,,,,,,,,,,,,,,,,,,,,,
平成25年度,6,4,2,443,－,276,295,265,724,447,－,－,－,－,－,251,2,246,130,276,244,368,351,242,386,163,318,－,167,171,131,176,335,－,231,101,444,116,"7,299",※210,743,898,,,,,,,,,,,,,,,,,
26,6,4,2,449,103,207,223,197,734,446,127,44,115,134,134,191,－,191,99,210,189,272,259,178,401,168,301,－,175,166,133,171,371,－,226,107,440,227,"7,388",※270,781,926,,,,,,,,,,,,,,,,,
27,6,4,2,460,204,139,149,133,760,455,249,87,225,258,262,132,－,124,65,129,122,190,183,125,397,179,322,－,182,167,127,168,438,－,212,114,439,322,"7,518",※293,799,927,,,,,,,,,,,,,,,,,
28,6,4,2,469,308,71,81,67,767,453,368,131,336,390,395,67,－,67,33,75,64,94,95,61,368,178,338,－,183,170,132,169,500,－,207,113,455,415,"7,620",※253,803,931,,,,,,,,,,,,,,,,,
29,6,4,2,482,409,6,12,3,767,461,481,167,448,522,534,7,－,10,5,13,5,15,9,4,384,173,312,－,176,175,126,170,528,－,183,101,437,420,"7,545",※244,813,911,,,,,,,,,,,,,,,,,
30,6,4,2,478,422,2,2,1,763,461,495,174,463,551,552,3,－,2,1,3,1,7,2,1,403,175,306,－,167,185,131,176,543,－,168,86,445,434,"7,603",※178,840,908,,,,,,,,,,,,,,,,,
令和元年度,6,4,2,476,426,1,－,1,769,462,506,186,476,538,552,1,－,2,－,－,1,2,1,－,388,185,298,－,165,179,136,171,524,－,186,86,443,423,"7,584",※163,870,901,,,,,,,,,,,,,,,,,
２,6,4,2,460,422,－,－,－,777,454,509,186,476,535,550,－,－,－,－,－,1,－,－,－,400,171,294,－,163,180,134,170,525,－,185,82,434,429,"7,537",※69,881,880,,,,,,,,,,,,,,,,,
３,6,4,2,469,421,－,－,－,773,434,525,184,485,556,544,－,－,－,－,－,－,－,－,－,230,168,266,177,168,175,135,171,492,－,194,90,440,437,"7,534",※58,903,883,,,,,,,,,,,,,,,,,
４,6,4,2,465,426,－,－,－,780,431,519,189,452,534,535,－,－,－,－,－,－,－,－,－,33,179,280,349,172,170,135,172,457,－,175,85,432,455,"7,425",※64,985,887,,,,,,,,,,,,,,,,,
　資料　秋田県調査統計課「学校基本調査」（29年度まで）、30年度以降は秋田大学、ノースアジア大学、秋田県立大学、国際教養大学、日本赤十字秋田看護大学、秋田公立美術大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　専攻科の※は、別科および科目等履修研修生を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
