１２　外　国　人　人　口　,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,各年３月３１日現在　単位：人,,,,,,,,,,,,,
年次,総数,韓国,中国,朝鮮,フィリピン,アメリカ,ブラジル,マレーシア,カナダ,イギリス,インドネシア,オーストラリア,フランス,,,,,,,,,,,,,
平成25年,"1,224 ",252 ,313 ,34 ,158 ,90 ,3 ,49 ,13 ,32 ,18 ,10 ,10 ,,,,,,,,,,,,,
26,"1,255 ",247 ,295 ,34 ,157 ,110 ,5 ,38 ,19 ,35 ,15 ,12 ,10 ,,,,,,,,,,,,,
27,"1,277 ",252 ,271 ,32 ,162 ,116 ,3 ,45 ,18 ,23 ,29 ,13 ,17 ,,,,,,,,,,,,,
28,"1,270 ",227 ,261 ,31 ,178 ,115 ,3 ,46 ,15 ,27 ,29 ,16 ,9 ,,,,,,,,,,,,,
29,"1,222 ",220 ,242 ,31 ,180 ,105 ,2 ,42 ,18 ,27 ,30 ,13 ,12 ,,,,,,,,,,,,,
30,"1,253 ",211 ,241 ,23 ,191 ,114 ,2 ,46 ,14 ,32 ,41 ,12 ,11 ,,,,,,,,,,,,,
31,"1,314 ",207 ,255 ,21 ,187 ,109 ,4 ,47 ,19 ,35 ,44 ,16 ,10 ,,,,,,,,,,,,,
令和２年,"1,395 ",203 ,294 ,20 ,201 ,99 ,10 ,40 ,20 ,29 ,57 ,16 ,15 ,,,,,,,,,,,,,
３,"1,327 ",199 ,284 ,20 ,202 ,84 ,5 ,31 ,15 ,21 ,64 ,13 ,5 ,,,,,,,,,,,,,
４,"1,319 ",185 ,286 ,18 ,213 ,85 ,3 ,31 ,20 ,26 ,52 ,8 ,4 ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,ベトナム,ネパール,フィンランド,トルコ,シンガポール,ハンガリー,タイ,バングラディシュ,ベラルーシ,スペイン,ドイツ,その他,無国籍,,,,,,,,,,,,,
平成25年,28 ,18 ,3 ,－ ,1 ,－ ,20 ,3 ,－ ,3 ,9 ,157 ,－ ,,,,,,,,,,,,,
26,30 ,27 ,4 ,－ ,－ ,－ ,25 ,4 ,－ ,1 ,8 ,179 ,－ ,,,,,,,,,,,,,
27,27 ,21 ,3 ,－ ,1 ,－ ,26 ,5 ,－ ,7 ,6 ,200 ,－ ,,,,,,,,,,,,,
28,26 ,30 ,1 ,1 ,3 ,3 ,26 ,2 ,－ ,3 ,9 ,209 ,－ ,,,,,,,,,,,,,
29,36 ,37 ,－ ,－ ,3 ,1 ,22 ,2 ,－ ,2 ,6 ,191 ,－ ,,,,,,,,,,,,,
30,29 ,38 ,1 ,－ ,－ ,1 ,50 ,3 ,1 ,2 ,11 ,179 ,－ ,,,,,,,,,,,,,
31,68 ,33 ,1 ,－ ,1 ,1 ,53 ,4 ,－ ,2 ,12 ,184 ,1 ,,,,,,,,,,,,,
令和２年,105 ,33 ,－ ,1 ,3 ,1 ,29 ,5 ,1 ,3 ,13 ,196 ,1 ,,,,,,,,,,,,,
３,127 ,36 ,－,－,2 ,1 ,26 ,5 ,1 ,1 ,8 ,176 ,1 ,,,,,,,,,,,,,
４,107 ,35 ,－ ,1 ,1 ,1 ,28 ,11 ,1 ,1 ,8 ,193 ,1 ,,,,,,,,,,,,,
　資料　秋田市市民課,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　平成24年７月までは外国人登録人口、それ以降は住民基本台帳上の外国人人口,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　令和元年以降は転出予定者を含む,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
