地域,年度,総数_新規(件),総数_既済(件),総数_未済(件),民事訴訟事件_新規(件),民事訴訟事件_既済(件),民事訴訟事件_未済(件),民事執行事件_新規(件),民事執行事件_既済(件),民事執行事件_未済(件),破産_新規(件),破産_既済(件),破産_未済(件),その他_新規(件),その他_既済(件),その他_未済(件)
大仙市_仙北市_美郷町管内,2005(平成17),1247,1273,434,89,92,32,479,507,226,239,244,60,440,430,116
大仙市_仙北市_美郷町管内,2006(平成18）,1231,1295,370,95,93,34,449,444,231,262,281,41,425,477,64
大仙市_仙北市_美郷町管内,2007(平成19）,833,893,310,118,115,37,341,379,193,228,211,58,146,188,22
大仙市_仙北市_美郷町管内,2008(平成20）,708,707,311,133,126,44,272,281,184,170,171,57,133,129,26
大仙市_仙北市_美郷町管内,2009(平成21）,759,717,353,180,156,68,327,291,220,152,165,44,100,105,21
大仙市_仙北市_美郷町管内,2010(平成22）,740,781,312,150,168,50,313,326,207,123,134,33,154,153,22
大仙市_仙北市_美郷町管内,2011(平成23）,676,687,301,119,128,41,353,335,225,74,79,28,130,145,7
大仙市_仙北市_美郷町管内,2012(平成24）,567,620,248,73,79,35,332,370,187,58,66,20,104,105,6
大仙市_仙北市_美郷町管内,2013(平成25）,450,483,215,46,53,28,280,314,153,51,47,24,73,69,10
大仙市_仙北市_美郷町管内,2014(平成26）,486,479,222,44,46,26,310,302,161,55,52,27,77,79,8
大仙市_仙北市_美郷町管内,2015(平成27）,402,412,212,38,37,27,228,244,145,56,53,30,80,78,10
大仙市_仙北市_美郷町管内,2016(平成28）,407,444,175,45,47,25,219,243,121,51,57,24,92,97,5
大仙市_仙北市_美郷町管内,2017(平成29）,361,349,187,34,31,28,200,202,119,57,56,25,70,60,15
大仙市_仙北市_美郷町管内,2018(平成30）,369,363,193,28,34,22,228,220,127,50,50,25,63,59,19
大仙市_仙北市_美郷町管内,2019(平成31/令和1）,345,333,205,25,20,27,214,205,136,42,45,22,64,63,20
大仙市_仙北市_美郷町管内,2020(令和2）,373,399,179,29,33,23,190,212,114,66,68,20,88,86,22
大仙市_仙北市_美郷町管内,2021(令和3）,365,383,161,32,37,18,217,214,117,41,54,7,75,78,19
