１３　住　民　基　本　台　帳　人　口,,,,,
,,,,,
,,,,各年３月３１日現在,
年次,世帯数,人　　　口　（人）,,,
,,総数,男,女,
平成25年,"141,000 ","320,681 ","150,968 ","169,713 ",
26,"141,888 ","319,497 ","150,395 ","169,102 ",
27,"142,770 ","317,651 ","149,638 ","168,013 ",
28,"143,275 ","315,770 ","148,743 ","167,027 ",
29,"143,570 ","313,444 ","147,635 ","165,809 ",
30,"143,713 ","310,412 ","146,198 ","164,214 ",
31,"144,189 ","308,163 ","145,146 ","163,017 ",
令和２年,"144,725 ","306,265 ","144,371 ","161,894 ",
３,"145,642 ","304,334 ","143,434 ","160,900 ",
４,"146,088 ","301,573 ","142,026 ","159,547 ",
　資料　秋田市市民課（市民課の概要）,,,,,
