２６　市 立 中 学 校 施 設 の 整 備 状 況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,各年度５月１日現在,,,,,,,,,,,,,,,,,,,,,,,
年度,校地面積（㎡),,校舎面積（屋内運動場除く),,,,,,保有教室数,,,屋内運動場（講堂含む),,,"プール
設置校","生徒数
（人）",,,,,,,,,,,,,,,,,,,,,,,
,総数,"生徒１人
当たり",実数（㎡),,,構成比（％),,"生徒１人
当たり(㎡)",総数,普通教室,特別教室,設置校,面積（㎡),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,総面積,木造,鉄筋鉄骨,木造,"鉄筋
鉄骨",,,,,,総数,"生徒１人
当たり",,,,,,,,,,,,,,,,,,,,,,,,,
平成25年度,"592,974 ",73.67 ,"125,257 ","2,195 ","123,062 ",1.8 ,98.2 ,15.56 ,582 ,298 ,284 ,24 ,"35,045 ",4.35 ,20 ,"8,049 ",,,,,,,,,,,,,,,,,,,,,,,
26,"591,264 ",75.02 ,"124,657 ","1,487 ","123,170 ",1.2 ,98.8 ,15.82 ,587 ,308 ,279 ,24 ,"35,036 ",4.45 ,20 ,"7,881 ",,,,,,,,,,,,,,,,,,,,,,,
27,"593,658 ",76.18 ,"124,986 ","1,532 ","123,454 ",1.2 ,98.8 ,16.04 ,592 ,310 ,282 ,24 ,"35,036 ",4.50 ,20 ,"7,793 ",,,,,,,,,,,,,,,,,,,,,,,
28,"583,092 ",77.62 ,"122,317 ","1,532 ","120,785 ",1.3 ,98.7 ,16.28 ,587 ,302 ,285 ,24 ,"35,417 ",4.71 ,20 ,"7,512 ",,,,,,,,,,,,,,,,,,,,,,,
29,"572,922 ",78.95 ,"123,095 ","1,532 ","121,563 ",1.2 ,98.8 ,16.96 ,577 ,285 ,292 ,24 ,"34,952 ",4.82 ,20 ,"7,257 ",,,,,,,,,,,,,,,,,,,,,,,
30,"572,922 ",82.86 ,"123,050 ","1,532 ","121,518 ",1.2 ,98.8 ,17.80 ,565 ,275 ,290 ,24 ,"34,952 ",5.06 ,20 ,"6,914 ",,,,,,,,,,,,,,,,,,,,,,,
令和元年度,"572,922 ",84.12 ,"123,050 ","1,532 ","121,518 ",1.2 ,98.8 ,18.07 ,561 ,277 ,284 ,24 ,"34,952 ",5.13 ,20 ,"6,811 ",,,,,,,,,,,,,,,,,,,,,,,
２,"572,952 ",84.86 ,"123,050 ","1,532 ","121,518 ",1.2 ,98.8 ,18.22 ,561 ,281 ,280 ,24 ,"34,952 ",5.18 ,20 ,"6,752 ",,,,,,,,,,,,,,,,,,,,,,,
３,"611,312 ",90.38 ,"123,050 ","1,532 ","121,518 ",1.2 ,98.8 ,18.19 ,666 ,291 ,375 ,24 ,"34,952 ",5.17 ,20 ,"6,764 ",,,,,,,,,,,,,,,,,,,,,,,
４,"611,312 ",91.17 ,"123,113 ","1,532 ","121,581 ",1.2 ,98.8 ,18.36 ,667 ,288 ,379 ,24 ,"34,952 ",5.21 ,20 ,"6,705 ",,,,,,,,,,,,,,,,,,,,,,,
　資料　秋田市教育委員会総務課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
