４０　高等学校卒業者の産業別就職状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,各年３月卒業者　単位：人　,,,,,,,,,,,,,,,,,,,,,,,,,
産      業,平成31年,,令和２年,,３,,４,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,女,男,女,男,女,計,男,女,,,,,,,,,,,,,,,,,,,,,,,,,
 総数　,296 ,225 ,287 ,254 ,304 ,199 ,462 ,273 ,189 ,,,,,,,,,,,,,,,,,,,,,,,,,
,(113),(48),(97),(52),(99),(34),(99),(65),(34),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
農　業、林　業,1 ,－ ,1 ,1 ,5 ,1 ,5 ,1 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(－),(－),(－),(1),(－),(1),,,,,,,,,,,,,,,,,,,,,,,,,
漁業,－ ,－ ,－ ,－ ,－ ,－ ,1 ,1 ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,
,(－),(－),(－),(－),(－),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,
鉱業、採石業、砂利採取業,3 ,－ ,10 ,－ ,6 ,－ ,2 ,2 ,－ ,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(－),(5),(－),(2),(－),(－),(－),(－),,,,,,,,,,,,,,,,,,,,,,,,,
建設業,55 ,11 ,41 ,11 ,43 ,10 ,62 ,52 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,
,(29),(4),(16),(1),(23),(2),(19),(18),(1),,,,,,,,,,,,,,,,,,,,,,,,,
製造業,81 ,33 ,82 ,33 ,66 ,29 ,109 ,73 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,
,(34),(15),(24),(12),(16),(10),(20),(13),(7),,,,,,,,,,,,,,,,,,,,,,,,,
電気・ガス・熱供給・水道業,10 ,4 ,10 ,2 ,21 ,－ ,26 ,21 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,
,(6),(－),(5),(1),(10),(－),(10),(8),(2),,,,,,,,,,,,,,,,,,,,,,,,,
