市町村コード,都道府県名,市町村名,地域,年度,園総数,公立施設園数,公立へき地園数,私立保育所数,認定こども園数,地域型園数,認可外園数,正職員総数(人),正職員数[公立施設](人),正職員数[公立へき地](人),正職員数[私立保育所](人),正職員数[認定こども園](人),正職員数[地域型](人),正職員数[認可外](人),園児数 [総数](人),園児数[公立施設](人),園児数[公立へき地](人),園児数[私立保育所](人),園児数[認定こども園](人),園児数[地域型](人),園児数[認可外](人)
052124,秋田県,大仙市,市全域,2005(平成17),34,12,9,11,-,-,2,219,93,20,95,-,-,11,1975,826,205,893,-,-,51
052124,秋田県,大仙市,市全域,2006(平成18）,30,11,6,12,-,-,1,213,95,15,97,-,-,6,2004,905,127,948,-,-,24
052124,秋田県,大仙市,市全域,2007(平成19）,31,11,6,12,-,-,2,217,91,14,105,-,-,7,2040,946,102,973,-,-,19
052124,秋田県,大仙市,市全域,2008(平成20）,29,7,4,16,-,-,2,253,53,6,186,-,-,8,2091,541,66,1456,-,-,28
052124,秋田県,大仙市,市全域,2009(平成21）,28,5,3,18,-,-,2,263,35,6,213,-,-,9,2178,452,60,1638,-,-,28
052124,秋田県,大仙市,市全域,2010(平成22）,28,3,3,21,-,-,1,266,25,8,230,-,-,3,2250,343,75,1824,-,-,8
052124,秋田県,大仙市,市全域,2011(平成23）,27,1,2,23,-,-,1,284,6,7,268,-,-,3,2292,43,55,2184,-,-,10
052124,秋田県,大仙市,市全域,2012(平成24）,27,1,2,23,-,-,1,295,8,6,278,-,-,3,2329,69,48,2193,-,-,19
052124,秋田県,大仙市,市全域,2013(平成25）,28,-,2,24,-,-,2,315,-,7,298,-,-,10,2337,-,42,2268,-,-,27
052124,秋田県,大仙市,市全域,2014(平成26）,28,-,2,24,-,-,2,294,-,6,278,-,-,10,2310,-,32,2243,-,-,35
052124,秋田県,大仙市,市全域,2015(平成27）,27,-,2,19,5,1,-,318,-,6,200,105,7,-,2472,-,33,1522,899,18,-
052124,秋田県,大仙市,市全域,2016(平成28）,29,-,2,18,7,2,-,338,-,6,185,131,16,-,2526,-,29,1347,1134,16,-
052124,秋田県,大仙市,市全域,2017(平成29）,29,-,2,18,7,2,-,336,-,5,195,125,11,-,2427,-,23,1283,1104,17,-
052124,秋田県,大仙市,市全域,2018(平成30）,27,-,2,15,8,2,-,345,-,4,167,161,12,-,2425,-,17,1186,1201,21,-
052124,秋田県,大仙市,市全域,2019(令和1）,27,-,1,13,10,2,1,371,-,2,146,205,11,7,2448,-,6,997,1425,16,4
