１２２　浮遊粒子状物質（SPM）の測定結果,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
（１）環境基準との比較,,,,,,,,,,,令和３年度,,,,,,,,,,,,
項　　　　目,,,山王,土崎,新屋,上新城,堀川,将軍野,茨島,仁井田,広面,,,,,,,,,,,,
有　効　測　定　日　数（日),,,364 ,364 ,362 ,364 ,363 ,364 ,364 ,364 ,364 ,,,,,,,,,,,,
測　　定　　時　　間　（時間),,,"8,745 ","8,726 ","8,718 ","8,731 ","8,718 ","8,731 ","8,738 ","8,744 ","8,746 ",,,,,,,,,,,,
"1時間値が0.20mg/m3を
　　　　超えた 時間数 （時間)",,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
　　　　そ　の　 割　合(％),,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,
"１日平均値が0.10mg/m3を
　　　　超 え た 日 数（日)",,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
　　　　そ  の  割  合（％),,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,
１時 間 値 の 最 高 値（mg/m3),,,0.134 ,0.109 ,0.116 ,0.097 ,0.108 ,0.107 ,0.088 ,0.125 ,0.129 ,,,,,,,,,,,,
１日平均値の２％除外値（mg/m3),,,0.027 ,0.025 ,0.031 ,0.024 ,0.023 ,0.027 ,0.024 ,0.024 ,0.023 ,,,,,,,,,,,,
"環境基準の長期的評価による１日
平均値が0.10mg/m3を超えた日数（日)",,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
（２）年平均値の推移,,,,,,,,,各年度間　単位：mg/m3,,,,,,,,,,,,,,
年度,山王,土崎,新屋,上新城,堀川,将軍野,茨島,仁井田,広面,,,,,,,,,,,,,,
平成24年度,0.012 ,0.013 ,0.018 ,0.013 ,0.012 ,0.023 ,0.020 ,0.012 ,0.012 ,,,,,,,,,,,,,,
25,0.013 ,0.014 ,0.018 ,0.013 ,0.012 ,0.025 ,0.023 ,0.013 ,0.013 ,,,,,,,,,,,,,,
26,0.015 ,0.015 ,0.019 ,0.012 ,0.013 ,0.014 ,0.023 ,0.015 ,0.014 ,,,,,,,,,,,,,,
27,0.014 ,0.013 ,0.018 ,0.012 ,0.012 ,0.012 ,0.021 ,0.015 ,0.014 ,,,,,,,,,,,,,,
28,0.012 ,0.013 ,0.016 ,0.011 ,0.009 ,0.010 ,0.018 ,0.013 ,0.011 ,,,,,,,,,,,,,,
29,0.012 ,0.013 ,0.016 ,0.011 ,0.011 ,0.011 ,0.018 ,0.013 ,0.011 ,,,,,,,,,,,,,,
30,0.013 ,0.014 ,0.016 ,0.012 ,0.013 ,0.013 ,0.020 ,0.014 ,0.013 ,,,,,,,,,,,,,,
令和元年度,0.012 ,0.012 ,0.015 ,0.009 ,0.010 ,0.010 ,0.017 ,0.013 ,0.010 ,,,,,,,,,,,,,,
２,0.012 ,0.012 ,0.016 ,0.008 ,0.010 ,0.010 ,0.016 ,0.012 ,0.010 ,,,,,,,,,,,,,,
３,0.011 ,0.010 ,0.016 ,0.007 ,0.007 ,0.008 ,0.010 ,0.010 ,0.009 ,,,,,,,,,,,,,,
　資料　秋田市環境保全課,,,,,,,,,,,,,,,,,,,,,,,
　　注）１　β線吸収法による測定。,,,,,,,,,,,,,,,,,,,,,,,
　　　　２　環境基準：1時間値の1日平均値が0.10mg/m３以下であり、かつ１時間値が0.20mg/m３以下であること。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
