市町村コード,都道府県名,市町村名,年度,普及率（％）
052124,秋田県,大仙市,2005(平成17),55.7
052124,秋田県,大仙市,2006(平成18),60.4
052124,秋田県,大仙市,2007(平成19),65.6
052124,秋田県,大仙市,2008(平成20),70.1
052124,秋田県,大仙市,2009(平成21),72.9
052124,秋田県,大仙市,2010(平成22),74.7
052124,秋田県,大仙市,2011(平成23),76.9
052124,秋田県,大仙市,2012(平成24),78.5
052124,秋田県,大仙市,2013(平成25),78.8
052124,秋田県,大仙市,2014(平成26),79.4
052124,秋田県,大仙市,2015(平成27),80.1
052124,秋田県,大仙市,2016(平成28),81.2
052124,秋田県,大仙市,2017(平成29),81.8
052124,秋田県,大仙市,2018(平成30),84
052124,秋田県,大仙市,2019(平成31),85.2
052124,秋田県,大仙市,2020(令和02),85.3
052124,秋田県,大仙市,2021(令和03),85.4
