市町村コード,都道府県名,市町村名,年度,総数_件数（件）,総数_金額（千円）,老齢福祉年金_件数（件）,老齢福祉年金_金額（千円）,旧障害福祉年金_件数（件）,旧障害福祉年金_金額（千円）,,,,
05212,秋田県,大仙市,2005(平成17),679,"605,060",20,"8,142",659,"596,918",,,,
05212,秋田県,大仙市,2006(平成18）,666,"592,558",16,"6,492",650,"586,066",,,,
05212,秋田県,大仙市,2007(平成19）,661,"588,381",15,"6,087",646,"582,294",,,,
05212,秋田県,大仙市,2008(平成20）,652,"578,172",12,"2,435",640,"575,737",,,,
05212,秋田県,大仙市,2009(平成21）,647,"579,074",3,"1,218",644,"577,856",,,,
05212,秋田県,大仙市,2010(平成22）,660,"591,362",1,406,659,"590,956",,,,
05212,秋田県,大仙市,2011(平成23）,668,"597,417",1,403,667,"597,014",,,,
05212,秋田県,大仙市,2012(平成24）,667,"595,994",1,403,666,"595,591",,,,
05212,秋田県,大仙市,2013(平成25）,668,"595,676",1,399,667,"595,277",,,,
05212,秋田県,大仙市,2014(平成26）,669,"587,350",0,0,669,"587,350",,,,
05212,秋田県,大仙市,2015(平成27）,668,"592,051",0,0,668,"592,051",,,,
05212,秋田県,大仙市,2016(平成28）,683,"605,605",0,0,683,"605,605",,,,
05212,秋田県,大仙市,2017(平成29）,667,"589,983",0,0,667,"589,983",,,,
05212,秋田県,大仙市,2018(平成30）,680,"599,948",0,0,680,"599,948",,,,
05212,秋田県,大仙市,2019(令和1）,698,"616,449",0,0,698,"616,449",,,,
05212,秋田県,大仙市,2020(令和2）,704,"621,170",0,0,704,"621,170",,,,
05212,秋田県,大仙市,2021(令和3）,706,"620,565",0,0,706,"620,565",,,,				
