１２０　光化学オキシダント（Ox）濃度の測定結果,,,,,,,,,,,,
,,,,,,,,,,,,
（１）環境基準との比較,,,,,,令和３年度,,,,,,
項目,,,,将軍野,広面,仁井田,,,,,,
昼　　間　　測　　定　　日　　数　 （日),,,,365 ,365 ,43 ,,,,,,
昼　 間　 測　 定　 時 　間      （時間),,,,"5,462 ","5,459 ",634 ,,,,,,
昼間の１時間値が0.06ppmを超えた日数（日),,,,27 ,32 ,3 ,,,,,,
　　　　　　　　　　　　　その時間数（時間),,,,114 ,166 ,17 ,,,,,,
昼間の１時間値が 0.12ppm 以上の日数（日),,,,0 ,0 ,0 ,,,,,,
　　　　　　　　　　　　　その時間数(時間),,,,0 ,0 ,0 ,,,,,,
昼 間 の １ 時 間 値 の 年 平 均 値（ppm),,,,0.036 ,0.035 ,0.041 ,,,,,,
昼 間 の １ 時 間 値 の  最 高 値　（ppm),,,,0.074 ,0.073 ,0.075 ,,,,,,
昼間の１日最高１時間値の年平均値　 （ppm),,,,0.044 ,0.044 ,0.050 ,,,,,,
,,,,,,,,,,,,
（２）昼間の年平均値、昼間１時間値の年間最高値および１時間値が0.06ppmを超えた年間時間数の推移,,,,,,,,,,,,
　　　,,,,,,,,,,,,各年度間
年度,将軍野,,,,広面,,,,仁井田,,,
,平均値,"年間
最高値","環境基準を
超えた時間数",,平均値,"年間
最高値","環境基準を
超えた時間数",,平均値,"年間
最高値","環境基準を
超えた時間数",
,,,,,,,,,,,,
,,,（日）,（時間）,,,（日）,（時間）,,,（日）,（時間）
平成24年度,0.036 ,0.079 ,21 ,88 ,0.036 ,0.083 ,38 ,178 ,-,-,-,-
25,0.037 ,0.081 ,39 ,180 ,0.035 ,0.089 ,43 ,227 ,-,-,-,-
26,0.038 ,0.085 ,50 ,299 ,0.036 ,0.093 ,51 ,348 ,-,-,-,-
27,0.039 ,0.098 ,57 ,369 ,0.037 ,0.104 ,57 ,402 ,-,-,-,-
28,0.039 ,0.080 ,46 ,302 ,0.038 ,0.078 ,50 ,273 ,-,-,-,-
29,0.049 ,0.108 ,53 ,366 ,0.046 ,0.105 ,44 ,291 ,-,-,-,-
30,0.036 ,0.086 ,33 ,205 ,0.035 ,0.096 ,38 ,264 ,-,-,-,-
令和元年度,0.036 ,0.096 ,34 ,211 ,0.034 ,0.099 ,36 ,236 ,-,-,-,-
２,0.035 ,0.077 ,18 ,90 ,0.034 ,0.082 ,28 ,126 ,-,-,-,-
３,0.036 ,0.074 ,27 ,114 ,0.035 ,0.073 ,32 ,166 ,0.041 ,0.075 ,3 ,17 
　資料　秋田市環境保全課,,,,,,,,,,,,
　　注）１　紫外線吸収法による測定。,,,,,,,,,,,,
　　　　２　環境基準は、１時間値が0.06ppm以下であること。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
