市町村コード,都道府県名,市町村名,地域,年度,(男女計)15歳以上人口総数,(男女計)労働力人口総数,(男女計)労働力人口のうち、就業者総数,(男女計)就業者総数のうち、主に仕事,(男女計)就業者総数のうち、家事のほか仕事,(男女計)就業者総数のうち、通学のかたわら仕事,(男女計)就業者総数のうち、休業者,(男女計)完全失業者,(男女計)非労働力人口総数,(男女計)非労働力人口総数のうち、家事,(男女計)非労働力人口総数のうち、通学,(男女計)非労働力人口総数のうち、その他,(男)15歳以上人口総数,(男)労働力人口総数,(男)労働力人口のうち、就業者総数,(男)就業者総数のうち、主に仕事,(男)就業者総数のうち、家事のほか仕事,(男)就業者総数のうち、通学のかたわら仕事,(男)就業者総数のうち、休業者,(男)完全失業者,(男)非労働力人口総数,(男)非労働力人口総数のうち、家事,(男)非労働力人口総数のうち、通学,(男)非労働力人口総数のうち、その他,(女)15歳以上人口総数,(女)労働力人口総数,(女)労働力人口のうち、就業者総数,(女)就業者総数のうち、主に仕事,(女)就業者総数のうち、家事のほか仕事,(女)就業者総数のうち、通学のかたわら仕事,(女)就業者総数のうち、休業者,(女)完全失業者,(女)非労働力人口総数,(女)非労働力人口総数のうち、家事,(女)非労働力人口総数のうち、通学,(女)非労働力人口総数のうち、その他
052124,秋田県,大仙市,全域,2020,69622,40990,39321,34418,4059,55,789,1669,26900,9145,2539,15216,32225,22280,21217,20216,591,26,384,1063,9073,1125,1295,6653,37397,18710,18104,14202,3468,29,405,606,17827,8020,1244,8563
052124,秋田県,大仙市,大曲地域,2020,30744,17959,17180,15251,1525,28,376,779,11445,3897,1199,6349,14204,9631,9162,8803,192,14,153,469,3909,448,635,2826,16540,8328,8018,6448,1333,14,223,310,7536,3449,564,3523
052124,秋田県,大仙市,神岡地域,2020,4286,2464,2372,2088,238,1,45,92,1748,593,150,1005,1946,1323,1264,1212,30,1,21,59,587,58,76,453,2340,1141,1108,876,208,-,24,33,1161,535,74,552
052124,秋田県,大仙市,西仙北地域,2020,6848,3957,3746,3237,439,1,69,211,2829,1032,231,1566,3142,2206,2062,1952,67,-,43,144,904,88,107,709,3706,1751,1684,1285,372,1,26,67,1925,944,124,857
052124,秋田県,大仙市,中仙地域,2020,7761,4821,4662,4027,546,4,85,159,2841,966,276,1599,3680,2656,2554,2431,73,3,47,102,973,152,136,685,4081,2165,2108,1596,473,1,38,57,1868,814,140,914
052124,秋田県,大仙市,協和地域,2020,5908,3127,2960,2560,323,8,69,167,2732,797,184,1751,2747,1767,1654,1558,52,6,38,113,953,105,97,751,3161,1360,1306,1002,271,2,31,54,1779,692,87,1000
052124,秋田県,大仙市,南外地域,2020,2917,1735,1670,1426,213,1,30,65,1173,452,75,646,1350,964,913,846,49,-,18,51,380,76,35,269,1567,771,757,580,164,1,12,14,793,376,40,377
052124,秋田県,大仙市,仙北地域,2020,5967,3598,3484,3023,406,5,50,114,2270,803,226,1241,2759,1948,1872,1777,69,1,25,76,755,111,110,534,3208,1650,1612,1246,337,4,25,38,1515,692,116,707
052124,秋田県,大仙市,太田地域,2020,5191,3329,3247,2806,369,7,65,82,1862,605,198,1059,2397,1785,1736,1637,59,1,39,49,612,87,99,426,2794,1544,1511,1169,310,6,26,33,1250,518,99,633
052124,秋田県,大仙市,全域,2015,74023,43126,41500,35723,5114,70,593,1626,29923,10600,2979,16344,34055,23776,22656,21667,684,29,276,1120,9789,1238,1507,7044,39968,19350,18844,14056,4430,41,317,506,20134,9362,1472,9300
