年次,移動区分,性別,総数,北海道,青森県,岩手県,宮城県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,その他
2022,転入者,男女総数(人),631,18,36,65,91,24,21,11,8,4,34,39,118,49,16,2,6,1,1,2,2,4,11,1,4,3,9,2,0,0,0,0,0,2,1,0,1,0,0,3,0,1,0,2,0,0,1,38,0
2022,転入者,男(人),324,14,24,33,42,11,14,8,5,3,19,12,60,27,10,1,3,1,1,1,1,2,6,1,3,1,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0
2022,転入者,女(人),307,4,12,32,49,13,7,3,3,1,15,27,58,22,6,1,3,0,0,1,1,2,5,0,1,2,5,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,27,0
2022,転出者,男女総数(人),848,22,32,81,134,34,28,18,20,8,55,57,159,68,26,1,3,0,2,8,1,8,18,1,1,4,10,6,1,0,0,0,1,2,1,0,1,0,1,3,0,0,0,1,0,0,3,29,0
2022,転出者,男(人),444,17,25,41,79,17,14,13,13,4,33,30,66,32,14,1,1,0,1,3,1,4,11,1,1,2,5,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,6,0
2022,転出者,女(人),404,5,7,40,55,17,14,5,7,4,22,27,93,36,12,0,2,0,1,5,0,4,7,0,0,2,5,4,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,23,0
2021,転入者,男女総数(人),624,23,42,68,93,45,36,8,8,5,30,34,108,41,10,0,0,0,2,1,3,6,8,2,2,8,6,7,0,1,1,0,3,0,1,0,1,1,0,2,0,0,0,0,1,0,0,17,0
2021,転入者,男(人),349,10,29,43,54,22,18,3,4,3,15,24,59,25,5,0,0,0,1,1,2,3,4,2,2,3,2,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0
2021,転入者,女(人),275,13,13,25,39,23,18,5,4,2,15,10,49,16,5,0,0,0,1,0,1,3,4,0,0,5,4,4,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,9,0
2021,転出者,男女総数(人),868,31,29,112,173,42,25,20,16,10,73,33,127,59,13,3,0,1,1,1,2,6,22,1,2,6,9,4,0,1,2,0,0,0,0,0,1,0,1,1,0,2,2,0,1,0,4,32,0
2021,転出者,男(人),424,17,17,59,88,23,15,5,6,5,35,19,61,26,5,1,0,1,1,0,0,4,10,1,1,4,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,8,0
2021,転出者,女(人),444,14,12,53,85,19,10,15,10,5,38,14,66,33,8,2,0,0,0,1,2,2,12,0,1,2,7,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,24,0
2020,転入者,男女総数(人),631,18,36,65,91,24,21,11,8,4,34,39,118,49,16,2,6,1,1,2,2,4,11,1,4,3,9,2,0,0,0,0,0,2,1,0,1,0,0,3,0,1,0,2,0,0,1,38,0
2020,転入者,男(人),324,14,24,33,42,11,14,8,5,3,19,12,60,27,10,1,3,1,1,1,1,2,6,1,3,1,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,11,0
2020,転入者,女(人),307,4,12,32,49,13,7,3,3,1,15,27,58,22,6,1,3,0,0,1,1,2,5,0,1,2,5,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,27,0
2020,転出者,男女総数(人),848,22,32,81,134,34,28,18,20,8,55,57,159,68,26,1,3,0,2,8,1,8,18,1,1,4,10,6,1,0,0,0,1,2,1,0,1,0,1,3,0,0,0,1,0,0,3,29,0
2020,転出者,男(人),444,17,25,41,79,17,14,13,13,4,33,30,66,32,14,1,1,0,1,3,1,4,11,1,1,2,5,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,6,0
2020,転出者,女(人),404,5,7,40,55,17,14,5,7,4,22,27,93,36,12,0,2,0,1,5,0,4,7,0,0,2,5,4,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,23,0
2019,転入者,男女総数(人),716,17,48,79,117,31,26,12,6,8,44,41,99,59,12,1,1,1,1,1,1,7,9,1,0,1,13,7,4,2,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,4,2,55,0
2019,転入者,男(人),382,9,32,37,68,20,16,7,3,6,26,16,55,30,8,1,0,1,1,1,0,3,4,1,0,0,6,3,2,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,1,18,0
2019,転入者,女(人),334,8,16,42,49,11,10,5,3,2,18,25,44,29,4,0,1,0,0,0,1,4,5,0,0,1,7,4,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,37,0
2019,転出者,男女総数(人),922,27,38,92,163,28,26,16,6,10,67,62,163,81,15,1,2,5,3,3,3,13,13,1,1,5,8,5,1,0,1,0,5,2,2,0,0,1,0,1,0,0,1,1,0,2,3,45,0
2019,転出者,男(人),470,20,23,49,86,18,17,6,6,4,29,33,71,43,8,0,2,1,1,2,1,9,6,1,1,3,3,4,0,0,1,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,15,0
2019,転出者,女(人),452,7,15,43,77,10,9,10,0,6,38,29,92,38,7,1,0,4,2,1,2,4,7,0,0,2,5,1,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,2,3,30,0
2018,転入者,男女総数(人),728,32,36,86,112,40,32,7,8,9,41,32,122,39,11,1,3,0,0,4,1,11,6,4,3,4,12,2,0,3,0,0,7,5,1,1,0,0,0,1,0,0,2,3,0,2,0,45,0
2018,転入者,男(人),395,20,18,45,65,24,20,4,4,5,24,16,60,21,7,1,2,0,0,3,1,6,5,3,2,3,7,1,0,3,0,0,4,1,1,0,0,0,0,0,0,0,2,1,0,1,0,15,0
2018,転入者,女(人),333,12,18,41,47,16,12,3,4,4,17,16,62,18,4,0,1,0,0,1,0,5,1,1,1,1,5,1,0,0,0,0,3,4,0,1,0,0,0,1,0,0,0,2,0,1,0,30,0
2018,転出者,男女総数(人),963,44,41,86,165,26,33,19,11,11,61,70,172,74,9,2,7,0,2,4,4,9,9,6,2,7,12,9,4,0,0,1,5,3,1,0,0,1,0,5,4,0,2,2,0,1,2,37,0
2018,転出者,男(人),506,21,29,51,81,17,16,14,8,4,31,41,75,38,5,0,2,0,1,4,4,5,6,5,1,2,4,5,1,0,0,1,4,3,0,0,0,1,0,3,3,0,2,1,0,1,0,16,0
2018,転出者,女(人),457,23,12,35,84,9,17,5,3,7,30,29,97,36,4,2,5,0,1,0,0,4,3,1,1,5,8,4,3,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,2,21,0
2017,転入者,男女総数(人),713,20,41,80,140,20,30,22,6,7,51,37,121,48,13,2,0,0,0,3,1,3,5,0,0,3,1,5,2,1,0,0,2,3,1,1,0,0,0,1,0,0,2,0,1,1,0,38,1
2017,転入者,男(人),396,10,30,44,75,16,19,8,4,5,28,25,62,28,7,2,0,0,0,2,0,1,4,0,0,2,0,4,1,1,0,0,1,2,1,0,0,0,0,1,0,0,2,0,1,0,0,9,1
2017,転入者,女(人),317,10,11,36,65,4,11,14,2,2,23,12,59,20,6,0,0,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,29,0
2017,転出者,男女総数(人),971,22,49,101,173,45,27,11,15,14,84,56,196,65,15,2,0,2,1,3,1,5,10,2,1,6,9,3,0,0,0,0,1,4,0,1,0,2,0,3,0,0,1,1,0,0,2,38,0
2017,転出者,男(人),507,11,31,61,89,22,11,9,11,10,42,34,87,38,9,0,0,1,1,2,0,3,8,2,1,5,4,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,1,6,0
2017,転出者,女(人),464,11,18,40,84,23,16,2,4,4,42,22,109,27,6,2,0,1,0,1,1,2,2,0,0,1,5,1,0,0,0,0,1,2,0,1,0,1,0,2,0,0,0,0,0,0,1,32,0
2016,転入者,男女総数(人),736,39,37,78,118,31,41,10,13,9,40,54,109,48,18,4,0,0,0,4,1,8,9,4,3,2,3,6,1,0,1,2,4,1,0,0,2,3,1,1,0,0,0,1,1,5,0,24,0
2016,転入者,男(人),412,24,24,42,74,18,21,6,5,4,26,31,54,26,9,3,0,0,0,2,1,2,7,2,1,1,2,3,0,0,1,2,3,1,0,0,1,3,0,1,0,0,0,1,0,3,0,8,0
2016,転入者,女(人),324,15,13,36,44,13,20,4,8,5,14,23,55,22,9,1,0,0,0,2,0,6,2,2,2,1,1,3,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,16,0
2016,転出者,男女総数(人),1018,31,32,86,186,43,39,22,21,9,84,69,189,63,11,6,6,0,0,5,0,11,19,2,4,2,9,6,2,0,2,0,1,2,0,2,2,1,4,3,3,0,1,1,0,3,2,34,0
2016,転出者,男(人),502,16,20,43,97,25,26,15,11,6,30,34,85,29,5,3,3,0,0,3,0,8,13,2,3,1,4,3,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,1,1,7,0
2016,転出者,女(人),516,15,12,43,89,18,13,7,10,3,54,35,104,34,6,3,3,0,0,2,0,3,6,0,1,1,5,3,1,0,1,0,1,2,0,2,1,0,3,1,3,0,1,0,0,2,1,27,0
2015,転入者,男女総数(人),764,41,46,89,143,42,23,13,5,7,46,36,118,61,14,0,2,0,1,1,1,9,4,2,1,3,5,11,1,0,0,0,0,2,0,0,0,0,1,4,0,0,1,0,0,0,0,31,0
2015,転入者,男(人),422,17,26,46,88,25,13,9,3,4,34,18,60,35,8,0,1,0,0,0,1,7,2,1,1,1,2,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
2015,転入者,女(人),342,24,20,43,55,17,10,4,2,3,12,18,58,26,6,0,1,0,1,1,0,2,2,1,0,2,3,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,23,0
2015,転出者,男女総数(人),1146,27,57,104,202,34,38,20,21,8,82,73,208,103,29,2,3,0,5,6,4,5,20,4,1,6,7,4,1,0,0,1,1,4,2,0,0,0,0,6,0,0,1,1,0,1,4,51,0
2015,転出者,男(人),579,15,31,60,110,20,21,14,13,7,36,33,90,52,18,1,1,0,3,3,2,3,11,3,0,1,4,2,1,0,0,1,1,1,1,0,0,0,0,3,0,0,1,1,0,1,3,11,0
2015,転出者,女(人),567,12,26,44,92,14,17,6,8,1,46,40,118,51,11,1,2,0,2,3,2,2,9,1,1,5,3,2,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1,40,0
2014,転入者,男女総数(人),757,34,54,84,98,28,25,24,16,18,23,49,133,50,12,4,8,0,1,5,6,13,9,0,8,2,2,4,1,3,0,1,1,0,0,0,3,1,0,2,0,0,0,0,0,2,0,32,1
2014,転入者,男(人),451,18,33,40,56,20,13,18,10,9,22,26,84,33,6,2,4,0,1,5,3,9,8,0,6,2,1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,10,3
2014,転入者,女(人),349,16,28,45,47,10,13,7,8,9,5,25,59,19,6,3,4,0,0,0,3,4,2,0,2,1,1,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,22,1
2014,転出者,男女総数(人),1121,32,68,96,170,53,36,22,24,11,96,70,205,78,16,3,2,2,3,3,7,21,20,2,0,12,4,5,1,1,0,0,3,0,9,0,1,0,0,3,0,0,0,0,0,0,0,42,0
2014,転出者,男(人),585,17,40,57,89,28,19,13,15,9,51,32,106,41,6,1,0,0,2,2,3,10,9,1,0,5,2,3,1,0,0,0,2,0,7,0,1,0,0,1,0,0,0,0,0,0,0,12,0
2014,転出者,女(人),536,15,28,39,81,25,17,9,9,2,45,38,99,37,10,2,2,2,1,1,4,11,11,1,0,7,2,2,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,30,0
2013,転入者,男女総数(人),792,34,35,94,131,28,29,14,10,5,55,28,141,67,11,0,3,0,1,6,1,12,7,1,1,5,12,0,2,0,0,0,0,2,0,0,0,1,0,4,0,0,2,0,4,0,1,44,1
2013,転入者,男(人),434,19,23,46,75,14,17,9,7,4,29,16,74,37,8,0,0,0,0,5,1,5,5,1,1,2,8,0,2,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,2,0,0,17,1
2013,転入者,女(人),358,15,12,48,56,14,12,5,3,1,26,12,67,30,3,0,3,0,1,1,0,7,2,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,27,0
2013,転出者,男女総数(人),1033,24,52,97,163,38,37,19,14,16,72,59,213,89,21,2,2,0,2,6,0,8,12,1,2,8,13,5,5,0,1,1,2,0,1,0,0,0,0,6,0,0,1,0,0,0,6,35,0
