１６３　火　災　の　発　生　状　況　と　被　害　状　況,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,各年間
年次,火災種別件数,,,,,,焼損棟数,,,,,り災世帯,,,,り災人員,焼損面積,,,,損害見積額,,,,死傷者,,年末人口
,総数,建物,林野,車両,船舶,その他,総数,全焼,半焼,部分焼,ぼや,総数,全損,半損,小損,,建 　物 （㎡）,,,林野,総額,"市民１人
当たり","火災１件
当たり","１　日
当たり",死者,傷者,
,,,,,,,,,,,,,,,,,実数,"１ 件
当たり","１ 日
当たり",,,,,,,,
,,,,,,,,,,,,,,,,,,,,(ha),（千円）,(円),（千円）,（千円）,,,
平成25年,87 ,57 , 2 ,12 , 1 ,15 ,71 ,10 ,5 ,16 ,40 ,37 ,4 ,2 ,31 ,107 ,"1,681 ",29.5 ,4.6 ,0.04 ,"112,588 ",352 ,"1,294 ",308 ,3 ,26 ,"319,976 "
26,76 ,54 ,1 ,5 , － ,16 ,80 ,15 ,2 ,27 ,36 ,61 ,13 ,3 ,45 ,150 ,"2,491 ",46.1 ,6.8 ,3.00 ,"112,712 ",354 ,"1,483 ",309 ,9 ,22 ,"318,367 "
27,74 ,45 ,3 ,10 , 2 ,14 ,58 ,7 ,2 ,19 ,30 ,43 ,10 ,1 ,32 ,85 ,"2,614 ",58.1 ,7.2 ,0.04 ,"426,373 ","1,352 ","5,762 ","1,168 ",8 ,23 ,"315,383 "
28,66 ,47 ,1 ,7 , － ,11 ,67 ,15 ,2 ,19 ,31 ,42 ,9 ,2 ,31 ,128 ,"20,281 ",431.5 ,55.4 ,0.00 ,"1,455,805 ","4,649 ","22,058 ","3,978 ",3 ,12 ,"313,144 "
29,62 ,45 ,1 ,7 , － ,9 ,56 ,9 ,6 ,5 ,36 ,38 ,9 ,3 ,26 ,85 ,"3,208 ",71.3 ,8.8 ,0.77 ,"129,116 ",416 ,"2,083 ",354 ,3 ,20 ,"310,634 "
30,60 ,35 , － ,4 , － ,21 ,64 ,14 ,3 ,26 ,21 ,34 ,8 ,1 ,25 ,72 ,"2,493 ",71.2 ,6.8 ,0.00 ,"99,651 ",324 ,"1,661 ",273 ,3 ,10 ,"307,940 "
令和元年,74 ,47 , － ,9 , － ,18 ,63 ,15 ,3 ,14 ,31 ,33 ,9 ,1 ,23 ,58 ,"2,259 ",48.1 ,6.2 ,0.31 ,"107,987 ",353 ,"1,459 ",296 ,3 ,28 ,"305,625 "
２,73 ,45 ,1 ,6 , 1 ,20 ,64 ,19 ,4 ,18 ,23 ,39 ,15 ,1 ,23 ,79 ,"2,810 ",62.4 ,7.7 ,0.29 ,"175,219 ",570 ,"2,400 ",480 ,7 ,17 ,"307,278 "
３,55 ,33 ,2 ,6 , － ,14 ,38 ,4 ,1 ,14 ,19 ,28 ,5 , － ,23 ,60 ,686 ,20.8 ,1.9 ,0.28 ,"129,526 ",425 ,"2,355 ",355 ,1 ,14 ,"305,062 "
４,59 ,28 ,3 ,7 , － ,21 ,33 ,4 , － ,12 ,17 ,28 ,7 ,1 ,20 ,52 ,"23,795 ",849.8 ,65.2 ,0.10 ,"1,720,267 ","5,689 ","29,157 ","4,713 ",6 ,9 ,"302,394 "
　資料　秋田市消防本部予防課,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　注）　市民１人当たり欄の数値は各年末現在の人口で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,
