１２９　市 立 秋 田 総 合 病 院 の 利 用 者 数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年度間　単位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,総数,,内科,,精神科,,小児科,,消化器外科,,整形外科,,皮膚科,,泌尿器科,,産婦人科,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成23年度,"131,810 ","297,354 ","55,129 ","110,135 ","14,726 ","23,093 ","4,963 ","10,627 ","12,444 ","11,903 ","14,249 ","16,726 ","1,341 ","16,426 ","11,849 ","26,338 ","6,501 ","10,041 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"133,792 ","302,345 ","57,870 ","105,498 ","14,717 ","22,290 ","5,406 ","16,022 ","12,560 ","10,186 ","13,041 ","17,455 ",911 ,"16,577 ","11,608 ","26,927 ","6,837 ","10,258 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"126,587 ","306,047 ","56,255 ","106,899 ","14,166 ","21,464 ","5,459 ","19,974 ","11,192 ","9,161 ","11,755 ","17,181 ",882 ,"16,771 ","10,124 ","27,026 ","6,644 ","9,682 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"122,622 ","300,883 ","53,437 ","105,429 ","13,325 ","21,042 ","5,160 ","10,415 ","11,553 ","8,087 ","12,020 ","15,763 ","1,110 ","16,190 ","9,381 ","27,379 ","6,271 ","9,696 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"129,949 ","286,909 ","57,028 ","94,028 ","13,290 ","19,180 ","6,076 ","19,179 ","11,559 ","8,246 ","13,691 ","15,082 ","1,062 ","14,978 ","9,783 ","25,475 ","6,959 ","9,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"126,575 ","289,181 ","57,552 ","91,660 ","13,155 ","18,530 ","5,953 ","19,783 ","11,803 ","7,522 ","13,116 ","14,572 ","1,118 ","14,236 ","8,581 ","25,221 ","5,612 ","9,382 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"131,244 ","303,340 ","61,680 ","99,154 ","13,722 ","20,267 ","5,816 ","19,131 ","13,120 ","7,670 ","11,759 ","15,863 ","1,010 ","14,086 ","9,454 ","26,520 ","5,550 ","9,306 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"130,472 ","302,689 ","62,845 ","99,158 ","13,630 ","20,245 ","5,629 ","18,507 ","13,146 ","7,527 ","11,699 ","15,276 ","1,260 ","14,398 ","7,809 ","26,086 ","5,516 ","9,290 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年度,"125,673 ","292,167 ","61,216 ","95,940 ","12,299 ","19,809 ","5,500 ","16,995 ","13,729 ","8,032 ","11,445 ","14,955 ",899 ,"14,021 ","7,659 ","27,567 ","5,148 ","8,998 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
２,"107,155 ","246,381 ","53,943 ","83,576 ","11,027 ","19,170 ","3,041 ","7,430 ","12,245 ","7,637 ","10,294 ","11,778 ",762 ,"11,859 ","5,638 ","25,535 ","4,000 ","6,570 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,眼科,,耳鼻咽喉科,,歯科口腔外科,,放射線科,,麻酔科,,リハビリテーション科,,脳神経外科,,心臓血管外科,,乳腺･内分泌外科,,救急科,,,,,,,,,,,,,,,,,,,,,,,,,,
,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,入院,外来,,,,,,,,,,,,,,,,,,,,,,,,,
平成23年度,－ ,"5,960 ","5,694 ","12,356 ", － ,"7,191 ", － ,"13,488 ",14 ,"2,553 ", － ,"23,343 ","2,557 ","3,717 ","1,587 ","1,941 ", 752 ," 1,514 ", 4 , 2 ,,,,,,,,,,,,,,,,,,,,,,,,,
24,－ ,"6,028 ","5,480 ","13,240 ", － ,"7,359 ", － ,"14,354 ",48 ,"2,517 ", － ,"24,579 ","2,465 ","3,564 ","1,402 ","1,755 "," 1,439 "," 3,705 ", 8 , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,
25,－ ,"5,313 ","4,596 ","12,794 ", － ,"7,828 ", － ,"12,792 ",40 ,"2,375 ", － ,"26,544 ","2,478 ","3,937 ","1,092 ","1,707 "," 1,901 "," 4,583 ", 3 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,
26,－ ,"5,476 ","4,010 ","11,787 ", － ,"7,697 ", － ,"12,797 ",22 ,"2,476 ", － ,"25,077 ","3,586 ","3,895 ",941 ,"1,693 "," 1,794 "," 5,714 ", 12 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,
27,768 ,"7,484 ","4,320 ","10,383 ", － ,"7,122 ", － ,"11,694 ", － ,"2,998 ", － ,"29,935 ","2,397 ","3,603 ","1,187 ","1,561 "," 1,617 "," 5,662 ", 212 , 491 ,,,,,,,,,,,,,,,,,,,,,,,,,
28,702 ,"7,948 ","3,287 ","9,815 ", － ,"7,124 ", － ,"15,628 ", 5 ,"3,159 ", － ,"32,870 ","2,758 ","3,435 ",819 ,"1,505 "," 1,800 "," 5,961 ",314 , 830 ,,,,,,,,,,,,,,,,,,,,,,,,,
29,755 ,"8,762 ","3,264 ","10,938 ", － ,"7,184 ", － ,"16,278 ", 5 ,"3,148 ", － ,"33,262 ","2,188 ","3,213 ",965 ,"1,389 "," 1,677 "," 5,959 ",279 ," 1,210 ",,,,,,,,,,,,,,,,,,,,,,,,,
30," 1,006 ","9,004 ","3,159 ","10,692 ", － ,"7,099 ", － ,"16,796 ", － ,"3,033 ", － ,"33,764 ","1,860 ","2,731 ",968 ,"1,374 ","1,678 ","6,136 ",267 ,"1,573 ",,,,,,,,,,,,,,,,,,,,,,,,,
令和元年度," 1,055 ","8,961 ","2,669 ","9,574 ", 683 ,"6,565 ", － ,"16,346 ", 34 ,"2,826 ", － ,"30,563 ","1,028 ","2,190 ",600 ,"1,318 ","1,432 ","5,463 ",277 ,"2,044 ",,,,,,,,,,,,,,,,,,,,,,,,,
