,４月,５月,６月,７月,８月,９月,10月,11月,12月,１月,２月,３月,累計
23年4月から24年３月,549,667,653,595,699,638,593,597,542,490,424,527,584
24年４月から25年3月,668,713,837,527,588,506,566,567,480,442,407,464,566
25年４月から26年３月,566,552,545,565,608,562,544,526,524,429,406,464,527
26年4月から27年3月,528,554,561,564,592,588,547,513,501,438,425,502,529
27年4月から28年3月,510,541,579,547,584,556,531,534,485,437,423,484,517
28年4月から29年3月,495,593,537,527,597,563,525,517,482,440,396,466,512
29年4月から30年3月,471,594,573,532,599,541,549,509,430,439,385,475,509
30年4月から31年3月,508,574,536,556,554,505,550,530,455,429,408,448,505
31年4月から2年3月,519,572,491,547,579,543,541,507,493,428,394,492,509
2年4月から3年3月,488,588,629,553,569,530,539,532,451,418,407,513,518
3年4月から4年3月,537,562,573,524,602,556,502,576,446,425,395,477,515
4年4月から5年3月,508,583,523,504,603,546,512,519,450,429,385,469,503
5年4月から6年3月,449,555,549,570,,,,,,,,,532
