地域コード,都道府県名,市町村名,年度,市内総生産額（百万円）,農林水産業（百万円）,内、農業（百万円）,内、林業（百万円）,内、水産業（百万円）,鉱業（百万円）,製造業（百万円）,電気・ガス・水道・廃棄物処理業（百万円）,建設業（百万円）,卸売・小売業（百万円）,運輸・郵便業（百万円）,宿泊・飲食サービス業（百万円）,情報通信業（百万円）,金融・保険業（百万円）,不動産業（百万円）,専門・科学技術、業務支援サービス業（百万円）,公務（百万円）,教育（百万円）,保健衛生・社会事業（百万円）,その他のサービス（百万円）,輸入品に課される税・関税等（百万円）,（再掲）第１次産業（百万円）,（再掲）第２次産業（百万円）,（再掲）第３次産業（百万円）
05000,秋田県,県内全域,2006,3674389,116749,105658,8680,2411,10537,602938,150112,286357,389784,150439,107861,103335,169849,427013,213349,257895,167633,330707,199332,-9501,116749,899832,2667309
05000,秋田県,県内全域,2007,3586058,113377,101577,9436,2364,10144,557337,136214,255694,387595,155745,105698,95678,171266,427413,216025,259469,172239,340078,193102,-11016,113377,823175,2660522
05000,秋田県,県内全域,2008,3352546,115372,103865,9235,2272,8829,489949,118159,220669,369836,137846,97168,95839,136055,428037,209415,253883,168044,333658,180935,-11148,115372,719447,2528875
05000,秋田県,県内全域,2009,3282004,106725,95213,9241,2271,7041,461689,133858,235463,348055,128291,91525,93758,133371,434279,186747,249708,168304,343965,170017,-10792,106725,704193,2481878
05000,秋田県,県内全域,2010,3286393,96344,84059,10396,1889,7709,496341,131847,223548,348486,131058,85960,94321,129409,432979,181939,238506,172020,358292,163718,-6084,96344,727598,2468535
05000,秋田県,県内全域,2011,3298086,112876,99451,11480,1945,10762,520293,111868,178330,346019,131665,85731,86475,124328,453103,194036,233417,175599,373185,161995,-1596,112876,709385,2477421
05000,秋田県,県内全域,2012,3286920,122662,110232,10619,1811,10579,474285,122428,185584,358506,137284,80502,85964,120035,449596,190347,227688,170052,394466,158244,-1302,122662,670448,2495112
05000,秋田県,県内全域,2013,3330558,110937,98389,10916,1632,11789,454303,144297,214971,374610,130629,85445,86270,124118,448172,198898,215827,169054,405034,154959,1245,110937,681063,2537313
05000,秋田県,県内全域,2014,3379188,84125,70336,12073,1716,13273,503823,151783,217655,370310,142033,88270,82180,121399,451529,204517,217291,171675,405871,156835,-3381,84125,734751,2563693
05000,秋田県,県内全域,2015,3453667,96841,83281,11550,2010,13161,524884,161504,217749,364248,144942,90416,82639,123978,454991,219214,217216,168513,426300,158972,-11901,96841,755794,2612933
05000,秋田県,県内全域,2016,3500573,108165,95001,11323,1841,11456,519359,176660,243780,360565,142424,100380,84690,118339,457821,228548,213782,166972,423703,156936,-13007,108165,774595,2630820
05000,秋田県,県内全域,2017,3650133,112330,99335,11237,1758,12392,629234,173206,245126,372012,145689,103958,83732,115646,463940,231934,220084,169876,429284,160798,-19108,112330,886752,2670159
