地域コード,地域,地区,年次,総数(人),食料品(人),飲料・飼料(人),繊維(人),衣服(人),木材・木製品(人),家具・装備品(人),パルプ・紙(人),出版・印刷(人),化学(人),石油製品(人),プラスチック(人),ゴム製品(人),皮革(人),窯業・土石(人),鉄鋼(人),非鉄金属(人),金属製品(人),一般機械(人),はん用機械(人),生産用機械(人),業務用機械(人),電子部品・デバイス(人),電子部品(人),電気機械(人),情報通信機械(人),輸送機械(人),精密機械(人),その他(人)
05212,大仙市,市内全域,1998年(平成10),"8,378",328,-,-,"2,010",257,26,-,141,-,-,227,-,83,396,-,-,268,311,-,-,-,-,-,"1,501",-,-,"1,087",83
05212,大仙市,市内全域,1999年(平成11),"8,115",305,-,-,"1,896",250,49,-,140,-,-,219,-,75,399,-,-,252,291,-,-,-,-,-,"1,473",-,-,"1,130",85
05212,大仙市,市内全域,2000年(平成12),"8,386",359,-,-,"1,810",246,27,-,139,-,-,214,-,69,391,-,-,265,352,-,-,-,-,-,"2,165",-,-,379,86
05212,大仙市,市内全域,2001年(平成13),"7,273",357,-,-,"1,612",221,28,-,126,-,-,153,-,73,284,-,-,207,289,-,-,-,-,-,"1,483",-,107,511,84
05212,大仙市,市内全域,2002年(平成14),"6,825",319,-,-,"1,464",208,28,-,112,-,-,133,-,70,262,-,-,179,385,-,-,-,-,832,-,-,92,488,94
05212,大仙市,市内全域,2003年(平成15),"7,255",309,-,-,"1,448",203,-,-,116,-,-,155,-,59,263,-,-,180,344,-,-,-,-,"1,043",-,-,105,484,95
05212,大仙市,市内全域,2004年(平成16),"6,939",380,168,-,"1,433",209,27,10,164,-,4,255,-,58,338,25,115,497,635,-,-,-,-,"1,449",24,26,178,823,121
05212,大仙市,市内全域,2005年(平成17),"6,867",385,138,-,"1,354",205,23,9,164,-,5,274,-,54,313,28,85,513,610,-,-,-,"1,469",-,63,27,202,828,118
05212,大仙市,市内全域,2006年(平成18),"6,633",349,140,-,"1,344",171,36,10,145,-,5,293,-,63,300,27,97,507,510,-,-,-,"1,262",-,131,53,203,880,107
05212,大仙市,市内全域,2007年(平成19),"6,616",349,133,-,"1,313",182,26,11,142,-,5,289,-,64,284,27,121,574,515,-,-,-,"1,221",-,122,124,182,812,120
05212,大仙市,市内全域,2008年(平成20),"6,265",327,139,"1,282",-,167,27,11,145,-,4,278,-,64,268,28,95,522,-,104,491,756,"1,123",-,87,84,144,-,199
05212,大仙市,市内全域,2009年(平成21),"5,446",314,131,"1,156",-,133,22,9,130,-,4,225,-,65,266,27,68,487,-,102,392,618,855,-,110,97,121,-,114
05212,大仙市,市内全域,2010年(平成22),"5,560",316,138,"1,242",-,126,10,9,137,-,4,235,-,62,252,25,77,521,-,100,368,588,871,-,92,139,136,-,112
05212,大仙市,市内全域,2011年(平成23),"5,389",383,160,"1,144",-,99,17,-,159,5,4,146,-,60,211,29,77,427,-,99,308,436,"1,105",-,125,84,177,-,134
05212,大仙市,市内全域,2012年(平成24),"4,978",321,140,"1,185",-,89,5,-,140,-,4,292,-,57,239,25,78,518,-,24,317,504,602,-,85,76,159,-,118
05212,大仙市,市内全域,2013年(平成25),"4,932",366,175,"1,138",-,98,5,-,132,-,4,226,-,61,245,25,64,518,-,77,305,540,525,-,93,66,153,-,116
05212,大仙市,市内全域,2014年(平成26),"4,813",335,133,"1,104",-,94,4,-,125,-,4,215,-,63,214,33,58,524,-,68,290,602,530,-,84,42,159,-,132
05212,大仙市,市内全域,2015年(平成27)/2016年(平成28),"4,446",325,121,"1,044",-,96,18,-,116,-,4,230,-,70,215,36,21,517,-,63,301,596,300,-,85,93,57,-,138
05212,大仙市,市内全域,2017年(平成29),"4,953",337,133,"1,097",-,101,-,-,125,-,10,214,-,79,221,30,21,559,-,75,307,601,536,-,110,105,161,-,131
05212,大仙市,市内全域,2019年(平成30),"4,952",327,156,"1,053",-,100,-,-,124,-,9,217,-,69,251,29,-,493,-,78,318,621,619,-,104,107,166,-,111
05212,大仙市,市内全域,2020年(平成31/令和1),"5,076",289,164,"1,010",-,92,-,-,124,-,9,221,-,68,235,24,-,512,-,70,321,647,771,-,102,111,174,-,132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
