７８　主要金融機関の店舗数 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,各年度末現在,
年度,総数,普通銀行,都市銀行,"第２地方
銀行協会
加盟行",信用金庫,信用組合,"政府関係
金融機関","農林中央
金庫","農業協同
組合",労働金庫,郵便局,"生命保険
会社","損害保険
会社",証券会社,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
平成24年度,195 , 65 ,1 ,2 , 11 ,7 ,2 ,1 ,10 ,2 ,65 ,15 ,10 ,4 ,
25,194 , 65 ,1 ,2 , 11 ,7 ,2 ,1 ,10 ,2 ,65 ,15 ,9 ,4 ,
26,195 , 63 ,1 ,2 , 11 ,7 ,2 ,1 ,10 ,2 ,65 ,19 ,8 ,4 ,
27,194 , 62 ,1 ,2 , 11 ,7 ,2 ,1 ,10 ,2 ,65 ,19 ,8 ,4 ,
28,195 , 62 ,1 ,2 , 11 ,7 ,2 ,1 ,10 ,2 ,65 ,20 ,8 ,4 ,
29,193 , 62 ,1 ,2 , 11 ,6 ,2 ,1 ,10 ,2 ,65 ,20 ,7 ,4 ,
30,193 , 62 ,1 ,2 ,11 ,6 ,2 ,1 ,10 ,2 ,65 ,20 ,7 ,4 ,
令和元年度,193 , 62 ,1 ,2 ,11 ,6 ,2 ,1 ,10 ,2 ,65 ,20 ,7 ,4 ,
２,192 ,62 ,1 ,2 ,10 ,6 ,2 ,1 ,10 ,2 ,65 ,20 ,7 ,4 ,
３,190 ,61 ,1 ,1 ,10 ,6 ,2 ,1 ,10 ,2 ,65 ,20 ,7 ,4 ,
　資料　東北財務局秋田財務事務所、農林中央金庫、ＪＡ秋田なまはげ、日本郵便株式会社東北支社,,,,,,,,,,,,,,,
　　注）１　生命保険会社は、秋田県生命保険協会加入社数である。,,,,,,,,,,,,,,,
      　２　損害保険会社は、外国損害保険会社を除く。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, 
