市町村コード,都道府県名,市町村名,地域,年度,区分,施設名,利用者数（人）,補足
052124,秋田県,大仙市,大曲地域,2006(平成18）,野球場,大仙市総合公園野球場,"19,233",
052124,秋田県,大仙市,大曲地域,2007(平成19）,野球場,大仙市総合公園野球場,"23,231",
052124,秋田県,大仙市,大曲地域,2008(平成20）,野球場,大仙市総合公園野球場,"10,127",
052124,秋田県,大仙市,大曲地域,2009(平成21）,野球場,大仙市総合公園野球場,"13,100",
052124,秋田県,大仙市,大曲地域,2010(平成22）,野球場,大仙市総合公園野球場,"15,462",
052124,秋田県,大仙市,大曲地域,2011(平成23）,野球場,大仙市総合公園野球場,"13,441",
052124,秋田県,大仙市,大曲地域,2012(平成24）,野球場,大仙市総合公園野球場,"12,374",
052124,秋田県,大仙市,大曲地域,2013(平成25）,野球場,大仙市総合公園野球場,"11,643",
052124,秋田県,大仙市,大曲地域,2014(平成26）,野球場,大仙市総合公園野球場,"12,565",
052124,秋田県,大仙市,大曲地域,2015(平成27）,野球場,大仙市総合公園野球場,"14,396",
052124,秋田県,大仙市,大曲地域,2016(平成28）,野球場,大仙市総合公園野球場,"14,033",
052124,秋田県,大仙市,大曲地域,2017(平成29）,野球場,大仙市総合公園野球場,"15,696",
052124,秋田県,大仙市,大曲地域,2018(平成30）,野球場,大仙市総合公園野球場,"12,979",
052124,秋田県,大仙市,大曲地域,2019(令和1）,野球場,大仙市総合公園野球場,"12,499",
052124,秋田県,大仙市,大曲地域,2020(令和2）,野球場,大仙市総合公園野球場,"7,937",
052124,秋田県,大仙市,大曲地域,2021(令和3）,野球場,大仙市総合公園野球場,"10,047",
052124,秋田県,大仙市,大曲地域,2006(平成18）,野球場,「大曲の花火」公園多目的広場,"7,149",
052124,秋田県,大仙市,大曲地域,2007(平成19）,野球場,「大曲の花火」公園多目的広場,"5,285",
052124,秋田県,大仙市,大曲地域,2008(平成20）,野球場,「大曲の花火」公園多目的広場,"4,998",
052124,秋田県,大仙市,大曲地域,2009(平成21）,野球場,「大曲の花火」公園多目的広場,"4,135",
052124,秋田県,大仙市,大曲地域,2010(平成22）,野球場,「大曲の花火」公園多目的広場,"4,575",
052124,秋田県,大仙市,大曲地域,2011(平成23）,野球場,「大曲の花火」公園多目的広場,"3,852",
052124,秋田県,大仙市,大曲地域,2012(平成24）,野球場,「大曲の花火」公園多目的広場,"1,154",
052124,秋田県,大仙市,大曲地域,2013(平成25）,野球場,「大曲の花火」公園多目的広場,877,
052124,秋田県,大仙市,大曲地域,2014(平成26）,野球場,「大曲の花火」公園多目的広場,"1,237",
052124,秋田県,大仙市,大曲地域,2015(平成27）,野球場,「大曲の花火」公園多目的広場,"1,198",
052124,秋田県,大仙市,大曲地域,2016(平成28）,野球場,「大曲の花火」公園多目的広場,840,H28年度で廃止
052124,秋田県,大仙市,大曲地域,2006(平成18）,野球場,花館グラウンド運動公園,"1,852",
052124,秋田県,大仙市,大曲地域,2007(平成19）,野球場,花館グラウンド運動公園,"3,030",
052124,秋田県,大仙市,大曲地域,2008(平成20）,野球場,花館グラウンド運動公園,"3,619",
052124,秋田県,大仙市,大曲地域,2009(平成21）,野球場,花館グラウンド運動公園,"4,448",
052124,秋田県,大仙市,大曲地域,2010(平成22）,野球場,花館グラウンド運動公園,"4,844",
052124,秋田県,大仙市,大曲地域,2011(平成23）,野球場,花館グラウンド運動公園,"4,577",
