９３　専用住宅確認件数,,,,,,,,,
,,,,,,,,,
,,,,各年度間,,,,,
年度,総数,新築,改築,増築,,,,,
,,,,,,,,,
平成24年度,"1,399 ","1,248 ",5 ,146 ,,,,,
25 ,"1,280 ","1,235 ",6 ,39 ,,,,,
26 ,"1,290 ","1,192 ",1 ,97 ,,,,,
27 ,"1,355 ","1,261 ",0 ,94 ,,,,,
28 ,"1,355 ","1,255 ", 2 ,98 ,,,,,
29 ,"1,339 ","1,247 ", 1 ,91 ,,,,,
30 ,"1,416 ","1,327 ",0 ,89 ,,,,,
令和元年度,"1,372 ","1,285 ",2 ,85 ,,,,,
２,"1,234 ","1,183 ",1 ,50 ,,,,,
３,"1,310 ","1,253 ",1 ,56 ,,,,,
　資料　秋田市建築指導課,,,,,,,,,
　　注）　専用住宅は長屋共同住宅等を含む。ただし、附属建築物は除く。,,,,,,,,,
      　,,,,,,,,,
