１０２　主世帯の年間収入、１か月当たりの家賃別借家数　,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,平成３０年１０月１日現在
,総数,１  か  月  当  た  り  家  賃  （９区分）　,,,,,,,,,,１か月当たり家賃（円）,
,,0円未満,0円,１万円,２万円,４万円,６万円,８万円,10万円,"15万円
以上",不詳,"家賃0円
未満を
含む","家賃0円
未満を
含まない"
,,,～,～,～,～,～,～,～,,,,
,,,１万円未満,２万円未満,４万円未満,６万円未満,８万円未満,10万円未満,15万円未満,,,,
借家（専用住宅）総数,"44,170 ",540 ,600 ,"2,310 ","14,560 ","16,390 ","7,700 ",940 ,160 , 20 ,950 ,"43,365 ","43,916 "
,,,,,,,,,,,,,
100万円未満,"5,650 ",90 ,90 ,210 ,"2,410 ","2,470 ",320 ,30 , － , － ,30 ,"38,042 ","38,634 "
100万円以上200万円未満,"8,450 ",140 ,50 ,480 ,"4,260 ","2,510 ",770 ,80 ,30 , － ,130 ,"37,883 ","38,548 "
200万円以上300万円未満,"9,180 ",100 ,240 ,460 ,"3,540 ","3,270 ","1,450 ",120 , － , － , － ,"40,974 ","41,410 "
300万円以上400万円未満,"6,360 ", － ,90 ,190 ,"1,650 ","3,070 ","1,240 ",30 , － , － ,90 ,"44,868 ","44,868 "
400万円以上500万円未満,"4,370 ", － , － ,240 ,910 ,"2,250 ",890 ,60 , － , － ,30 ,"47,635 ","47,635 "
500万円以上700万円未満,"4,940 ",150 ,90 ,430 ,850 ,"1,800 ","1,380 ",200 ,20 , － ,20 ,"47,816 ","49,325 "
"700万円以上1,000万円未満","2,530 ",40 ,30 ,250 ,280 ,610 ,"1,050 ",160 ,80 , 20 , － ,"53,772 ","54,729 "
"1,000万円以上1,500万円未満",660 , － , － , － ,20 ,150 ,240 ,220 ,30 , － , － ,"70,113 ","70,113 "
"1,500万円以上2,000万円未満",130 , － , － , － , － , － ,90 ,40 , － , － , － ,"75,342 ","75,342 "
"2,000万円以上", － , － , － , － , － , － , － , － , － , － , － , － , － 
　資料　総務省統計局「住宅・土地統計調査報告」,,,,,,,,,,,,,
　　注）　標本調査であるため、個々の数値と総数は一致しない場合がある。,,,,,,,,,,,,,
,,,,,,,,,,,,,
