市町村コード,都道府県名,市町村名,年度,年間総収集量：し尿（ｋｌ）,年間総収集量：浄化槽汚泥（ｋｌ）,収集職員数（人）,収集車両（台）
05212,秋田県,大仙市,2006(平成18),"28,050","22,227",71,30
05212,秋田県,大仙市,2007(平成19),"26,395","21,998",76,31
05212,秋田県,大仙市,2008(平成20),"23,460","24,197",79,39
05212,秋田県,大仙市,2009(平成21),"22,374","26,210",91,38
05212,秋田県,大仙市,2010(平成22),"21,102","26,295",85,39
05212,秋田県,大仙市,2011(平成23),"19,524","27,131",81,36
05212,秋田県,大仙市,2012(平成24),"17,706","25,593",81,39
05212,秋田県,大仙市,2013(平成25),"17,524","25,864",84,36
05212,秋田県,大仙市,2014(平成26),"16,371","27,749",82,39
05212,秋田県,大仙市,2015(平成27),"14,406","28,590",82,39
05212,秋田県,大仙市,2016(平成28),"13,567","28,437",89,40
05212,秋田県,大仙市,2017(平成29),"13,846","28,303",91,41
05212,秋田県,大仙市,2018(平成30),"13,145","29,283",87,40
05212,秋田県,大仙市,2019(令和1),"11,905","29,289",86,38
05212,秋田県,大仙市,2020(令和2),"11,720","27,732",85,39
