市町村コード,都道府県名,市町村名,地域,年度,被保護世帯数（世帯）,被保護人員（人）,大仙市保護率（‰）,秋田県保護率（‰）,全国保護率（‰）
052124,秋田県,大仙市,市全域,2005（平成17）,614,815,8.6,11.0,11.7
052124,秋田県,大仙市,市全域,2006（平成18）,648,852,9.0,11.0,11.8
052124,秋田県,大仙市,市全域,2007（平成19）,718,953,10.3,11.4,12.1
052124,秋田県,大仙市,市全域,2008（平成20）,761,1010,11.1,11.8,12.5
052124,秋田県,大仙市,市全域,2009（平成21）,865,1156,12.8,12.5,13.9
052124,秋田県,大仙市,市全域,2010（平成22）,984,1329,14.9,13.6,15.4
052124,秋田県,大仙市,市全域,2011（平成23）,1016,1381,15.6,14.4,16.2
052124,秋田県,大仙市,市全域,2012（平成24）,1051,1469,16.8,14.6,16.8
052124,秋田県,大仙市,市全域,2013（平成25）,1074,1451,16.8,14.5,17.0
052124,秋田県,大仙市,市全域,2014（平成26）,1114,1493,17.3,14.6,17.1
052124,秋田県,大仙市,市全域,2015（平成27）,1111,1456,17.3,14.8,17.1
052124,秋田県,大仙市,市全域,2016（平成28）,1080,1374,16.8,14.7,16.9
052124,秋田県,大仙市,市全域,2017（平成29）,1045,1311,16.1,14.6,16.7
052124,秋田県,大仙市,市全域,2018（平成30）,1007,1258,15.6,14.5,16.6
052124,秋田県,大仙市,市全域,2019（令和1）,995,1246,15.7,14.5,16.4
052124,秋田県,大仙市,市全域,2020（令和2）,940,1157,14.9,14.2,16.4
052124,秋田県,大仙市,市全域,2021（令和3）,924,1127,14.7,14,16.3
