  １７４　家庭裁判所事件の処理状況　,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,各年間,
年次,家事事件数（件）,,,,,,,,,少年事件数（件）,,,,,,,,,
,家事審判事件,,,家事調停事件,,,その他の事件,,,一般保護事件,,,道路交通保護事件,,,その他の事件,,,
,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済,新受,既済,未済,
平成25年,"2,299 ","2,296 ",162 ,429 ,451 ,115 ,147 ,148 ,42 ,281 ,290 ,66 ,55 ,50 ,11 ,1 ,1 , - ,
26,"2,153 ","2,184 ",131 ,422 ,415 ,122 ,134 ,144 ,32 ,250 ,258 ,58 ,39 ,42 ,8 ,1 ,1 , - ,
27,"2,162 ","2,127 ",166 ,436 ,408 ,150 ,165 ,165 ,32 ,183 ,197 ,44 ,37 ,39 ,6 ,2 ,1 ,1 ,
28,"2,218 ","2,162 ",222 ,446 ,412 ,184 ,204 ,197 ,39 ,149 ,156 ,37 ,33 ,35 ,4 ,3 ,4 , - ,
29,"2,353 ","2,235 ",340 ,434 ,458 ,160 ,184 ,190 ,33 ,99 ,109 ,27 ,20 ,21 ,3 , - , - , - ,
30,"2,243 ","2,379 ",204 ,373 ,376 ,157 ,140 ,149 ,24 ,102 ,105 ,24 ,22 ,24 ,1 ,1 ,1 , - ,
令和元年,"2,423 ","2,392 ",235 ,338 ,336 ,159 ,169 ,161 ,32 ,97 ,95 ,26 ,14 ,13 ,2 , - , - , - ,
２,"2,502 ","2,537 ",200 ,359 ,348 ,170 ,168 ,169 ,31 ,76 ,89 ,13 ,25 ,20 ,7 ,1 ,1 , - ,
３,"2,614 ","2,603 ",211 ,297 ,319 ,148 ,201 ,185 ,47 ,85 ,72 ,26 ,15 ,21 ,1 , - , - , - ,
４,"2,620 ","2,647 ",184 ,341 ,349 ,140 ,205 ,227 ,25 ,70 ,74 ,22 ,16 ,12 ,5 ,1 ,1 , - ,
　資料　秋田家庭裁判所,,,,,,,,,,,,,,,,,,,
　　注）１　本表の事件数は秋田家庭裁判所（管内の支部および出張所を除く）が取り扱ったものである。,,,,,,,,,,,,,,,,,,,
　　　　２　家事事件数の「その他の事件」には、家事共助事件および家事雑事件を含む。,,,,,,,,,,,,,,,,,,,
　　　　３　少年事件数の「その他の事件」には、準少年保護事件、成人刑事事件、少年審判等共助事件、少年審判雑事件および成人刑事雑事件を含む。,,,,,,,,,,,,,,,,,,,
